,Date,Total Cases,Total Deaths
0,Feb 15$ 2020,15,0
1,Feb 16$ 2020,15,0
2,Feb 17$ 2020,15,0
3,Feb 18$ 2020,15,0
4,Feb 19$ 2020,15,0
5,Feb 20$ 2020,17,0
6,Feb 21$ 2020,19,0
7,Feb 22$ 2020,21,0
8,Feb 23$ 2020,22,0
9,Feb 24$ 2020,22,0
10,Feb 25$ 2020,22,0
11,Feb 26$ 2020,23,0
12,Feb 27$ 2020,23,0
13,Feb 28$ 2020,25,0
14,Feb 29$ 2020,25,0
15,Mar 01$ 2020,29,1
16,Mar 02$ 2020,33,1
17,Mar 03$ 2020,39,1
18,Mar 04$ 2020,53,2
19,Mar 05$ 2020,60,2
20,Mar 06$ 2020,63,2
21,Mar 07$ 2020,74,3
22,Mar 08$ 2020,83,3
23,Mar 09$ 2020,93,3
24,Mar 10$ 2020,116,3
25,Mar 11$ 2020,128,3
26,Mar 12$ 2020,156,3
27,Mar 13$ 2020,199,3
28,Mar 14$ 2020,248,3
29,Mar 15$ 2020,300,5
30,Mar 16$ 2020,401,5
31,Mar 17$ 2020,455,5
32,Mar 18$ 2020,596,6
33,Mar 19$ 2020,756,7
34,Mar 20$ 2020,928,7
35,Mar 21$ 2020,1072,7
36,Mar 22$ 2020,1609,7
37,Mar 23$ 2020,1887,7
38,Mar 24$ 2020,2317,8
39,Mar 25$ 2020,2676,11
40,Mar 26$ 2020,3050,13
41,Mar 27$ 2020,3378,13
42,Mar 28$ 2020,3635,14
43,Mar 29$ 2020,4163,17
44,Mar 30$ 2020,4460,19
45,Mar 31$ 2020,4763,20
46,Apr 01$ 2020,5048,23
47,Apr 02$ 2020,5314,25
48,Apr 03$ 2020,5454,28
49,Apr 04$ 2020,5550,30
50,Apr 05$ 2020,5750,37
51,Apr 06$ 2020,5895,45
52,Apr 07$ 2020,5988,49
53,Apr 08$ 2020,6052,50
54,Apr 09$ 2020,6152,51
55,Apr 10$ 2020,6238,54
56,Apr 11$ 2020,6303,56
57,Apr 12$ 2020,6313,59
58,Apr 13$ 2020,6359,61
59,Apr 14$ 2020,6400,61
60,Apr 15$ 2020,6447,63
61,Apr 16$ 2020,6468,63
62,Apr 17$ 2020,6533,65
63,Apr 18$ 2020,6586,70
64,Apr 19$ 2020,6612,71
65,Apr 20$ 2020,6625,71
66,Apr 21$ 2020,6645,71
67,Apr 22$ 2020,6649,74
68,Apr 23$ 2020,6667,75
69,Apr 24$ 2020,6675,79
70,Apr 25$ 2020,6695,80
71,Apr 26$ 2020,6716,83
72,Apr 27$ 2020,6720,83
73,Apr 28$ 2020,6738,88
74,Apr 29$ 2020,6746,89
75,Apr 30$ 2020,6754,92
76,May 01$ 2020,6767,93
77,May 02$ 2020,6781,93
78,May 03$ 2020,6801,95
79,May 04$ 2020,6825,95
80,May 05$ 2020,6849,96
81,May 06$ 2020,6875,97
82,May 07$ 2020,6896,97
83,May 08$ 2020,6914,97
84,May 09$ 2020,6929,97
85,May 10$ 2020,6941,97
86,May 11$ 2020,6948,97
87,May 12$ 2020,6964,97
88,May 13$ 2020,6980,98
89,May 14$ 2020,6989,98
90,May 15$ 2020,7019,98
91,May 16$ 2020,7036,98
92,May 17$ 2020,7045,98
93,May 18$ 2020,7060,99
94,May 19$ 2020,7068,100
95,May 20$ 2020,7079,100
96,May 21$ 2020,7081,100
97,May 22$ 2020,7095,101
98,May 23$ 2020,7111,102
99,May 24$ 2020,7114,102
100,May 25$ 2020,7118,102
101,May 26$ 2020,7133,102
102,May 27$ 2020,7139,102
103,May 28$ 2020,7150,102
104,May 29$ 2020,7173,102
105,May 30$ 2020,7185,102
106,May 31$ 2020,7195,102
107,Jun 01$ 2020,7204,102
108,Jun 02$ 2020,7221,102
109,Jun 03$ 2020,7229,102
110,Jun 04$ 2020,7240,102
111,Jun 05$ 2020,7251,102
112,Jun 06$ 2020,7255,102
113,Jun 07$ 2020,7260,102
114,Jun 08$ 2020,7265,102
115,Jun 09$ 2020,7267,102
116,Jun 10$ 2020,7276,102
117,Jun 11$ 2020,7285,102
118,Jun 12$ 2020,7290,102
119,Jun 13$ 2020,7302,102
120,Jun 14$ 2020,7320,102
121,Jun 15$ 2020,7335,102
122,Jun 16$ 2020,7347,102
123,Jun 17$ 2020,7370,102
124,Jun 18$ 2020,7391,102
125,Jun 19$ 2020,7409,102
126,Jun 20$ 2020,7436,102
127,Jun 21$ 2020,7461,102
128,Jun 22$ 2020,7474,102
129,Jun 23$ 2020,7492,102
130,Jun 24$ 2020,7521,103
131,Jun 25$ 2020,7558,104
132,Jun 26$ 2020,7595,104
133,Jun 27$ 2020,7641,104
134,Jun 28$ 2020,7686,104
135,Jun 29$ 2020,7767,104
136,Jun 30$ 2020,7836,104
137,Jul 01$ 2020,7920,104
138,Jul 02$ 2020,8001,104
139,Jul 03$ 2020,8255,104
140,Jul 04$ 2020,8362,104
141,Jul 05$ 2020,8449,104
142,Jul 06$ 2020,8586,106
143,Jul 07$ 2020,8755,106
144,Jul 08$ 2020,8886,106
145,Jul 09$ 2020,9059,106
146,Jul 10$ 2020,9359,106
147,Jul 11$ 2020,9553,107
148,Jul 12$ 2020,9796,108
149,Jul 13$ 2020,9980,108
150,Jul 14$ 2020,10250,108
151,Jul 15$ 2020,10487,111
152,Jul 16$ 2020,10810,113
153,Jul 17$ 2020,11235,116
154,Jul 18$ 2020,11441,118
155,Jul 19$ 2020,11802,122
156,Jul 20$ 2020,12069,123
157,Jul 21$ 2020,12428,126
158,Jul 22$ 2020,12896,128
159,Jul 23$ 2020,13306,133
160,Jul 24$ 2020,13595,139
161,Jul 25$ 2020,13950,145
162,Jul 26$ 2020,14403,155
163,Jul 27$ 2020,14935,161
164,Jul 28$ 2020,15304,167
165,Jul 29$ 2020,15582,176
166,Jul 30$ 2020,16303,189
167,Jul 31$ 2020,16905,197
168,Aug 01$ 2020,17282,201
169,Aug 02$ 2020,17923,208
170,Aug 03$ 2020,18318,221
171,Aug 04$ 2020,18730,232
172,Aug 05$ 2020,19444,247
173,Aug 06$ 2020,19862,255
174,Aug 07$ 2020,20272,266
175,Aug 08$ 2020,20698,278
176,Aug 09$ 2020,21084,295
177,Aug 10$ 2020,21397,313
178,Aug 11$ 2020,21713,331
179,Aug 12$ 2020,22127,352
180,Aug 13$ 2020,22358,361
181,Aug 14$ 2020,22743,375
182,Aug 15$ 2020,23035,379
183,Aug 16$ 2020,23288,396
184,Aug 17$ 2020,23559,421
185,Aug 18$ 2020,23773,438
186,Aug 19$ 2020,23993,450
187,Aug 20$ 2020,24236,463
188,Aug 21$ 2020,24407,472
189,Aug 22$ 2020,24602,485
190,Aug 23$ 2020,24812,502
191,Aug 24$ 2020,24916,517
192,Aug 25$ 2020,25053,525
193,Aug 26$ 2020,25204,549
194,Aug 27$ 2020,25322,572
195,Aug 28$ 2020,25448,583
196,Aug 29$ 2020,25547,600
197,Aug 30$ 2020,25670,611
198,Aug 31$ 2020,25746,652
199,Sep 01$ 2020,25819,657
200,Sep 02$ 2020,25923,663
201,Sep 03$ 2020,26049,678
202,Sep 04$ 2020,26136,737
203,Sep 05$ 2020,26207,748
204,Sep 06$ 2020,26279,753
205,Sep 07$ 2020,26322,762
206,Sep 08$ 2020,26374,770
207,Sep 09$ 2020,26465,781
208,Sep 10$ 2020,26513,788
209,Sep 11$ 2020,26565,797
210,Sep 12$ 2020,26607,803
211,Sep 13$ 2020,26651,810
212,Sep 14$ 2020,26692,816
213,Sep 15$ 2020,26739,816
214,Sep 16$ 2020,26779,824
215,Sep 17$ 2020,26813,832
216,Sep 18$ 2020,26861,837
217,Sep 19$ 2020,26885,844
218,Sep 20$ 2020,26898,849
219,Sep 21$ 2020,26912,851
220,Sep 22$ 2020,26942,854
221,Sep 23$ 2020,26974,859
222,Sep 24$ 2020,26983,861
223,Sep 25$ 2020,27000,869
224,Sep 26$ 2020,27016,870
225,Sep 27$ 2020,27040,872
226,Sep 28$ 2020,27044,875
227,Sep 29$ 2020,27063,882
228,Sep 30$ 2020,27078,886
229,Oct 01$ 2020,27096,888
230,Oct 02$ 2020,27113,890
231,Oct 03$ 2020,27121,893
232,Oct 04$ 2020,27136,894
233,Oct 05$ 2020,27149,894
234,Oct 06$ 2020,27174,895
235,Oct 07$ 2020,27182,897
236,Oct 08$ 2020,27206,897
237,Oct 09$ 2020,27229,897
238,Oct 10$ 2020,27244,897
239,Oct 11$ 2020,27265,898
240,Oct 12$ 2020,27286,898
241,Oct 13$ 2020,27317,899
242,Oct 14$ 2020,27341,904
243,Oct 15$ 2020,27362,904
244,Oct 16$ 2020,27371,904
245,Oct 17$ 2020,27383,904
246,Oct 18$ 2020,27391,904
247,Oct 19$ 2020,27399,905
248,Oct 20$ 2020,27429,905
249,Oct 21$ 2020,27444,905
250,Oct 22$ 2020,27466,905
251,Oct 23$ 2020,27484,905
252,Oct 24$ 2020,27499,905
253,Oct 25$ 2020,27520,905
254,Oct 26$ 2020,27527,905
255,Oct 27$ 2020,27541,905
256,Oct 28$ 2020,27554,907
257,Oct 29$ 2020,27569,907
258,Oct 30$ 2020,27582,907
259,Oct 31$ 2020,27590,907
260,Nov 01$ 2020,27595,907
261,Nov 02$ 2020,27602,907
262,Nov 03$ 2020,27610,907
263,Nov 04$ 2020,27622,907
264,Nov 05$ 2020,27634,907
265,Nov 06$ 2020,27645,907
266,Nov 07$ 2020,27652,907
267,Nov 08$ 2020,27658,907
268,Nov 09$ 2020,27668,907
269,Nov 10$ 2020,27678,907
270,Nov 11$ 2020,27686,907
271,Nov 12$ 2020,27699,907
272,Nov 13$ 2020,27703,907
273,Nov 14$ 2020,27711,907
274,Nov 15$ 2020,27728,907
275,Nov 16$ 2020,27750,907
276,Nov 17$ 2020,27760,907
277,Nov 18$ 2020,27777,907
278,Nov 19$ 2020,27784,907
279,Nov 20$ 2020,27792,907
280,Nov 21$ 2020,27806,907
281,Nov 22$ 2020,27821,907
282,Nov 23$ 2020,27835,907
283,Nov 24$ 2020,27849,907
284,Nov 25$ 2020,27856,907
285,Nov 26$ 2020,27867,907
286,Nov 27$ 2020,27874,907
287,Nov 28$ 2020,27885,907
288,Nov 29$ 2020,27893,907
289,Nov 30$ 2020,27904,908
290,Dec 01$ 2020,27912,908
291,Dec 02$ 2020,27923,908
292,Dec 03$ 2020,27939,908
293,Dec 04$ 2020,27949,908
294,Dec 05$ 2020,27956,908
295,Dec 06$ 2020,27965,908
296,Dec 07$ 2020,27972,908
297,Dec 08$ 2020,27987,908
298,Dec 09$ 2020,27993,908
299,Dec 10$ 2020,28000,908
300,Dec 11$ 2020,28012,908
301,Dec 12$ 2020,28025,908
302,Dec 13$ 2020,28031,908
303,Dec 14$ 2020,28039,908
304,Dec 15$ 2020,28048,908
305,Dec 16$ 2020,28059,908
306,Dec 17$ 2020,28071,908
307,Dec 18$ 2020,28094,908
308,Dec 19$ 2020,28128,908
309,Dec 20$ 2020,28172,908
310,Dec 21$ 2020,28198,908
311,Dec 22$ 2020,28219,908
312,Dec 23$ 2020,28238,908
313,Dec 24$ 2020,28262,908
314,Dec 25$ 2020,28276,908
315,Dec 26$ 2020,28297,908
316,Dec 27$ 2020,28312,908
317,Dec 28$ 2020,28337,909
318,Dec 29$ 2020,28350,909
319,Dec 30$ 2020,28381,909
320,Dec 31$ 2020,28405,909
321,Jan 01$ 2021,28427,909
322,Jan 02$ 2021,28470,909
323,Jan 03$ 2021,28483,909
324,Jan 04$ 2021,28504,909
325,Jan 05$ 2021,28523,909
326,Jan 06$ 2021,28536,909
327,Jan 07$ 2021,28546,909
328,Jan 08$ 2021,28571,909
329,Jan 09$ 2021,28583,909
330,Jan 10$ 2021,28595,909
331,Jan 11$ 2021,28614,909
332,Jan 12$ 2021,28633,909
333,Jan 13$ 2021,28650,909
334,Jan 14$ 2021,28658,909
335,Jan 15$ 2021,28665,909
336,Jan 16$ 2021,28689,909
337,Jan 17$ 2021,28708,909
338,Jan 18$ 2021,28721,909
339,Jan 19$ 2021,28730,909
340,Jan 20$ 2021,28740,909
341,Jan 21$ 2021,28750,909
342,Jan 22$ 2021,28755,909
343,Jan 23$ 2021,28761,909
344,Jan 24$ 2021,28766,909
345,Jan 25$ 2021,28777,909
346,Jan 26$ 2021,28780,909
347,Jan 27$ 2021,28785,909
348,Jan 28$ 2021,28793,909
349,Jan 29$ 2021,28800,909
350,Jan 30$ 2021,28806,909
351,Jan 31$ 2021,28811,909
352,Feb 01$ 2021,28818,909
353,Feb 02$ 2021,28824,909
354,Feb 03$ 2021,28829,909
355,Feb 04$ 2021,28838,909
356,Feb 05$ 2021,28842,909
357,Feb 06$ 2021,28848,909
358,Feb 07$ 2021,28850,909
359,Feb 08$ 2021,28857,909
360,Feb 09$ 2021,28860,909
361,Feb 10$ 2021,28871,909
362,Feb 11$ 2021,28877,909
363,Feb 12$ 2021,28887,909
364,Feb 13$ 2021,28892,909
365,Feb 14$ 2021,28898,909
366,Feb 15$ 2021,28900,909
367,Feb 16$ 2021,28905,909
368,Feb 17$ 2021,28911,909
369,Feb 18$ 2021,28912,909
370,Feb 19$ 2021,28918,909
371,Feb 20$ 2021,28920,909
372,Feb 21$ 2021,28926,909
373,Feb 22$ 2021,28930,909
374,Feb 23$ 2021,28937,909
375,Feb 24$ 2021,28939,909
376,Feb 25$ 2021,28947,909
377,Feb 26$ 2021,28958,909
378,Feb 27$ 2021,28965,909
379,Feb 28$ 2021,28970,909
380,Mar 01$ 2021,28975,909
381,Mar 02$ 2021,28986,909
382,Mar 03$ 2021,28996,909
383,Mar 04$ 2021,29007,909
384,Mar 05$ 2021,29021,909
385,Mar 06$ 2021,29030,909
386,Mar 07$ 2021,29037,909
