,Date,Total Cases,Total Deaths
0,Feb 15$ 2020,0,0
1,Feb 16$ 2020,0,0
2,Feb 17$ 2020,0,0
3,Feb 18$ 2020,0,0
4,Feb 19$ 2020,0,0
5,Feb 20$ 2020,0,0
6,Feb 21$ 2020,0,0
7,Feb 22$ 2020,0,0
8,Feb 23$ 2020,0,0
9,Feb 24$ 2020,0,0
10,Feb 25$ 2020,0,0
11,Feb 26$ 2020,0,0
12,Feb 27$ 2020,0,0
13,Feb 28$ 2020,1,0
14,Feb 29$ 2020,1,0
15,Mar 01$ 2020,1,0
16,Mar 02$ 2020,1,0
17,Mar 03$ 2020,4,0
18,Mar 04$ 2020,6,0
19,Mar 05$ 2020,6,0
20,Mar 06$ 2020,6,0
21,Mar 07$ 2020,6,0
22,Mar 08$ 2020,6,0
23,Mar 09$ 2020,6,0
24,Mar 10$ 2020,9,0
25,Mar 11$ 2020,9,0
26,Mar 12$ 2020,21,0
27,Mar 13$ 2020,27,0
28,Mar 14$ 2020,27,0
29,Mar 15$ 2020,27,0
30,Mar 16$ 2020,36,0
31,Mar 17$ 2020,36,0
32,Mar 18$ 2020,51,0
33,Mar 19$ 2020,51,0
34,Mar 20$ 2020,69,0
35,Mar 21$ 2020,76,0
36,Mar 22$ 2020,76,0
37,Mar 23$ 2020,81,0
38,Mar 24$ 2020,81,0
39,Mar 25$ 2020,86,0
40,Mar 26$ 2020,86,0
41,Mar 27$ 2020,94,0
42,Mar 28$ 2020,94,0
43,Mar 29$ 2020,94,0
44,Mar 30$ 2020,152,0
45,Mar 31$ 2020,152,1
46,Apr 01$ 2020,163,2
47,Apr 02$ 2020,304,4
48,Apr 03$ 2020,351,4
49,Apr 04$ 2020,440,5
50,Apr 05$ 2020,562,8
51,Apr 06$ 2020,700,13
52,Apr 07$ 2020,861,13
53,Apr 08$ 2020,1066,13
54,Apr 09$ 2020,1486,16
55,Apr 10$ 2020,1981,19
56,Apr 11$ 2020,2226,23
57,Apr 12$ 2020,2578,26
58,Apr 13$ 2020,2919,29
59,Apr 14$ 2020,3281,33
60,Apr 15$ 2020,3728,36
61,Apr 16$ 2020,4204,40
62,Apr 17$ 2020,4779,42
63,Apr 18$ 2020,4779,45
64,Apr 19$ 2020,4779,47
65,Apr 20$ 2020,6264,51
66,Apr 21$ 2020,6723,55
67,Apr 22$ 2020,7281,58
68,Apr 23$ 2020,8022,60
69,Apr 24$ 2020,8773,63
70,Apr 25$ 2020,9590,67
71,Apr 26$ 2020,10463,72
72,Apr 27$ 2020,11289,75
73,Apr 28$ 2020,12208,79
74,Apr 29$ 2020,13181,84
75,Apr 30$ 2020,14027,89
76,May 01$ 2020,14917,93
77,May 02$ 2020,15828,97
78,May 03$ 2020,16705,99
79,May 04$ 2020,17489,103
80,May 05$ 2020,18350,107
81,May 06$ 2020,19255,112
82,May 07$ 2020,20168,116
83,May 08$ 2020,21101,121
84,May 09$ 2020,22052,126
85,May 10$ 2020,22973,131
86,May 11$ 2020,23906,135
87,May 12$ 2020,24873,142
88,May 13$ 2020,25825,146
89,May 14$ 2020,26772,151
90,May 15$ 2020,27730,156
91,May 16$ 2020,28681,160
92,May 17$ 2020,29650,165
93,May 18$ 2020,30572,171
94,May 19$ 2020,31508,175
95,May 20$ 2020,32426,179
96,May 21$ 2020,33371,185
97,May 22$ 2020,34303,190
98,May 23$ 2020,35244,194
99,May 24$ 2020,36198,199
100,May 25$ 2020,37144,204
101,May 26$ 2020,38059,208
102,May 27$ 2020,38956,214
103,May 28$ 2020,39858,219
104,May 29$ 2020,40764,224
105,May 30$ 2020,41658,229
106,May 31$ 2020,42556,235
107,Jun 01$ 2020,43403,240
108,Jun 02$ 2020,44255,243
109,Jun 03$ 2020,45116,248
110,Jun 04$ 2020,45981,253
111,Jun 05$ 2020,46868,259
112,Jun 06$ 2020,47751,263
113,Jun 07$ 2020,48630,269
114,Jun 08$ 2020,49453,276
115,Jun 09$ 2020,50265,282
116,Jun 10$ 2020,51066,288
117,Jun 11$ 2020,51816,293
118,Jun 12$ 2020,52520,298
119,Jun 13$ 2020,53241,303
120,Jun 14$ 2020,53973,308
121,Jun 15$ 2020,54680,312
122,Jun 16$ 2020,55369,318
123,Jun 17$ 2020,56032,324
124,Jun 18$ 2020,56657,331
125,Jun 19$ 2020,57333,337
126,Jun 20$ 2020,57936,343
127,Jun 21$ 2020,58505,346
128,Jun 22$ 2020,59023,351
129,Jun 23$ 2020,59487,357
130,Jun 24$ 2020,59945,362
131,Jun 25$ 2020,60382,367
132,Jun 26$ 2020,60713,373
133,Jun 27$ 2020,61095,377
134,Jun 28$ 2020,61475,383
135,Jun 29$ 2020,61790,387
136,Jun 30$ 2020,62118,392
137,Jul 01$ 2020,62424,398
138,Jul 02$ 2020,62698,405
139,Jul 03$ 2020,62997,412
140,Jul 04$ 2020,63270,418
141,Jul 05$ 2020,63554,423
142,Jul 06$ 2020,63804,429
143,Jul 07$ 2020,64003,436
144,Jul 08$ 2020,64224,443
145,Jul 09$ 2020,64411,449
146,Jul 10$ 2020,64604,454
147,Jul 11$ 2020,64767,459
148,Jul 12$ 2020,64932,464
149,Jul 13$ 2020,65114,468
150,Jul 14$ 2020,65269,474
151,Jul 15$ 2020,65443,480
152,Jul 16$ 2020,65623,485
153,Jul 17$ 2020,65782,491
154,Jul 18$ 2020,65953,495
155,Jul 19$ 2020,66095,499
156,Jul 20$ 2020,66213,503
157,Jul 21$ 2020,66348,507
158,Jul 22$ 2020,66521,513
159,Jul 23$ 2020,66688,519
160,Jul 24$ 2020,66846,524
161,Jul 25$ 2020,67002,530
162,Jul 26$ 2020,67132,534
163,Jul 27$ 2020,67251,538
164,Jul 28$ 2020,67366,543
165,Jul 29$ 2020,67518,548
166,Jul 30$ 2020,67665,553
167,Jul 31$ 2020,67808,559
168,Aug 01$ 2020,67946,563
169,Aug 02$ 2020,68067,567
170,Aug 03$ 2020,68166,571
171,Aug 04$ 2020,68250,574
172,Aug 05$ 2020,68376,577
173,Aug 06$ 2020,68503,580
174,Aug 07$ 2020,68614,583
175,Aug 08$ 2020,68738,585
176,Aug 09$ 2020,68850,587
177,Aug 10$ 2020,68947,589
178,Aug 11$ 2020,69005,592
179,Aug 12$ 2020,69102,595
180,Aug 13$ 2020,69203,599
181,Aug 14$ 2020,69308,603
182,Aug 15$ 2020,69424,607
183,Aug 16$ 2020,69516,610
184,Aug 17$ 2020,69589,613
185,Aug 18$ 2020,69673,617
186,Aug 19$ 2020,69801,622
187,Aug 20$ 2020,69950,627
188,Aug 21$ 2020,70111,632
189,Aug 22$ 2020,70285,637
190,Aug 23$ 2020,70468,642
191,Aug 24$ 2020,70645,646
192,Aug 25$ 2020,70727,652
193,Aug 26$ 2020,70974,657
194,Aug 27$ 2020,71165,662
195,Aug 28$ 2020,71346,667
196,Aug 29$ 2020,71523,671
197,Aug 30$ 2020,71687,676
198,Aug 31$ 2020,71843,681
199,Sep 01$ 2020,71962,686
200,Sep 02$ 2020,72141,691
201,Sep 03$ 2020,72302,696
202,Sep 04$ 2020,72485,701
203,Sep 05$ 2020,72663,705
204,Sep 06$ 2020,72859,711
205,Sep 07$ 2020,73031,716
206,Sep 08$ 2020,73208,721
207,Sep 09$ 2020,73402,726
208,Sep 10$ 2020,73591,732
209,Sep 11$ 2020,73784,738
210,Sep 12$ 2020,73975,744
211,Sep 13$ 2020,74173,750
212,Sep 14$ 2020,74360,756
213,Sep 15$ 2020,74552,761
214,Sep 16$ 2020,74763,767
215,Sep 17$ 2020,74987,771
216,Sep 18$ 2020,75230,773
217,Sep 19$ 2020,75461,776
218,Sep 20$ 2020,75674,780
219,Sep 21$ 2020,75898,785
220,Sep 22$ 2020,76104,791
221,Sep 23$ 2020,76357,796
222,Sep 24$ 2020,76651,802
223,Sep 25$ 2020,76957,807
224,Sep 26$ 2020,77289,813
225,Sep 27$ 2020,77609,818
226,Sep 28$ 2020,77946,822
227,Sep 29$ 2020,78260,828
228,Sep 30$ 2020,78631,833
229,Oct 01$ 2020,79019,839
230,Oct 02$ 2020,79421,844
231,Oct 03$ 2020,79852,851
232,Oct 04$ 2020,80295,857
233,Oct 05$ 2020,80696,862
234,Oct 06$ 2020,81090,868
235,Oct 07$ 2020,81505,874
236,Oct 08$ 2020,81982,880
237,Oct 09$ 2020,82471,885
238,Oct 10$ 2020,82471,885
239,Oct 11$ 2020,83534,896
240,Oct 12$ 2020,83998,901
241,Oct 13$ 2020,84524,906
242,Oct 14$ 2020,85121,911
243,Oct 15$ 2020,85734,916
244,Oct 16$ 2020,86392,921
245,Oct 17$ 2020,87063,925
246,Oct 18$ 2020,87698,929
247,Oct 19$ 2020,88290,933
248,Oct 20$ 2020,88909,937
249,Oct 21$ 2020,89642,941
250,Oct 22$ 2020,90380,945
251,Oct 23$ 2020,91167,949
252,Oct 24$ 2020,91978,953
253,Oct 25$ 2020,92823,957
254,Oct 26$ 2020,93707,961
255,Oct 27$ 2020,94609,965
256,Oct 28$ 2020,95545,969
257,Oct 29$ 2020,96529,973
258,Oct 30$ 2020,97499,977
259,Oct 31$ 2020,98482,980
260,Nov 01$ 2020,99459,985
261,Nov 02$ 2020,100400,989
262,Nov 03$ 2020,101329,992
263,Nov 04$ 2020,102313,995
264,Nov 05$ 2020,103295,998
265,Nov 06$ 2020,104286,1001
266,Nov 07$ 2020,105283,1004
267,Nov 08$ 2020,106279,1007
268,Nov 09$ 2020,107262,1011
269,Nov 10$ 2020,108300,1016
270,Nov 11$ 2020,109357,1022
271,Nov 12$ 2020,110455,1027
272,Nov 13$ 2020,111622,1033
273,Nov 14$ 2020,112870,1039
274,Nov 15$ 2020,114185,1046
275,Nov 16$ 2020,115448,1053
276,Nov 17$ 2020,116699,1060
277,Nov 18$ 2020,118008,1067
278,Nov 19$ 2020,119390,1074
279,Nov 20$ 2020,120847,1081
280,Nov 21$ 2020,122435,1089
281,Nov 22$ 2020,123999,1096
282,Nov 23$ 2020,125482,1104
283,Nov 24$ 2020,126953,1112
284,Nov 25$ 2020,128449,1119
285,Nov 26$ 2020,130012,1128
286,Nov 27$ 2020,131633,1136
287,Nov 28$ 2020,133324,1143
288,Nov 29$ 2020,135008,1151
289,Nov 30$ 2020,136647,1158
290,Dec 01$ 2020,138219,1166
291,Dec 02$ 2020,139908,1174
292,Dec 03$ 2020,141609,1181
293,Dec 04$ 2020,143383,1190
294,Dec 05$ 2020,145279,1198
295,Dec 06$ 2020,147157,1207
296,Dec 07$ 2020,148953,1215
297,Dec 08$ 2020,150602,1222
298,Dec 09$ 2020,152453,1230
299,Dec 10$ 2020,154392,1238
300,Dec 11$ 2020,156359,1246
301,Dec 12$ 2020,158334,1254
302,Dec 13$ 2020,160295,1263
303,Dec 14$ 2020,162148,1273
304,Dec 15$ 2020,164059,1282
305,Dec 16$ 2020,165897,1291
306,Dec 17$ 2020,167731,1299
307,Dec 18$ 2020,169648,1308
308,Dec 19$ 2020,171579,1316
309,Dec 20$ 2020,173523,1324
310,Dec 21$ 2020,175416,1333
311,Dec 22$ 2020,177274,1341
312,Dec 23$ 2020,179196,1349
313,Dec 24$ 2020,181113,1358
314,Dec 25$ 2020,183006,1367
315,Dec 26$ 2020,184922,1376
316,Dec 27$ 2020,186747,1385
317,Dec 28$ 2020,188588,1394
318,Dec 29$ 2020,190404,1404
319,Dec 30$ 2020,192361,1414
320,Dec 31$ 2020,194284,1424
321,Jan 01$ 2021,196223,1433
322,Jan 02$ 2021,198125,1442
323,Jan 03$ 2021,199962,1451
324,Jan 04$ 2021,201831,1461
325,Jan 05$ 2021,203103,1471
326,Jan 06$ 2021,204958,1480
327,Jan 07$ 2021,206796,1489
