,Date,Total Cases,Total Deaths
0,Feb 15$ 2020,0,0
1,Feb 16$ 2020,0,0
2,Feb 17$ 2020,0,0
3,Feb 18$ 2020,0,0
4,Feb 19$ 2020,0,0
5,Feb 20$ 2020,0,0
6,Feb 21$ 2020,0,0
7,Feb 22$ 2020,0,0
8,Feb 23$ 2020,0,0
9,Feb 24$ 2020,0,0
10,Feb 25$ 2020,1,0
11,Feb 26$ 2020,1,0
12,Feb 27$ 2020,1,0
13,Feb 28$ 2020,1,0
14,Feb 29$ 2020,2,0
15,Mar 01$ 2020,2,0
16,Mar 02$ 2020,2,0
17,Mar 03$ 2020,2,0
18,Mar 04$ 2020,3,0
19,Mar 05$ 2020,8,0
20,Mar 06$ 2020,13,0
21,Mar 07$ 2020,19,0
22,Mar 08$ 2020,25,0
23,Mar 09$ 2020,25,0
24,Mar 10$ 2020,34,0
25,Mar 11$ 2020,52,0
26,Mar 12$ 2020,77,0
27,Mar 13$ 2020,151,0
28,Mar 14$ 2020,151,0
29,Mar 15$ 2020,200,0
30,Mar 16$ 2020,234,0
31,Mar 17$ 2020,346,1
32,Mar 18$ 2020,529,4
33,Mar 19$ 2020,640,7
34,Mar 20$ 2020,970,11
35,Mar 21$ 2020,1178,18
36,Mar 22$ 2020,1546,25
37,Mar 23$ 2020,1924,34
38,Mar 24$ 2020,2247,46
39,Mar 25$ 2020,2554,59
40,Mar 26$ 2020,2985,77
41,Mar 27$ 2020,3417,92
42,Mar 28$ 2020,3904,114
43,Mar 29$ 2020,4256,136
44,Mar 30$ 2020,4630,163
45,Mar 31$ 2020,5717,201
46,Apr 01$ 2020,6880,242
47,Apr 02$ 2020,8044,324
48,Apr 03$ 2020,9194,363
49,Apr 04$ 2020,10360,445
50,Apr 05$ 2020,11254,486
51,Apr 06$ 2020,12183,564
52,Apr 07$ 2020,14034,686
53,Apr 08$ 2020,16188,820
54,Apr 09$ 2020,18145,954
55,Apr 10$ 2020,19789,1068
56,Apr 11$ 2020,20962,1140
57,Apr 12$ 2020,22192,1223
58,Apr 13$ 2020,23430,1328
59,Apr 14$ 2020,25262,1532
60,Apr 15$ 2020,28610,1757
61,Apr 16$ 2020,30683,1947
62,Apr 17$ 2020,33682,2141
63,Apr 18$ 2020,36722,2361
64,Apr 19$ 2020,38654,2462
65,Apr 20$ 2020,40743,2587
66,Apr 21$ 2020,43079,2741
67,Apr 22$ 2020,45757,2906
68,Apr 23$ 2020,49492,3313
69,Apr 24$ 2020,52995,3670
70,Apr 25$ 2020,59196,4045
71,Apr 26$ 2020,62859,4271
72,Apr 27$ 2020,66501,4543
73,Apr 28$ 2020,72899,5063
74,Apr 29$ 2020,79361,5511
75,Apr 30$ 2020,85380,5901
76,May 01$ 2020,92109,6410
77,May 02$ 2020,96559,6750
78,May 03$ 2020,101147,7025
79,May 04$ 2020,108266,7343
80,May 05$ 2020,114715,7921
81,May 06$ 2020,126611,8588
82,May 07$ 2020,135693,9188
83,May 08$ 2020,145892,9992
84,May 09$ 2020,156061,10656
85,May 10$ 2020,162699,11123
86,May 11$ 2020,169143,11625
87,May 12$ 2020,177602,12404
88,May 13$ 2020,189157,13158
89,May 14$ 2020,202918,13993
90,May 15$ 2020,218223,14817
91,May 16$ 2020,233142,15633
92,May 17$ 2020,241080,16118
93,May 18$ 2020,255368,16853
94,May 19$ 2020,271885,17983
95,May 20$ 2020,293357,18894
96,May 21$ 2020,310921,20082
97,May 22$ 2020,330890,21048
98,May 23$ 2020,347398,22013
99,May 24$ 2020,363618,22716
100,May 25$ 2020,376669,23522
101,May 26$ 2020,392360,24549
102,May 27$ 2020,414661,25697
103,May 28$ 2020,438812,26764
104,May 29$ 2020,468338,27944
105,May 30$ 2020,498440,28834
106,May 31$ 2020,514849,29314
107,Jun 01$ 2020,529405,30046
108,Jun 02$ 2020,556668,31278
109,Jun 03$ 2020,583980,32547
110,Jun 04$ 2020,615870,34039
111,Jun 05$ 2020,646006,35047
112,Jun 06$ 2020,673587,35957
113,Jun 07$ 2020,691962,36499
114,Jun 08$ 2020,710887,37312
115,Jun 09$ 2020,742084,38497
116,Jun 10$ 2020,775184,39797
117,Jun 11$ 2020,805649,41058
118,Jun 12$ 2020,829902,41901
119,Jun 13$ 2020,850796,42791
120,Jun 14$ 2020,867882,43389
121,Jun 15$ 2020,891556,44118
122,Jun 16$ 2020,928834,45456
123,Jun 17$ 2020,960309,46665
124,Jun 18$ 2020,983359,47869
125,Jun 19$ 2020,1038568,49090
126,Jun 20$ 2020,1070139,50058
127,Jun 21$ 2020,1086990,50659
128,Jun 22$ 2020,1111348,51407
129,Jun 23$ 2020,1151479,52771
130,Jun 24$ 2020,1192474,53874
131,Jun 25$ 2020,1233147,55054
132,Jun 26$ 2020,1280054,56109
133,Jun 27$ 2020,1315941,57103
134,Jun 28$ 2020,1345254,57658
135,Jun 29$ 2020,1370488,58385
136,Jun 30$ 2020,1408485,59656
137,Jul 01$ 2020,1453369,60713
138,Jul 02$ 2020,1501353,61990
139,Jul 03$ 2020,1543341,63254
140,Jul 04$ 2020,1578376,64365
141,Jul 05$ 2020,1604585,64900
142,Jul 06$ 2020,1626071,65556
143,Jul 07$ 2020,1674655,66868
144,Jul 08$ 2020,1716196,68055
145,Jul 09$ 2020,1759103,69254
146,Jul 10$ 2020,1804338,70524
147,Jul 11$ 2020,1840812,71492
148,Jul 12$ 2020,1866176,72151
149,Jul 13$ 2020,1887959,72921
150,Jul 14$ 2020,1931204,74262
151,Jul 15$ 2020,1970909,75523
152,Jul 16$ 2020,2014738,76822
153,Jul 17$ 2020,2048697,77932
154,Jul 18$ 2020,2075246,78817
155,Jul 19$ 2020,2099896,79533
156,Jul 20$ 2020,2121645,80251
157,Jul 21$ 2020,2166532,81597
158,Jul 22$ 2020,2231871,82890
159,Jul 23$ 2020,2289951,84207
160,Jul 24$ 2020,2348200,85385
161,Jul 25$ 2020,2396434,86496
162,Jul 26$ 2020,2419901,87052
163,Jul 27$ 2020,2443480,87679
164,Jul 28$ 2020,2484649,88634
165,Jul 29$ 2020,2555518,90188
166,Jul 30$ 2020,2613789,91377
167,Jul 31$ 2020,2666298,92568
168,Aug 01$ 2020,2708876,93616
169,Aug 02$ 2020,2733677,94130
170,Aug 03$ 2020,2751665,94702
171,Aug 04$ 2020,2808076,96096
172,Aug 05$ 2020,2862761,97418
173,Aug 06$ 2020,2917562,98644
174,Aug 07$ 2020,2967064,99702
175,Aug 08$ 2020,3013369,100543
176,Aug 09$ 2020,3035582,101136
177,Aug 10$ 2020,3057470,101857
178,Aug 11$ 2020,3112393,103099
179,Aug 12$ 2020,3170474,104263
180,Aug 13$ 2020,3229621,105564
181,Aug 14$ 2020,3278895,106571
182,Aug 15$ 2020,3317832,107297
183,Aug 16$ 2020,3340197,107879
184,Aug 17$ 2020,3363235,108654
185,Aug 18$ 2020,3411872,110019
186,Aug 19$ 2020,3460413,111189
187,Aug 20$ 2020,3505097,112423
188,Aug 21$ 2020,3536488,113454
189,Aug 22$ 2020,3582698,114277
190,Aug 23$ 2020,3605783,114772
191,Aug 24$ 2020,3627217,115451
192,Aug 25$ 2020,3674176,116666
193,Aug 26$ 2020,3722004,117756
194,Aug 27$ 2020,3764493,118726
195,Aug 28$ 2020,3812605,119594
196,Aug 29$ 2020,3846965,120498
197,Aug 30$ 2020,3862311,120896
198,Aug 31$ 2020,3910901,121515
199,Sep 01$ 2020,3952790,122681
200,Sep 02$ 2020,4001422,123899
201,Sep 03$ 2020,4046150,124729
202,Sep 04$ 2020,4091801,125584
203,Sep 05$ 2020,4123000,126230
204,Sep 06$ 2020,4137606,126686
205,Sep 07$ 2020,4147794,127001
206,Sep 08$ 2020,4165124,127517
207,Sep 09$ 2020,4199332,128653
208,Sep 10$ 2020,4239763,129575
209,Sep 11$ 2020,4283978,130474
210,Sep 12$ 2020,4315858,131274
211,Sep 13$ 2020,4330455,131663
212,Sep 14$ 2020,4349544,132117
213,Sep 15$ 2020,4384299,133207
214,Sep 16$ 2020,4421686,134174
215,Sep 17$ 2020,4457443,135031
216,Sep 18$ 2020,4497434,135857
217,Sep 19$ 2020,4528347,136565
218,Sep 20$ 2020,4544629,136895
219,Sep 21$ 2020,4560083,137350
220,Sep 22$ 2020,4595335,138159
221,Sep 23$ 2020,4627780,139065
222,Sep 24$ 2020,4659909,139883
223,Sep 25$ 2020,4692579,140709
224,Sep 26$ 2020,4718115,141441
225,Sep 27$ 2020,4732309,141776
226,Sep 28$ 2020,4748327,142161
227,Sep 29$ 2020,4780317,143010
228,Sep 30$ 2020,4813586,143962
229,Oct 01$ 2020,4849229,144767
230,Oct 02$ 2020,4882231,145431
231,Oct 03$ 2020,4906833,146011
232,Oct 04$ 2020,4915289,146375
233,Oct 05$ 2020,4940499,146773
234,Oct 06$ 2020,4970953,147571
235,Oct 07$ 2020,5002357,148304
236,Oct 08$ 2020,5029539,149034
237,Oct 09$ 2020,5057190,149692
238,Oct 10$ 2020,5091840,150236
239,Oct 11$ 2020,5094979,150506
240,Oct 12$ 2020,5103408,150709
241,Oct 13$ 2020,5114823,151063
242,Oct 14$ 2020,5141498,151779
243,Oct 15$ 2020,5170996,152513
244,Oct 16$ 2020,5201570,153229
245,Oct 17$ 2020,5224362,153690
246,Oct 18$ 2020,5235344,153905
247,Oct 19$ 2020,5251127,154226
248,Oct 20$ 2020,5274817,154888
249,Oct 21$ 2020,5300649,155459
250,Oct 22$ 2020,5332634,155962
251,Oct 23$ 2020,5355650,156528
252,Oct 24$ 2020,5381224,156926
253,Oct 25$ 2020,5394128,157163
254,Oct 26$ 2020,5411550,157451
255,Oct 27$ 2020,5440903,157981
256,Oct 28$ 2020,5469755,158468
257,Oct 29$ 2020,5496402,159033
258,Oct 30$ 2020,5519528,159562
259,Oct 31$ 2020,5535605,159902
260,Nov 01$ 2020,5545705,160104
261,Nov 02$ 2020,5554206,160272
262,Nov 03$ 2020,5567126,160548
263,Nov 04$ 2020,5590941,161170
264,Nov 05$ 2020,5614258,161779
265,Nov 06$ 2020,5632505,162035
266,Nov 07$ 2020,5653561,162286
267,Nov 08$ 2020,5664115,162397
268,Nov 09$ 2020,5675766,162638
269,Nov 10$ 2020,5701283,162842
270,Nov 11$ 2020,5749007,163406
271,Nov 12$ 2020,5783647,164332
272,Nov 13$ 2020,5819496,164946
273,Nov 14$ 2020,5848959,165673
274,Nov 15$ 2020,5863093,165811
275,Nov 16$ 2020,5876740,166067
276,Nov 17$ 2020,5911758,166743
277,Nov 18$ 2020,5947403,167497
278,Nov 19$ 2020,5983089,168141
279,Nov 20$ 2020,6020164,168662
280,Nov 21$ 2020,6052786,169016
281,Nov 22$ 2020,6071401,169197
282,Nov 23$ 2020,6088004,169541
283,Nov 24$ 2020,6121449,170179
284,Nov 25$ 2020,6166898,170799
285,Nov 26$ 2020,6204570,171497
286,Nov 27$ 2020,6238350,171998
287,Nov 28$ 2020,6290272,172637
288,Nov 29$ 2020,6314740,172848
289,Nov 30$ 2020,6336278,173165
290,Dec 01$ 2020,6388526,173862
291,Dec 02$ 2020,6436650,174531
292,Dec 03$ 2020,6487516,175307
293,Dec 04$ 2020,6534951,175981
294,Dec 05$ 2020,6577177,176641
295,Dec 06$ 2020,6603540,176962
296,Dec 07$ 2020,6628065,177388
297,Dec 08$ 2020,6675915,178184
298,Dec 09$ 2020,6730118,179032
299,Dec 10$ 2020,6783543,179801
300,Dec 11$ 2020,6836313,180453
301,Dec 12$ 2020,6880595,181143
302,Dec 13$ 2020,6901990,181419
303,Dec 14$ 2020,6929409,181945
304,Dec 15$ 2020,6974258,182854
305,Dec 16$ 2020,7042695,183822
306,Dec 17$ 2020,7111527,184876
