,Date,Total Cases,Total Deaths
0,Feb 15$ 2020,8,0
1,Feb 16$ 2020,8,0
2,Feb 17$ 2020,8,0
3,Feb 18$ 2020,8,0
4,Feb 19$ 2020,8,0
5,Feb 20$ 2020,8,0
6,Feb 21$ 2020,9,0
7,Feb 22$ 2020,9,0
8,Feb 23$ 2020,10,0
9,Feb 24$ 2020,11,0
10,Feb 25$ 2020,11,0
11,Feb 26$ 2020,12,0
12,Feb 27$ 2020,14,0
13,Feb 28$ 2020,15,0
14,Feb 29$ 2020,20,0
15,Mar 01$ 2020,24,0
16,Mar 02$ 2020,27,0
17,Mar 03$ 2020,30,0
18,Mar 04$ 2020,34,0
19,Mar 05$ 2020,37,0
20,Mar 06$ 2020,54,0
21,Mar 07$ 2020,60,0
22,Mar 08$ 2020,66,0
23,Mar 09$ 2020,77,1
24,Mar 10$ 2020,95,1
25,Mar 11$ 2020,110,1
26,Mar 12$ 2020,142,1
27,Mar 13$ 2020,198,1
28,Mar 14$ 2020,252,1
29,Mar 15$ 2020,341,1
30,Mar 16$ 2020,441,4
31,Mar 17$ 2020,598,8
32,Mar 18$ 2020,727,9
33,Mar 19$ 2020,873,12
34,Mar 20$ 2020,1087,12
35,Mar 21$ 2020,1328,19
36,Mar 22$ 2020,1470,20
37,Mar 23$ 2020,2091,24
38,Mar 24$ 2020,2792,26
39,Mar 25$ 2020,3409,36
40,Mar 26$ 2020,4043,39
41,Mar 27$ 2020,4757,55
42,Mar 28$ 2020,5655,60
43,Mar 29$ 2020,6320,65
44,Mar 30$ 2020,7448,89
45,Mar 31$ 2020,8612,101
46,Apr 01$ 2020,9731,114
47,Apr 02$ 2020,11283,173
48,Apr 03$ 2020,12375,208
49,Apr 04$ 2020,13912,231
50,Apr 05$ 2020,15512,280
51,Apr 06$ 2020,16667,323
52,Apr 07$ 2020,17897,381
53,Apr 08$ 2020,19438,427
54,Apr 09$ 2020,20765,509
55,Apr 10$ 2020,22148,569
56,Apr 11$ 2020,23318,653
57,Apr 12$ 2020,24383,717
58,Apr 13$ 2020,25680,780
59,Apr 14$ 2020,27063,903
60,Apr 15$ 2020,28379,1010
61,Apr 16$ 2020,30106,1195
62,Apr 17$ 2020,31927,1310
63,Apr 18$ 2020,33383,1470
64,Apr 19$ 2020,35056,1587
65,Apr 20$ 2020,36829,1690
66,Apr 21$ 2020,38422,1834
67,Apr 22$ 2020,40190,1974
68,Apr 23$ 2020,42110,2147
69,Apr 24$ 2020,43888,2302
70,Apr 25$ 2020,45354,2465
71,Apr 26$ 2020,46895,2560
72,Apr 27$ 2020,48500,2707
73,Apr 28$ 2020,50026,2859
74,Apr 29$ 2020,51597,2996
75,Apr 30$ 2020,53236,3184
76,May 01$ 2020,55061,3391
77,May 02$ 2020,56714,3566
78,May 03$ 2020,59474,3682
79,May 04$ 2020,60772,3854
80,May 05$ 2020,62046,4043
81,May 06$ 2020,63496,4232
82,May 07$ 2020,64922,4408
83,May 08$ 2020,66434,4569
84,May 09$ 2020,67702,4693
85,May 10$ 2020,68848,4870
86,May 11$ 2020,69981,4993
87,May 12$ 2020,71157,5169
88,May 13$ 2020,72278,5302
89,May 14$ 2020,73401,5472
90,May 15$ 2020,74613,5562
91,May 16$ 2020,75864,5679
92,May 17$ 2020,77002,5782
93,May 18$ 2020,78072,5842
94,May 19$ 2020,79112,5912
95,May 20$ 2020,80142,6031
96,May 21$ 2020,81324,6152
97,May 22$ 2020,82480,6250
98,May 23$ 2020,83621,6355
99,May 24$ 2020,84699,6424
100,May 25$ 2020,85711,6545
101,May 26$ 2020,86647,6639
102,May 27$ 2020,87519,6765
103,May 28$ 2020,88512,6877
104,May 29$ 2020,89418,6979
105,May 30$ 2020,90190,7073
106,May 31$ 2020,90947,7295
107,Jun 01$ 2020,91705,7326
108,Jun 02$ 2020,92410,7395
109,Jun 03$ 2020,93085,7498
110,Jun 04$ 2020,93726,7637
111,Jun 05$ 2020,94335,7703
112,Jun 06$ 2020,95057,7773
113,Jun 07$ 2020,95699,7800
114,Jun 08$ 2020,96244,7835
115,Jun 09$ 2020,96653,7897
116,Jun 10$ 2020,97125,7960
117,Jun 11$ 2020,97530,7994
118,Jun 12$ 2020,97943,8049
119,Jun 13$ 2020,98410,8107
120,Jun 14$ 2020,98787,8146
121,Jun 15$ 2020,99147,8175
122,Jun 16$ 2020,99467,8213
123,Jun 17$ 2020,99853,8254
124,Jun 18$ 2020,100220,8300
125,Jun 19$ 2020,100629,8346
126,Jun 20$ 2020,101019,8410
127,Jun 21$ 2020,101337,8430
128,Jun 22$ 2020,101637,8436
129,Jun 23$ 2020,101963,8454
130,Jun 24$ 2020,102242,8484
131,Jun 25$ 2020,102622,8504
132,Jun 26$ 2020,102794,8508
133,Jun 27$ 2020,103032,8516
134,Jun 28$ 2020,103250,8522
135,Jun 29$ 2020,103918,8566
136,Jun 30$ 2020,104204,8591
137,Jul 01$ 2020,104271,8615
138,Jul 02$ 2020,104772,8642
139,Jul 03$ 2020,105091,8663
140,Jul 04$ 2020,105317,8674
141,Jul 05$ 2020,105536,8684
142,Jul 06$ 2020,105935,8693
143,Jul 07$ 2020,106167,8711
144,Jul 08$ 2020,106434,8737
145,Jul 09$ 2020,106805,8749
146,Jul 10$ 2020,107126,8759
147,Jul 11$ 2020,107347,8773
148,Jul 12$ 2020,107590,8783
149,Jul 13$ 2020,108155,8790
150,Jul 14$ 2020,108486,8798
151,Jul 15$ 2020,108829,8810
152,Jul 16$ 2020,109264,8827
153,Jul 17$ 2020,109669,8839
154,Jul 18$ 2020,109999,8848
155,Jul 19$ 2020,110338,8852
156,Jul 20$ 2020,111124,8858
157,Jul 21$ 2020,111697,8862
158,Jul 22$ 2020,112240,8870
159,Jul 23$ 2020,112672,8874
160,Jul 24$ 2020,113206,8881
161,Jul 25$ 2020,113556,8885
162,Jul 26$ 2020,113911,8890
163,Jul 27$ 2020,114597,8901
164,Jul 28$ 2020,114994,8912
165,Jul 29$ 2020,115470,8917
166,Jul 30$ 2020,115799,8929
167,Jul 31$ 2020,116312,8935
168,Aug 01$ 2020,116599,8941
169,Aug 02$ 2020,116884,8945
170,Aug 03$ 2020,117031,8947
171,Aug 04$ 2020,117792,8958
172,Aug 05$ 2020,118187,8962
173,Aug 06$ 2020,118561,8966
174,Aug 07$ 2020,118985,8970
175,Aug 08$ 2020,119221,8976
176,Aug 09$ 2020,119451,8981
177,Aug 10$ 2020,120132,8987
178,Aug 11$ 2020,120421,8991
179,Aug 12$ 2020,120844,9006
180,Aug 13$ 2020,121234,9015
181,Aug 14$ 2020,121652,9020
