,Date,Total Cases,Total Deaths
0,Feb 15$ 2020,0,0
1,Feb 16$ 2020,0,0
2,Feb 17$ 2020,0,0
3,Feb 18$ 2020,0,0
4,Feb 19$ 2020,0,0
5,Feb 20$ 2020,0,0
6,Feb 21$ 2020,0,0
7,Feb 22$ 2020,0,0
8,Feb 23$ 2020,0,0
9,Feb 24$ 2020,0,0
10,Feb 25$ 2020,0,0
11,Feb 26$ 2020,0,0
12,Feb 27$ 2020,0,0
13,Feb 28$ 2020,0,0
14,Feb 29$ 2020,0,0
15,Mar 01$ 2020,0,0
16,Mar 02$ 2020,0,0
17,Mar 03$ 2020,1,0
18,Mar 04$ 2020,3,0
19,Mar 05$ 2020,4,0
20,Mar 06$ 2020,5,0
21,Mar 07$ 2020,7,0
22,Mar 08$ 2020,11,0
23,Mar 09$ 2020,15,0
24,Mar 10$ 2020,20,0
25,Mar 11$ 2020,27,0
26,Mar 12$ 2020,39,0
27,Mar 13$ 2020,51,0
28,Mar 14$ 2020,72,0
29,Mar 15$ 2020,88,0
30,Mar 16$ 2020,183,0
31,Mar 17$ 2020,236,0
32,Mar 18$ 2020,279,0
33,Mar 19$ 2020,401,0
34,Mar 20$ 2020,509,0
35,Mar 21$ 2020,630,1
36,Mar 22$ 2020,741,1
37,Mar 23$ 2020,874,2
38,Mar 24$ 2020,1080,2
39,Mar 25$ 2020,1337,3
40,Mar 26$ 2020,1529,4
41,Mar 27$ 2020,1885,5
42,Mar 28$ 2020,2235,6
43,Mar 29$ 2020,2504,7
44,Mar 30$ 2020,2867,8
45,Mar 31$ 2020,3205,13
46,Apr 01$ 2020,3548,18
47,Apr 02$ 2020,3985,20
48,Apr 03$ 2020,4375,25
49,Apr 04$ 2020,4871,31
50,Apr 05$ 2020,5234,39
51,Apr 06$ 2020,5637,42
52,Apr 07$ 2020,5989,49
53,Apr 08$ 2020,6492,55
54,Apr 09$ 2020,6991,65
55,Apr 10$ 2020,7610,74
56,Apr 11$ 2020,8109,83
57,Apr 12$ 2020,8444,91
58,Apr 13$ 2020,8809,93
59,Apr 14$ 2020,9268,104
60,Apr 15$ 2020,9685,106
61,Apr 16$ 2020,10310,118
62,Apr 17$ 2020,10831,130
63,Apr 18$ 2020,11390,141
64,Apr 19$ 2020,11809,149
65,Apr 20$ 2020,12299,156
66,Apr 21$ 2020,12679,165
67,Apr 22$ 2020,13222,180
68,Apr 23$ 2020,13826,189
69,Apr 24$ 2020,14404,196
70,Apr 25$ 2020,15050,204
71,Apr 26$ 2020,15604,213
72,Apr 27$ 2020,16168,223
73,Apr 28$ 2020,16814,233
74,Apr 29$ 2020,17423,243
75,Apr 30$ 2020,18755,255
76,May 01$ 2020,19908,263
77,May 02$ 2020,21578,278
78,May 03$ 2020,23015,293
79,May 04$ 2020,24162,304
80,May 05$ 2020,25769,310
81,May 06$ 2020,26977,317
82,May 07$ 2020,28771,322
83,May 08$ 2020,30399,332
84,May 09$ 2020,31858,343
85,May 10$ 2020,33786,352
86,May 11$ 2020,35187,364
87,May 12$ 2020,37127,378
88,May 13$ 2020,40241,390
89,May 14$ 2020,43354,415
90,May 15$ 2020,46283,444
91,May 16$ 2020,48491,475
92,May 17$ 2020,51246,508
93,May 18$ 2020,53913,540
94,May 19$ 2020,58034,575
95,May 20$ 2020,62761,615
96,May 21$ 2020,67401,666
97,May 22$ 2020,72406,712
98,May 23$ 2020,76545,761
99,May 24$ 2020,80887,812
100,May 25$ 2020,86617,861
101,May 26$ 2020,91257,912
102,May 27$ 2020,96323,952
103,May 28$ 2020,101771,1007
104,May 29$ 2020,106096,1068
105,May 30$ 2020,111036,1128
106,May 31$ 2020,116690,1192
107,Jun 01$ 2020,123094,1259
108,Jun 02$ 2020,127223,1344
109,Jun 03$ 2020,133008,1442
110,Jun 04$ 2020,138468,1534
111,Jun 05$ 2020,143393,1638
112,Jun 06$ 2020,149534,1743
113,Jun 07$ 2020,157032,2477
114,Jun 08$ 2020,162529,2561
115,Jun 09$ 2020,167110,2582
116,Jun 10$ 2020,173826,2799
117,Jun 11$ 2020,180376,2995
118,Jun 12$ 2020,188283,3246
119,Jun 13$ 2020,195903,3507
120,Jun 14$ 2020,204025,3758
121,Jun 15$ 2020,210045,3802
122,Jun 16$ 2020,215911,3826
123,Jun 17$ 2020,220669,4089
124,Jun 18$ 2020,225145,4345
125,Jun 19$ 2020,231436,4630
126,Jun 20$ 2020,236792,4859
127,Jun 21$ 2020,242400,5067
128,Jun 22$ 2020,247009,5093
129,Jun 23$ 2020,250814,5096
130,Jun 24$ 2020,254464,5352
131,Jun 25$ 2020,259113,5547
132,Jun 26$ 2020,263410,5734
133,Jun 27$ 2020,267817,6050
134,Jun 28$ 2020,272034,6233
135,Jun 29$ 2020,276052,6308
136,Jun 30$ 2020,279447,6436
137,Jul 01$ 2020,282098,6510
138,Jul 02$ 2020,284597,6699
139,Jul 03$ 2020,288146,6847
140,Jul 04$ 2020,291905,7007
141,Jul 05$ 2020,295591,7138
142,Jul 06$ 2020,298617,7224
143,Jul 07$ 2020,301080,7281
144,Jul 08$ 2020,303144,7438
145,Jul 09$ 2020,306278,7561
146,Jul 10$ 2020,309337,7673
147,Jul 11$ 2020,312093,7786
148,Jul 12$ 2020,315106,7897
149,Jul 13$ 2020,317723,7948
150,Jul 14$ 2020,319559,7999
151,Jul 15$ 2020,321271,8131
152,Jul 16$ 2020,323765,8249
153,Jul 17$ 2020,326607,8347
154,Jul 18$ 2020,328915,8445
155,Jul 19$ 2020,330999,8503
156,Jul 20$ 2020,333098,8633
157,Jul 21$ 2020,334752,8677
158,Jul 22$ 2020,336471,8722
159,Jul 23$ 2020,338829,8838
160,Jul 24$ 2020,341375,8914
161,Jul 25$ 2020,343664,9020
162,Jul 26$ 2020,345862,9112
163,Jul 27$ 2020,347995,9187
164,Jul 28$ 2020,349872,9240
165,Jul 29$ 2020,351647,9278
166,Jul 30$ 2020,353608,9377
167,Jul 31$ 2020,355739,9457
168,Aug 01$ 2020,357730,9533
169,Aug 02$ 2020,359803,9608
170,Aug 03$ 2020,361565,9707
171,Aug 04$ 2020,363034,9745
172,Aug 05$ 2020,364795,9792
173,Aug 06$ 2020,366743,9889
174,Aug 07$ 2020,368897,9958
175,Aug 08$ 2020,371095,10011
176,Aug 09$ 2020,373128,10077
177,Aug 10$ 2020,375116,10139
178,Aug 11$ 2020,376688,10178
179,Aug 12$ 2020,378240,10205
180,Aug 13$ 2020,380106,10299
181,Aug 14$ 2020,382183,10340
182,Aug 15$ 2020,383974,10395
183,Aug 16$ 2020,386018,10452
184,Aug 17$ 2020,387574,10513
185,Aug 18$ 2020,388927,10546
186,Aug 19$ 2020,390109,10578
187,Aug 20$ 2020,391921,10671
188,Aug 21$ 2020,393841,10723
189,Aug 22$ 2020,395780,10792
190,Aug 23$ 2020,397737,10852
191,Aug 24$ 2020,399640,10916
192,Aug 25$ 2020,401057,10958
193,Aug 26$ 2020,402437,10990
194,Aug 27$ 2020,404174,11072
195,Aug 28$ 2020,406044,11132
196,Aug 29$ 2020,408081,11181
197,Aug 30$ 2020,410046,11244
198,Aug 31$ 2020,411798,11289
199,Sep 01$ 2020,413217,11321
200,Sep 02$ 2020,414811,11344
201,Sep 03$ 2020,416573,11422
202,Sep 04$ 2020,418537,11494
203,Sep 05$ 2020,420506,11551
204,Sep 06$ 2020,422582,11592
205,Sep 07$ 2020,424346,11652
206,Sep 08$ 2020,425613,11682
207,Sep 09$ 2020,427099,11702
208,Sep 10$ 2020,428747,11781
209,Sep 11$ 2020,430607,11850
210,Sep 12$ 2020,432738,11895
211,Sep 13$ 2020,434820,11949
212,Sep 14$ 2020,436519,12013
213,Sep 15$ 2020,438055,12040
214,Sep 16$ 2020,439359,12058
215,Sep 17$ 2020,441222,12142
216,Sep 18$ 2020,442899,12199
217,Sep 19$ 2020,444746,12254
218,Sep 20$ 2020,446346,12286
219,Sep 21$ 2020,447540,12298
220,Sep 22$ 2020,448595,12321
221,Sep 23$ 2020,449975,12345
222,Sep 24$ 2020,451718,12469
223,Sep 25$ 2020,453942,12527
224,Sep 26$ 2020,456053,12591
225,Sep 27$ 2020,457975,12641
226,Sep 28$ 2020,459745,12698
227,Sep 29$ 2020,461374,12725
228,Sep 30$ 2020,463065,12741
229,Oct 01$ 2020,464824,12822
230,Oct 02$ 2020,466664,12867
231,Oct 03$ 2020,468545,12919
232,Oct 04$ 2020,470253,12979
233,Oct 05$ 2020,471820,13037
234,Oct 06$ 2020,473380,13070
235,Oct 07$ 2020,474514,13090
236,Oct 08$ 2020,476090,13167
237,Oct 09$ 2020,477843,13220
238,Oct 10$ 2020,479669,13272
239,Oct 11$ 2020,481445,13318
240,Oct 12$ 2020,482962,13379
241,Oct 13$ 2020,484354,13396
242,Oct 14$ 2020,485446,13415
243,Oct 15$ 2020,486570,13434
244,Oct 16$ 2020,488264,13529
245,Oct 17$ 2020,490077,13588
246,Oct 18$ 2020,491834,13635
247,Oct 19$ 2020,493379,13676
248,Oct 20$ 2020,494478,13702
249,Oct 21$ 2020,495637,13719
250,Oct 22$ 2020,497131,13792
251,Oct 23$ 2020,498911,13844
252,Oct 24$ 2020,500523,13892
253,Oct 25$ 2020,502063,13944
254,Oct 26$ 2020,503598,14003
255,Oct 27$ 2020,504525,14026
256,Oct 28$ 2020,505530,14032
257,Oct 29$ 2020,507050,14118
258,Oct 30$ 2020,508571,14158
259,Oct 31$ 2020,510256,14207
260,Nov 01$ 2020,511864,14247
261,Nov 02$ 2020,513188,14302
262,Nov 03$ 2020,514202,14319
263,Nov 04$ 2020,515042,14340
264,Nov 05$ 2020,516582,14404
265,Nov 06$ 2020,518409,14450
266,Nov 07$ 2020,519977,14499
267,Nov 08$ 2020,521558,14543
268,Nov 09$ 2020,522879,14588
269,Nov 10$ 2020,523907,14611
270,Nov 11$ 2020,524804,14633
271,Nov 12$ 2020,526438,14699
272,Nov 13$ 2020,528030,14738
273,Nov 14$ 2020,529676,14777
274,Nov 15$ 2020,531273,14819
275,Nov 16$ 2020,532604,14863
276,Nov 17$ 2020,533610,14883
277,Nov 18$ 2020,534558,14897
278,Nov 19$ 2020,536012,14955
279,Nov 20$ 2020,537585,15003
280,Nov 21$ 2020,539143,15030
281,Nov 22$ 2020,540640,15069
282,Nov 23$ 2020,542080,15106
283,Nov 24$ 2020,543087,15131
284,Nov 25$ 2020,544092,15138
285,Nov 26$ 2020,545662,15235
286,Nov 27$ 2020,547223,15278
287,Nov 28$ 2020,548941,15322
288,Nov 29$ 2020,550430,15356
289,Nov 30$ 2020,551743,15410
290,Dec 01$ 2020,552864,15430
291,Dec 02$ 2020,553898,15438
292,Dec 03$ 2020,555406,15519
293,Dec 04$ 2020,557135,15558
294,Dec 05$ 2020,558668,15592
295,Dec 06$ 2020,560382,15628
296,Dec 07$ 2020,562142,15663
297,Dec 08$ 2020,563534,15680
298,Dec 09$ 2020,564778,15690
299,Dec 10$ 2020,566440,15774
300,Dec 11$ 2020,567974,15782
301,Dec 12$ 2020,569781,15846
302,Dec 13$ 2020,571919,15886
303,Dec 14$ 2020,573830,15931
304,Dec 15$ 2020,575329,15949
305,Dec 16$ 2020,576731,15959
306,Dec 17$ 2020,578732,16007
307,Dec 18$ 2020,581135,16051
308,Dec 19$ 2020,583354,16101
309,Dec 20$ 2020,585545,16154
310,Dec 21$ 2020,587488,16197
311,Dec 22$ 2020,589189,16217
312,Dec 23$ 2020,590914,16228
313,Dec 24$ 2020,593310,16303
314,Dec 25$ 2020,595831,16358
315,Dec 26$ 2020,598394,16404
316,Dec 27$ 2020,600105,16443
317,Dec 28$ 2020,602028,16443
318,Dec 29$ 2020,603986,16488
