,Date,Total Cases,Total Deaths
0,Jan 22$ 2020,571,17
1,Jan 23$ 2020,830,25
2,Jan 24$ 2020,1287,41
3,Jan 25$ 2020,1975,56
4,Jan 26$ 2020,2744,80
5,Jan 27$ 2020,4515,106
6,Jan 28$ 2020,5974,132
7,Jan 29$ 2020,7711,170
8,Jan 30$ 2020,9692,213
9,Jan 31$ 2020,11791,259
10,Feb 01$ 2020,14380,304
11,Feb 02$ 2020,17205,361
12,Feb 03$ 2020,20440,425
13,Feb 04$ 2020,24324,490
14,Feb 05$ 2020,28018,563
15,Feb 06$ 2020,31161,636
16,Feb 07$ 2020,34546,722
17,Feb 08$ 2020,37198,811
18,Feb 09$ 2020,40171,908
19,Feb 10$ 2020,42638,1016
20,Feb 11$ 2020,44653,1113
21,Feb 12$ 2020,58761,1259
22,Feb 13$ 2020,63851,1380
23,Feb 14$ 2020,66492,1523
24,Feb 15$ 2020,68500,1665
25,Feb 16$ 2020,70548,1770
26,Feb 17$ 2020,72436,1868
27,Feb 18$ 2020,74185,2004
28,Feb 19$ 2020,74576,2118
29,Feb 20$ 2020,75465,2236
30,Feb 21$ 2020,76288,2345
31,Feb 22$ 2020,76936,2442
32,Feb 23$ 2020,77150,2592
33,Feb 24$ 2020,77658,2663
34,Feb 25$ 2020,78064,2715
35,Feb 26$ 2020,78497,2744
36,Feb 27$ 2020,78824,2788
37,Feb 28$ 2020,79251,2835
38,Feb 29$ 2020,79824,2870
39,Mar 01$ 2020,80026,2912
40,Mar 02$ 2020,80151,2943
41,Mar 03$ 2020,80270,2981
42,Mar 04$ 2020,80409,3012
43,Mar 05$ 2020,80552,3042
44,Mar 06$ 2020,80651,3070
45,Mar 07$ 2020,80695,3097
46,Mar 08$ 2020,80735,3119
47,Mar 09$ 2020,80754,3136
48,Mar 10$ 2020,80778,3158
49,Mar 11$ 2020,80793,3169
50,Mar 12$ 2020,80813,3176
51,Mar 13$ 2020,80824,3189
52,Mar 14$ 2020,80844,3199
53,Mar 15$ 2020,80860,3213
54,Mar 16$ 2020,80881,3226
55,Mar 17$ 2020,80894,3237
56,Mar 18$ 2020,80928,3245
57,Mar 19$ 2020,80967,3248
58,Mar 20$ 2020,81008,3255
59,Mar 21$ 2020,81054,3261
60,Mar 22$ 2020,81093,3270
61,Mar 23$ 2020,81171,3277
62,Mar 24$ 2020,81218,3281
63,Mar 25$ 2020,81285,3287
64,Mar 26$ 2020,81340,3292
65,Mar 27$ 2020,81394,3295
66,Mar 28$ 2020,81439,3300
67,Mar 29$ 2020,81439,3300
68,Mar 30$ 2020,81518,3305
69,Mar 31$ 2020,81554,3312
70,Apr 01$ 2020,81589,3318
71,Apr 02$ 2020,81620,3322
72,Apr 03$ 2020,81639,3326
73,Apr 04$ 2020,81669,3329
74,Apr 05$ 2020,81708,3331
75,Apr 06$ 2020,81740,3331
76,Apr 07$ 2020,81802,3333
77,Apr 08$ 2020,81865,3335
78,Apr 09$ 2020,81907,3336
79,Apr 10$ 2020,81953,3339
80,Apr 11$ 2020,82052,3339
81,Apr 12$ 2020,82160,3341
82,Apr 13$ 2020,82249,3341
83,Apr 14$ 2020,82295,3342
84,Apr 15$ 2020,82341,3342
85,Apr 16$ 2020,82367,3342
86,Apr 17$ 2020,82692,4632
87,Apr 18$ 2020,82719,4632
88,Apr 19$ 2020,82735,4632
89,Apr 20$ 2020,82747,4632
90,Apr 21$ 2020,82758,4632
91,Apr 22$ 2020,82788,4632
92,Apr 23$ 2020,82798,4632
93,Apr 24$ 2020,82804,4632
94,Apr 25$ 2020,82816,4632
95,Apr 26$ 2020,82827,4632
96,Apr 27$ 2020,82830,4633
97,Apr 28$ 2020,82836,4633
98,Apr 29$ 2020,82858,4633
99,Apr 30$ 2020,82862,4633
100,May 01$ 2020,82874,4633
101,May 02$ 2020,82875,4633
102,May 03$ 2020,82877,4633
103,May 04$ 2020,82880,4633
104,May 05$ 2020,82881,4633
105,May 06$ 2020,82883,4633
106,May 07$ 2020,82885,4633
107,May 08$ 2020,82886,4633
108,May 09$ 2020,82887,4633
109,May 10$ 2020,82901,4633
110,May 11$ 2020,82918,4633
111,May 12$ 2020,82919,4633
112,May 13$ 2020,82926,4633
113,May 14$ 2020,82929,4633
114,May 15$ 2020,82933,4633
115,May 16$ 2020,82941,4633
116,May 17$ 2020,82947,4634
117,May 18$ 2020,82954,4634
118,May 19$ 2020,82960,4634
119,May 20$ 2020,82965,4634
120,May 21$ 2020,82967,4634
121,May 22$ 2020,82971,4634
122,May 23$ 2020,82971,4634
123,May 24$ 2020,82974,4634
124,May 25$ 2020,82985,4634
125,May 26$ 2020,82992,4634
126,May 27$ 2020,82993,4634
127,May 28$ 2020,82995,4634
128,May 29$ 2020,82995,4634
129,May 30$ 2020,82999,4634
130,May 31$ 2020,83001,4634
131,Jun 01$ 2020,83017,4634
132,Jun 02$ 2020,83021,4634
133,Jun 03$ 2020,83021,4634
134,Jun 04$ 2020,83022,4634
135,Jun 05$ 2020,83027,4634
136,Jun 06$ 2020,83030,4634
137,Jun 07$ 2020,83036,4634
138,Jun 08$ 2020,83040,4634
139,Jun 09$ 2020,83043,4634
140,Jun 10$ 2020,83046,4634
141,Jun 11$ 2020,83057,4634
142,Jun 12$ 2020,83064,4634
143,Jun 13$ 2020,83075,4634
144,Jun 14$ 2020,83132,4634
145,Jun 15$ 2020,83181,4634
146,Jun 16$ 2020,83221,4634
147,Jun 17$ 2020,83265,4634
148,Jun 18$ 2020,83293,4634
149,Jun 19$ 2020,83325,4634
150,Jun 20$ 2020,83352,4634
151,Jun 21$ 2020,83378,4634
152,Jun 22$ 2020,83396,4634
153,Jun 23$ 2020,83418,4634
154,Jun 24$ 2020,83430,4634
155,Jun 25$ 2020,83449,4634
156,Jun 26$ 2020,83462,4634
157,Jun 27$ 2020,83483,4634
158,Jun 28$ 2020,83500,4634
