,Date,Total Cases,Total Deaths
0,Feb 15$ 2020,0,0
1,Feb 16$ 2020,0,0
2,Feb 17$ 2020,0,0
3,Feb 18$ 2020,0,0
4,Feb 19$ 2020,0,0
5,Feb 20$ 2020,0,0
6,Feb 21$ 2020,0,0
7,Feb 22$ 2020,0,0
8,Feb 23$ 2020,0,0
9,Feb 24$ 2020,0,0
10,Feb 25$ 2020,0,0
11,Feb 26$ 2020,0,0
12,Feb 27$ 2020,0,0
13,Feb 28$ 2020,0,0
14,Feb 29$ 2020,0,0
15,Mar 01$ 2020,0,0
16,Mar 02$ 2020,0,0
17,Mar 03$ 2020,0,0
18,Mar 04$ 2020,0,0
19,Mar 05$ 2020,0,0
20,Mar 06$ 2020,1,0
21,Mar 07$ 2020,1,0
22,Mar 08$ 2020,1,0
23,Mar 09$ 2020,3,0
24,Mar 10$ 2020,3,0
25,Mar 11$ 2020,9,0
26,Mar 12$ 2020,9,0
27,Mar 13$ 2020,16,0
28,Mar 14$ 2020,24,0
29,Mar 15$ 2020,34,0
30,Mar 16$ 2020,54,0
31,Mar 17$ 2020,65,0
32,Mar 18$ 2020,93,0
33,Mar 19$ 2020,108,0
34,Mar 20$ 2020,145,0
35,Mar 21$ 2020,196,0
36,Mar 22$ 2020,231,2
37,Mar 23$ 2020,277,3
38,Mar 24$ 2020,378,3
39,Mar 25$ 2020,470,4
40,Mar 26$ 2020,491,6
41,Mar 27$ 2020,539,6
42,Mar 28$ 2020,608,6
43,Mar 29$ 2020,702,10
44,Mar 30$ 2020,798,14
45,Mar 31$ 2020,906,16
46,Apr 01$ 2020,1065,17
47,Apr 02$ 2020,1161,19
48,Apr 03$ 2020,1267,25
49,Apr 04$ 2020,1406,32
50,Apr 05$ 2020,1485,35
51,Apr 06$ 2020,1579,46
52,Apr 07$ 2020,1780,50
53,Apr 08$ 2020,2054,55
54,Apr 09$ 2020,2223,69
55,Apr 10$ 2020,2473,80
56,Apr 11$ 2020,2709,100
57,Apr 12$ 2020,2776,109
58,Apr 13$ 2020,2852,112
59,Apr 14$ 2020,2979,127
60,Apr 15$ 2020,3105,131
61,Apr 16$ 2020,3233,144
62,Apr 17$ 2020,3439,153
63,Apr 18$ 2020,3621,166
64,Apr 19$ 2020,3792,179
65,Apr 20$ 2020,3977,189
66,Apr 21$ 2020,4149,196
67,Apr 22$ 2020,4356,206
68,Apr 23$ 2020,4561,215
69,Apr 24$ 2020,4881,225
70,Apr 25$ 2020,5142,233
71,Apr 26$ 2020,5379,244
72,Apr 27$ 2020,5597,253
73,Apr 28$ 2020,5949,269
74,Apr 29$ 2020,6207,278
75,Apr 30$ 2020,6507,293
76,May 01$ 2020,7006,314
77,May 02$ 2020,7285,324
78,May 03$ 2020,7668,340
79,May 04$ 2020,7973,358
80,May 05$ 2020,8613,378
81,May 06$ 2020,8959,397
82,May 07$ 2020,9456,407
83,May 08$ 2020,10051,428
84,May 09$ 2020,10495,445
85,May 10$ 2020,11063,463
86,May 11$ 2020,11613,479
87,May 12$ 2020,12272,493
88,May 13$ 2020,12930,509
89,May 14$ 2020,13610,525
90,May 15$ 2020,14216,546
91,May 16$ 2020,14939,562
92,May 17$ 2020,15574,574
93,May 18$ 2020,16295,592
94,May 19$ 2020,16935,613
95,May 20$ 2020,17687,630
96,May 21$ 2020,18330,652
97,May 22$ 2020,19131,682
98,May 23$ 2020,20177,705
99,May 24$ 2020,21175,727
100,May 25$ 2020,21981,750
101,May 26$ 2020,23003,776
102,May 27$ 2020,24104,803
103,May 28$ 2020,25366,822
104,May 29$ 2020,26688,853
105,May 30$ 2020,28236,890
106,May 31$ 2020,29383,939
107,Jun 01$ 2020,30493,969
108,Jun 02$ 2020,31833,1009
109,Jun 03$ 2020,33354,1045
110,Jun 04$ 2020,35120,1087
111,Jun 05$ 2020,36635,1145
112,Jun 06$ 2020,38027,1205
113,Jun 07$ 2020,39236,1259
114,Jun 08$ 2020,40719,1308
115,Jun 09$ 2020,42078,1372
116,Jun 10$ 2020,43682,1433
117,Jun 11$ 2020,45212,1488
118,Jun 12$ 2020,46858,1545
119,Jun 13$ 2020,48746,1592
120,Jun 14$ 2020,50939,1667
121,Jun 15$ 2020,53063,1726
122,Jun 16$ 2020,54931,1801
123,Jun 17$ 2020,57046,1864
124,Jun 18$ 2020,60217,1950
125,Jun 19$ 2020,63276,2045
126,Jun 20$ 2020,65633,2126
127,Jun 21$ 2020,68652,2237
128,Jun 22$ 2020,71183,2310
129,Jun 23$ 2020,73572,2404
130,Jun 24$ 2020,77113,2491
131,Jun 25$ 2020,80599,2654
132,Jun 26$ 2020,84442,2811
133,Jun 27$ 2020,88591,2939
134,Jun 28$ 2020,91769,3106
135,Jun 29$ 2020,95043,3223
136,Jun 30$ 2020,97846,3334
137,Jul 01$ 2020,102009,3470
138,Jul 02$ 2020,106110,3641
139,Jul 03$ 2020,109505,3777
140,Jul 04$ 2020,113389,3942
141,Jul 05$ 2020,117110,4064
142,Jul 06$ 2020,120281,4210
143,Jul 07$ 2020,124494,4359
144,Jul 08$ 2020,128638,4527
145,Jul 09$ 2020,133973,4714
146,Jul 10$ 2020,140776,4925
147,Jul 11$ 2020,145362,5119
148,Jul 12$ 2020,150445,5307
149,Jul 13$ 2020,154277,5455
150,Jul 14$ 2020,159898,5625
151,Jul 15$ 2020,165169,5814
152,Jul 16$ 2020,173206,6029
153,Jul 17$ 2020,182140,6288
154,Jul 18$ 2020,190700,6516
155,Jul 19$ 2020,197278,6736
156,Jul 20$ 2020,204005,6929
157,Jul 21$ 2020,211038,7166
158,Jul 22$ 2020,218428,7373
159,Jul 23$ 2020,226373,7688
160,Jul 24$ 2020,233541,7975
161,Jul 25$ 2020,240795,8269
162,Jul 26$ 2020,248976,8525
163,Jul 27$ 2020,257101,8777
164,Jul 28$ 2020,267385,9074
165,Jul 29$ 2020,276055,9454
166,Jul 30$ 2020,286020,9810
167,Jul 31$ 2020,295508,10105
168,Aug 01$ 2020,306181,10330
169,Aug 02$ 2020,317651,10650
170,Aug 03$ 2020,327850,11017
171,Aug 04$ 2020,334979,11315
172,Aug 05$ 2020,345714,11624
173,Aug 06$ 2020,357710,11939
174,Aug 07$ 2020,367196,12250
175,Aug 08$ 2020,376870,12540
176,Aug 09$ 2020,387481,12842
177,Aug 10$ 2020,397623,13154
178,Aug 11$ 2020,410453,13475
179,Aug 12$ 2020,422519,13837
180,Aug 13$ 2020,433805,14145
181,Aug 14$ 2020,445111,14492
182,Aug 15$ 2020,456689,14810
183,Aug 16$ 2020,468332,15097
184,Aug 17$ 2020,476660,15372
185,Aug 18$ 2020,489122,15619
186,Aug 19$ 2020,502178,15979
187,Aug 20$ 2020,513719,16183
188,Aug 21$ 2020,522138,16568
189,Aug 22$ 2020,533103,16968
190,Aug 23$ 2020,541147,17316
191,Aug 24$ 2020,551696,17612
192,Aug 25$ 2020,562128,17889
193,Aug 26$ 2020,572270,18184
194,Aug 27$ 2020,582022,18468
195,Aug 28$ 2020,590520,18767
196,Aug 29$ 2020,599914,19064
197,Aug 30$ 2020,607938,19364
198,Aug 31$ 2020,615168,19663
199,Sep 01$ 2020,624069,20052
200,Sep 02$ 2020,633339,20348
201,Sep 03$ 2020,641574,20618
202,Sep 04$ 2020,650062,20888
203,Sep 05$ 2020,658456,21156
204,Sep 06$ 2020,666521,21412
205,Sep 07$ 2020,671848,21615
206,Sep 08$ 2020,679513,21817
207,Sep 09$ 2020,686856,22053
208,Sep 10$ 2020,694664,22275
209,Sep 11$ 2020,702088,22518
210,Sep 12$ 2020,708964,22734
211,Sep 13$ 2020,716319,22924
212,Sep 14$ 2020,721892,23123
213,Sep 15$ 2020,728590,23288
214,Sep 16$ 2020,736377,23478
215,Sep 17$ 2020,743945,23665
216,Sep 18$ 2020,750471,23850
217,Sep 19$ 2020,758398,24039
218,Sep 20$ 2020,765076,24208
219,Sep 21$ 2020,770435,24397
220,Sep 22$ 2020,777537,24570
221,Sep 23$ 2020,784268,24746
222,Sep 24$ 2020,790823,24924
223,Sep 25$ 2020,798317,25103
224,Sep 26$ 2020,806038,25296
225,Sep 27$ 2020,813056,25488
226,Sep 28$ 2020,818203,25641
227,Sep 29$ 2020,824042,25828
228,Sep 30$ 2020,829679,25998
229,Oct 01$ 2020,835339,26196
230,Oct 02$ 2020,841531,26397
231,Oct 03$ 2020,848147,26556
232,Oct 04$ 2020,855052,26712
233,Oct 05$ 2020,862158,26844
234,Oct 06$ 2020,869808,27017
235,Oct 07$ 2020,877683,27180
236,Oct 08$ 2020,886179,27331
237,Oct 09$ 2020,894300,27495
238,Oct 10$ 2020,902747,27660
239,Oct 11$ 2020,911316,27834
240,Oct 12$ 2020,919083,27985
241,Oct 13$ 2020,924098,28141
242,Oct 14$ 2020,930159,28306
243,Oct 15$ 2020,936982,28457
244,Oct 16$ 2020,945354,28616
245,Oct 17$ 2020,952371,28803
246,Oct 18$ 2020,959572,28970
247,Oct 19$ 2020,965883,29102
248,Oct 20$ 2020,974139,29272
249,Oct 21$ 2020,981700,29464
250,Oct 22$ 2020,990270,29636
251,Oct 23$ 2020,998942,29802
252,Oct 24$ 2020,1007711,30000
253,Oct 25$ 2020,1015885,30154
254,Oct 26$ 2020,1025052,30348
255,Oct 27$ 2020,1033218,30565
256,Oct 28$ 2020,1041935,30753
257,Oct 29$ 2020,1053122,30926
258,Oct 30$ 2020,1063151,31135
259,Oct 31$ 2020,1074184,31314
260,Nov 01$ 2020,1083321,31515
261,Nov 02$ 2020,1093256,31670
262,Nov 03$ 2020,1099392,31847
263,Nov 04$ 2020,1108084,32013
264,Nov 05$ 2020,1117977,32209
265,Nov 06$ 2020,1127733,32405
266,Nov 07$ 2020,1136447,32595
267,Nov 08$ 2020,1143887,32791
268,Nov 09$ 2020,1149063,32974
269,Nov 10$ 2020,1156675,33148
270,Nov 11$ 2020,1165326,33312
271,Nov 12$ 2020,1174012,33491
272,Nov 13$ 2020,1182697,33669
273,Nov 14$ 2020,1191004,33829
274,Nov 15$ 2020,1198746,34031
275,Nov 16$ 2020,1205217,34223
276,Nov 17$ 2020,1211128,34381
277,Nov 18$ 2020,1218003,34563
278,Nov 19$ 2020,1225490,34761
279,Nov 20$ 2020,1233444,34929
280,Nov 21$ 2020,1240493,35104
281,Nov 22$ 2020,1248417,35287
282,Nov 23$ 2020,1254979,35479
283,Nov 24$ 2020,1262494,35677
284,Nov 25$ 2020,1270991,35860
285,Nov 26$ 2020,1280487,36019
286,Nov 27$ 2020,1290510,36214
287,Nov 28$ 2020,1299613,36401
288,Nov 29$ 2020,1308376,36584
289,Nov 30$ 2020,1316806,36766
290,Dec 01$ 2020,1324792,36934
291,Dec 02$ 2020,1334089,37117
292,Dec 03$ 2020,1343322,37305
293,Dec 04$ 2020,1352607,37467
294,Dec 05$ 2020,1362249,37633
295,Dec 06$ 2020,1371103,37808
296,Dec 07$ 2020,1377100,37995
297,Dec 08$ 2020,1384610,38158
298,Dec 09$ 2020,1392133,38308
299,Dec 10$ 2020,1399911,38484
300,Dec 11$ 2020,1408909,38669
301,Dec 12$ 2020,1417072,38866
302,Dec 13$ 2020,1425774,39053
303,Dec 14$ 2020,1434516,39195
304,Dec 15$ 2020,1444646,39356
305,Dec 16$ 2020,1456599,39560
306,Dec 17$ 2020,1468795,39787
307,Dec 18$ 2020,1482072,40019
308,Dec 19$ 2020,1496062,40268
309,Dec 20$ 2020,1507222,40475
310,Dec 21$ 2020,1518067,40680
311,Dec 22$ 2020,1530593,40931
312,Dec 23$ 2020,1544826,41174
313,Dec 24$ 2020,1559766,41454
314,Dec 25$ 2020,1574707,41690
315,Dec 26$ 2020,1584903,41943
