,Date,Total Cases,Total Deaths
0,Feb 15$ 2020,0,0
1,Feb 16$ 2020,0,0
2,Feb 17$ 2020,0,0
3,Feb 18$ 2020,0,0
4,Feb 19$ 2020,0,0
5,Feb 20$ 2020,0,0
6,Feb 21$ 2020,0,0
7,Feb 22$ 2020,0,0
8,Feb 23$ 2020,0,0
9,Feb 24$ 2020,0,0
10,Feb 25$ 2020,0,0
11,Feb 26$ 2020,0,0
12,Feb 27$ 2020,0,0
13,Feb 28$ 2020,0,0
14,Feb 29$ 2020,1,0
15,Mar 01$ 2020,6,0
16,Mar 02$ 2020,6,0
17,Mar 03$ 2020,7,0
18,Mar 04$ 2020,10,0
19,Mar 05$ 2020,13,0
20,Mar 06$ 2020,13,0
21,Mar 07$ 2020,14,0
22,Mar 08$ 2020,14,0
23,Mar 09$ 2020,15,0
24,Mar 10$ 2020,17,0
25,Mar 11$ 2020,17,0
26,Mar 12$ 2020,17,0
27,Mar 13$ 2020,23,2
28,Mar 14$ 2020,28,4
29,Mar 15$ 2020,36,4
30,Mar 16$ 2020,56,4
31,Mar 17$ 2020,105,4
32,Mar 18$ 2020,158,6
33,Mar 19$ 2020,244,6
34,Mar 20$ 2020,398,12
35,Mar 21$ 2020,497,12
36,Mar 22$ 2020,736,23
37,Mar 23$ 2020,914,29
38,Mar 24$ 2020,1008,43
39,Mar 25$ 2020,1128,46
40,Mar 26$ 2020,1306,54
41,Mar 27$ 2020,1514,65
42,Mar 28$ 2020,1696,76
43,Mar 29$ 2020,1790,92
44,Mar 30$ 2020,1829,98
45,Mar 31$ 2020,2141,125
46,Apr 01$ 2020,2565,155
47,Apr 02$ 2020,2941,189
48,Apr 03$ 2020,3132,228
49,Apr 04$ 2020,3222,270
50,Apr 05$ 2020,3390,282
51,Apr 06$ 2020,3484,299
52,Apr 07$ 2020,3715,344
53,Apr 08$ 2020,4138,378
54,Apr 09$ 2020,4617,425
55,Apr 10$ 2020,6658,464
56,Apr 11$ 2020,6747,492
57,Apr 12$ 2020,6941,520
58,Apr 13$ 2020,7000,554
59,Apr 14$ 2020,7069,576
60,Apr 15$ 2020,7306,606
61,Apr 16$ 2020,7647,629
62,Apr 17$ 2020,7856,657
63,Apr 18$ 2020,8388,712
64,Apr 19$ 2020,8803,740
65,Apr 20$ 2020,9416,792
66,Apr 21$ 2020,9667,812
67,Apr 22$ 2020,10087,839
68,Apr 23$ 2020,10397,875
69,Apr 24$ 2020,17456,900
70,Apr 25$ 2020,17456,900
71,Apr 26$ 2020,17456,900
72,Apr 27$ 2020,17940,1036
73,Apr 28$ 2020,18886,1361
74,Apr 29$ 2020,19274,1380
75,Apr 30$ 2020,19515,1407
76,May 01$ 2020,20818,1662
77,May 02$ 2020,21866,2143
78,May 03$ 2020,23794,2444
79,May 04$ 2020,25972,2452
80,May 05$ 2020,25972,2452
81,May 06$ 2020,25972,2529
82,May 07$ 2020,26788,2585
83,May 08$ 2020,26788,2663
84,May 09$ 2020,27023,2683
85,May 10$ 2020,27430,3323
86,May 11$ 2020,27430,3351
87,May 12$ 2020,28276,3635
88,May 13$ 2020,28338,3646
89,May 14$ 2020,28353,3652
90,May 15$ 2020,29250,4052
91,May 16$ 2020,30455,4199
92,May 17$ 2020,30844,4274
93,May 18$ 2020,31216,4372
94,May 19$ 2020,31745,4434
95,May 20$ 2020,32398,4511
96,May 21$ 2020,32818,4591
97,May 22$ 2020,33303,4774
98,May 23$ 2020,33703,4836
99,May 24$ 2020,34166,4855
100,May 25$ 2020,34723,5003
101,May 26$ 2020,34723,5003
102,May 27$ 2020,35418,5115
103,May 28$ 2020,35760,5174
104,May 29$ 2020,35853,5207
105,May 30$ 2020,35853,5207
106,May 31$ 2020,36343,5244
107,Jun 01$ 2020,37176,5300
108,Jun 02$ 2020,37566,5369
109,Jun 03$ 2020,38079,5444
110,Jun 04$ 2020,38079,5444
111,Jun 05$ 2020,38645,5519
112,Jun 06$ 2020,39717,5635
113,Jun 07$ 2020,40081,5655
114,Jun 08$ 2020,40321,5688
115,Jun 09$ 2020,40822,5763
116,Jun 10$ 2020,41308,5810
117,Jun 11$ 2020,41308,5810
118,Jun 12$ 2020,42552,5979
119,Jun 13$ 2020,43089,6051
120,Jun 14$ 2020,43456,6085
121,Jun 15$ 2020,43987,6137
122,Jun 16$ 2020,44564,6201
123,Jun 17$ 2020,45072,6259
124,Jun 18$ 2020,45636,6384
125,Jun 19$ 2020,46225,6492
126,Jun 20$ 2020,46225,6492
127,Jun 21$ 2020,47070,6597
128,Jun 22$ 2020,47070,6597
129,Jun 23$ 2020,48002,6677
130,Jun 24$ 2020,48002,6677
131,Jun 25$ 2020,49408,6785
132,Jun 26$ 2020,50059,6883
133,Jun 27$ 2020,50726,6911
134,Jun 28$ 2020,51359,6919
135,Jun 29$ 2020,51740,7033
136,Jun 30$ 2020,52453,7072
137,Jul 01$ 2020,54149,7149
138,Jul 02$ 2020,55275,7247
139,Jul 03$ 2020,56380,7342
140,Jul 04$ 2020,57196,7450
141,Jul 05$ 2020,57589,7469
142,Jul 06$ 2020,57981,7531
143,Jul 07$ 2020,58785,7612
144,Jul 08$ 2020,58785,7612
145,Jul 09$ 2020,59692,7654
146,Jul 10$ 2020,60433,7715
147,Jul 11$ 2020,62469,7859
148,Jul 12$ 2020,63083,7884
149,Jul 13$ 2020,63630,7909
150,Jul 14$ 2020,64663,8014
151,Jul 15$ 2020,65368,8058
152,Jul 16$ 2020,66331,8135
153,Jul 17$ 2020,67334,8202
154,Jul 18$ 2020,68206,8252
155,Jul 19$ 2020,68792,8300
156,Jul 20$ 2020,69356,8308
157,Jul 21$ 2020,70840,8383
158,Jul 22$ 2020,71807,8464
159,Jul 23$ 2020,72635,8497
160,Jul 24$ 2020,73472,8542
161,Jul 25$ 2020,74389,8603
162,Jul 26$ 2020,75001,8615
163,Jul 27$ 2020,75435,8642
164,Jul 28$ 2020,76474,8723
165,Jul 29$ 2020,77324,8784
166,Jul 30$ 2020,78418,8837
167,Jul 31$ 2020,79334,8907
168,Aug 01$ 2020,80149,8960
169,Aug 02$ 2020,80420,8982
170,Aug 03$ 2020,80901,9009
171,Aug 04$ 2020,81758,9073
172,Aug 05$ 2020,82597,9134
173,Aug 06$ 2020,84150,9181
174,Aug 07$ 2020,85481,9212
175,Aug 08$ 2020,86971,9242
176,Aug 09$ 2020,87795,9251
177,Aug 10$ 2020,88020,9267
178,Aug 11$ 2020,88821,9297
179,Aug 12$ 2020,90259,9349
180,Aug 13$ 2020,91405,9390
181,Aug 14$ 2020,92396,9421
182,Aug 15$ 2020,93585,9476
183,Aug 16$ 2020,94379,9484
184,Aug 17$ 2020,94573,9504
185,Aug 18$ 2020,95679,9538
186,Aug 19$ 2020,97105,9602
187,Aug 20$ 2020,98065,9686
188,Aug 21$ 2020,98969,9761
189,Aug 22$ 2020,99534,9806
190,Aug 23$ 2020,100166,9858
191,Aug 24$ 2020,100649,9877
192,Aug 25$ 2020,101338,9949
193,Aug 26$ 2020,102750,10015
194,Aug 27$ 2020,103373,10110
195,Aug 28$ 2020,104230,10162
196,Aug 29$ 2020,104941,10214
197,Aug 30$ 2020,105631,10242
198,Aug 31$ 2020,105742,10244
199,Sep 01$ 2020,106246,10267
200,Sep 02$ 2020,107313,10342
201,Sep 03$ 2020,108152,10387
202,Sep 04$ 2020,108910,10428
203,Sep 05$ 2020,109720,10504
204,Sep 06$ 2020,109784,10524
205,Sep 07$ 2020,110092,10576
206,Sep 08$ 2020,110757,10627
207,Sep 09$ 2020,112166,10701
208,Sep 10$ 2020,113206,10749
209,Sep 11$ 2020,114732,10836
210,Sep 12$ 2020,116451,10864
211,Sep 13$ 2020,118594,10903
212,Sep 14$ 2020,118911,10922
213,Sep 15$ 2020,119553,10963
214,Sep 16$ 2020,121525,10996
215,Sep 17$ 2020,122257,11029
216,Sep 18$ 2020,124129,11044
217,Sep 19$ 2020,125620,11084
218,Sep 20$ 2020,126419,11090
219,Sep 21$ 2020,126711,11095
220,Sep 22$ 2020,127643,11126
221,Sep 23$ 2020,129892,11171
222,Sep 24$ 2020,131146,11213
223,Sep 25$ 2020,132475,11236
224,Sep 26$ 2020,133981,11273
225,Sep 27$ 2020,134747,11279
226,Sep 28$ 2020,134965,11280
227,Sep 29$ 2020,135749,11312
228,Sep 30$ 2020,137047,11355
229,Oct 01$ 2020,138584,11433
230,Oct 02$ 2020,139534,11495
231,Oct 03$ 2020,140351,11597
232,Oct 04$ 2020,141034,11647
233,Oct 05$ 2020,141339,11681
234,Oct 06$ 2020,142056,11702
235,Oct 07$ 2020,143531,11743
236,Oct 08$ 2020,145045,12141
237,Oct 09$ 2020,145848,12175
238,Oct 10$ 2020,146828,12188
239,Oct 11$ 2020,147033,12191
240,Oct 12$ 2020,147315,12218
241,Oct 13$ 2020,148171,12235
242,Oct 14$ 2020,149083,12264
243,Oct 15$ 2020,150360,12306
244,Oct 16$ 2020,151659,12357
245,Oct 17$ 2020,152422,12375
246,Oct 18$ 2020,153289,12387
247,Oct 19$ 2020,153423,12395
248,Oct 20$ 2020,154115,12404
249,Oct 21$ 2020,155625,12453
250,Oct 22$ 2020,156451,12500
251,Oct 23$ 2020,158270,12528
252,Oct 24$ 2020,159614,12542
253,Oct 25$ 2020,161635,12553
254,Oct 26$ 2020,162178,12573
255,Oct 27$ 2020,163192,12588
256,Oct 28$ 2020,164908,12608
257,Oct 29$ 2020,166302,12622
258,Oct 30$ 2020,167147,12632
259,Oct 31$ 2020,168192,12670
260,Nov 01$ 2020,169194,12684
261,Nov 02$ 2020,169562,12692
262,Nov 03$ 2020,170110,12698
263,Nov 04$ 2020,171433,12704
264,Nov 05$ 2020,171783,12730
265,Nov 06$ 2020,172508,12761
266,Nov 07$ 2020,173486,12815
267,Nov 08$ 2020,174907,12830
268,Nov 09$ 2020,175269,12839
269,Nov 10$ 2020,175711,12849
270,Nov 11$ 2020,176630,12920
271,Nov 12$ 2020,177513,12946
272,Nov 13$ 2020,178674,12977
273,Nov 14$ 2020,179627,12997
274,Nov 15$ 2020,180295,13008
275,Nov 16$ 2020,180676,13016
276,Nov 17$ 2020,181104,13025
277,Nov 18$ 2020,182250,13052
278,Nov 19$ 2020,183246,13073
279,Nov 20$ 2020,183840,13095
280,Nov 21$ 2020,184876,13139
281,Nov 22$ 2020,185643,13201
282,Nov 23$ 2020,185944,13225
283,Nov 24$ 2020,186436,13264
284,Nov 25$ 2020,187230,13288
285,Nov 26$ 2020,188138,13316
286,Nov 27$ 2020,189534,13358
287,Nov 28$ 2020,190909,13371
288,Nov 29$ 2020,192117,13423
289,Nov 30$ 2020,192685,13461
290,Dec 01$ 2020,193673,13501
291,Dec 02$ 2020,194876,13562
292,Dec 03$ 2020,195884,13612
293,Dec 04$ 2020,196482,13696
294,Dec 05$ 2020,197391,13756
295,Dec 06$ 2020,197998,13778
296,Dec 07$ 2020,198244,13780
297,Dec 08$ 2020,198752,13794
298,Dec 09$ 2020,199228,13814
299,Dec 10$ 2020,200379,13850
300,Dec 11$ 2020,200765,13858
301,Dec 12$ 2020,201524,13874
302,Dec 13$ 2020,202110,13875
303,Dec 14$ 2020,202180,13875
304,Dec 15$ 2020,202356,13896
305,Dec 16$ 2020,203461,13915
306,Dec 17$ 2020,204249,13932
307,Dec 18$ 2020,205003,13942
308,Dec 19$ 2020,205920,13948
309,Dec 20$ 2020,206257,13948
310,Dec 21$ 2020,206329,13949
311,Dec 22$ 2020,206364,13949
312,Dec 23$ 2020,207084,13962
313,Dec 24$ 2020,208010,13977
314,Dec 25$ 2020,208828,13984
315,Dec 26$ 2020,209274,13990
316,Dec 27$ 2020,209355,13992
317,Dec 28$ 2020,209758,13994
