,Date,Total Cases,Total Deaths
0,Feb 15$ 2020,12,1
1,Feb 16$ 2020,12,1
2,Feb 17$ 2020,12,1
3,Feb 18$ 2020,12,1
4,Feb 19$ 2020,12,1
5,Feb 20$ 2020,12,1
6,Feb 21$ 2020,12,1
7,Feb 22$ 2020,12,1
8,Feb 23$ 2020,12,1
9,Feb 24$ 2020,12,1
10,Feb 25$ 2020,14,1
11,Feb 26$ 2020,18,2
12,Feb 27$ 2020,38,2
13,Feb 28$ 2020,57,2
14,Feb 29$ 2020,100,2
15,Mar 01$ 2020,130,2
16,Mar 02$ 2020,191,3
17,Mar 03$ 2020,212,4
18,Mar 04$ 2020,285,4
19,Mar 05$ 2020,423,7
20,Mar 06$ 2020,653,9
21,Mar 07$ 2020,949,16
22,Mar 08$ 2020,1209,19
23,Mar 09$ 2020,1412,30
24,Mar 10$ 2020,1784,33
25,Mar 11$ 2020,2281,48
26,Mar 12$ 2020,2876,61
27,Mar 13$ 2020,3661,79
28,Mar 14$ 2020,4499,91
29,Mar 15$ 2020,5423,127
30,Mar 16$ 2020,6633,148
31,Mar 17$ 2020,7730,175
32,Mar 18$ 2020,9134,264
33,Mar 19$ 2020,10995,372
34,Mar 20$ 2020,12612,450
35,Mar 21$ 2020,14459,562
36,Mar 22$ 2020,16018,674
37,Mar 23$ 2020,19856,860
38,Mar 24$ 2020,22304,1100
39,Mar 25$ 2020,25233,1331
40,Mar 26$ 2020,29155,1696
41,Mar 27$ 2020,32964,1995
42,Mar 28$ 2020,37575,2314
43,Mar 29$ 2020,40174,2606
44,Mar 30$ 2020,44550,3024
45,Mar 31$ 2020,52128,3522
46,Apr 01$ 2020,56989,4030
47,Apr 02$ 2020,59105,5384
48,Apr 03$ 2020,64338,6503
49,Apr 04$ 2020,68605,7555
50,Apr 05$ 2020,70478,8072
51,Apr 06$ 2020,74390,8904
52,Apr 07$ 2020,78167,10320
53,Apr 08$ 2020,82048,10860
54,Apr 09$ 2020,86334,12199
55,Apr 10$ 2020,90676,13185
56,Apr 11$ 2020,93790,13819
57,Apr 12$ 2020,95403,14380
58,Apr 13$ 2020,98076,14954
59,Apr 14$ 2020,103573,15715
60,Apr 15$ 2020,106206,17152
61,Apr 16$ 2020,108847,17904
62,Apr 17$ 2020,109252,18664
63,Apr 18$ 2020,111821,19305
64,Apr 19$ 2020,112606,19700
65,Apr 20$ 2020,114657,20246
66,Apr 21$ 2020,117324,20776
67,Apr 22$ 2020,119151,21319
68,Apr 23$ 2020,120804,21834
69,Apr 24$ 2020,122577,22223
70,Apr 25$ 2020,124114,22592
71,Apr 26$ 2020,124575,22834
72,Apr 27$ 2020,128339,23270
73,Apr 28$ 2020,129859,23637
74,Apr 29$ 2020,128442,24063
75,Apr 30$ 2020,129581,24352
76,May 01$ 2020,130185,24570
77,May 02$ 2020,130979,24736
78,May 03$ 2020,131287,24871
79,May 04$ 2020,131863,25177
80,May 05$ 2020,132967,25507
81,May 06$ 2020,137150,25785
82,May 07$ 2020,137779,25963
83,May 08$ 2020,138421,26206
84,May 09$ 2020,138854,26286
85,May 10$ 2020,139063,26356
86,May 11$ 2020,139519,26619
87,May 12$ 2020,140227,26967
88,May 13$ 2020,140734,27050
89,May 14$ 2020,141356,27401
90,May 15$ 2020,141919,27505
91,May 16$ 2020,142291,27601
92,May 17$ 2020,142411,28083
93,May 18$ 2020,142903,28214
94,May 19$ 2020,143427,27997
95,May 20$ 2020,143845,28107
96,May 21$ 2020,144163,28190
97,May 22$ 2020,144556,28264
98,May 23$ 2020,144806,28307
99,May 24$ 2020,144921,28342
100,May 25$ 2020,145279,28407
101,May 26$ 2020,145555,28505
102,May 27$ 2020,145746,28571
103,May 28$ 2020,149071,28637
104,May 29$ 2020,149668,28689
105,May 30$ 2020,151496,28746
106,May 31$ 2020,151753,28777
107,Jun 01$ 2020,152091,28808
108,Jun 02$ 2020,151325,28915
109,Jun 03$ 2020,151677,28996
110,Jun 04$ 2020,152444,29040
111,Jun 05$ 2020,153055,29086
112,Jun 06$ 2020,153634,29117
113,Jun 07$ 2020,153977,29130
114,Jun 08$ 2020,154188,29184
115,Jun 09$ 2020,154591,29271
116,Jun 10$ 2020,155136,29294
117,Jun 11$ 2020,155561,29321
118,Jun 12$ 2020,156287,29349
119,Jun 13$ 2020,156813,29373
120,Jun 14$ 2020,157220,29382
121,Jun 15$ 2020,157372,29411
122,Jun 16$ 2020,157716,29522
123,Jun 17$ 2020,158174,29550
124,Jun 18$ 2020,158641,29578
125,Jun 19$ 2020,159452,29592
126,Jun 20$ 2020,160093,29608
127,Jun 21$ 2020,160377,29615
128,Jun 22$ 2020,160750,29638
129,Jun 23$ 2020,161267,29695
130,Jun 24$ 2020,161348,29706
131,Jun 25$ 2020,161348,29727
132,Jun 26$ 2020,162936,29753
133,Jun 27$ 2020,163458,29761
134,Jun 28$ 2020,163980,29770
135,Jun 29$ 2020,164260,29788
136,Jun 30$ 2020,164801,29818
137,Jul 01$ 2020,165719,29836
138,Jul 02$ 2020,166378,29850
139,Jul 03$ 2020,166960,29868
140,Jul 04$ 2020,167520,29875
141,Jul 05$ 2020,168159,29882
142,Jul 06$ 2020,168335,29895
143,Jul 07$ 2020,168810,29908
144,Jul 08$ 2020,169473,29940
145,Jul 09$ 2020,170094,29954
146,Jul 10$ 2020,170752,29979
147,Jul 11$ 2020,171421,29983
148,Jul 12$ 2020,172089,29986
149,Jul 13$ 2020,172377,30004
150,Jul 14$ 2020,172888,30075
151,Jul 15$ 2020,173304,30095
152,Jul 16$ 2020,173838,30113
153,Jul 17$ 2020,174674,30127
154,Jul 18$ 2020,175539,30136
155,Jul 19$ 2020,176404,30144
156,Jul 20$ 2020,176754,30152
157,Jul 21$ 2020,177338,30165
158,Jul 22$ 2020,178336,30172
159,Jul 23$ 2020,179398,30182
160,Jul 24$ 2020,180528,30192
161,Jul 25$ 2020,181547,30196
162,Jul 26$ 2020,182565,30200
