,Date,Total Cases,Total Deaths
0,Feb 15$ 2020,3,0
1,Feb 16$ 2020,3,0
2,Feb 17$ 2020,3,0
3,Feb 18$ 2020,3,0
4,Feb 19$ 2020,3,0
5,Feb 20$ 2020,3,0
6,Feb 21$ 2020,3,0
7,Feb 22$ 2020,3,0
8,Feb 23$ 2020,3,0
9,Feb 24$ 2020,3,0
10,Feb 25$ 2020,3,0
11,Feb 26$ 2020,3,0
12,Feb 27$ 2020,3,0
13,Feb 28$ 2020,3,0
14,Feb 29$ 2020,3,0
15,Mar 01$ 2020,3,0
16,Mar 02$ 2020,6,0
17,Mar 03$ 2020,7,0
18,Mar 04$ 2020,29,0
19,Mar 05$ 2020,30,0
20,Mar 06$ 2020,31,0
21,Mar 07$ 2020,34,0
22,Mar 08$ 2020,40,0
23,Mar 09$ 2020,47,0
24,Mar 10$ 2020,62,0
25,Mar 11$ 2020,62,0
26,Mar 12$ 2020,74,1
27,Mar 13$ 2020,82,2
28,Mar 14$ 2020,100,2
29,Mar 15$ 2020,114,2
30,Mar 16$ 2020,129,2
31,Mar 17$ 2020,143,3
32,Mar 18$ 2020,169,3
33,Mar 19$ 2020,194,4
34,Mar 20$ 2020,249,5
35,Mar 21$ 2020,332,5
36,Mar 22$ 2020,396,7
37,Mar 23$ 2020,499,10
38,Mar 24$ 2020,536,10
39,Mar 25$ 2020,657,12
40,Mar 26$ 2020,727,20
41,Mar 27$ 2020,887,20
42,Mar 28$ 2020,987,24
43,Mar 29$ 2020,1024,27
44,Mar 30$ 2020,1251,32
45,Mar 31$ 2020,1397,35
46,Apr 01$ 2020,1998,58
47,Apr 02$ 2020,2543,72
48,Apr 03$ 2020,3059,86
49,Apr 04$ 2020,3588,99
50,Apr 05$ 2020,4289,118
51,Apr 06$ 2020,4778,136
52,Apr 07$ 2020,5351,160
53,Apr 08$ 2020,5916,178
54,Apr 09$ 2020,6725,227
55,Apr 10$ 2020,7600,249
56,Apr 11$ 2020,8446,288
57,Apr 12$ 2020,9205,331
58,Apr 13$ 2020,10453,358
59,Apr 14$ 2020,11487,393
60,Apr 15$ 2020,12370,422
61,Apr 16$ 2020,13430,448
62,Apr 17$ 2020,14352,486
63,Apr 18$ 2020,16365,521
64,Apr 19$ 2020,17615,559
65,Apr 20$ 2020,18539,592
66,Apr 21$ 2020,20080,645
67,Apr 22$ 2020,21370,681
68,Apr 23$ 2020,23039,721
69,Apr 24$ 2020,24447,780
70,Apr 25$ 2020,26283,825
71,Apr 26$ 2020,27890,881
72,Apr 27$ 2020,29451,939
73,Apr 28$ 2020,31324,1008
74,Apr 29$ 2020,33062,1079
75,Apr 30$ 2020,34863,1154
76,May 01$ 2020,37257,1223
77,May 02$ 2020,39699,1323
78,May 03$ 2020,42505,1391
79,May 04$ 2020,46437,1566
80,May 05$ 2020,49400,1693
81,May 06$ 2020,52987,1785
82,May 07$ 2020,56351,1889
83,May 08$ 2020,59695,1985
84,May 09$ 2020,62808,2101
85,May 10$ 2020,67161,2212
86,May 11$ 2020,70768,2294
87,May 12$ 2020,74292,2415
88,May 13$ 2020,78055,2551
89,May 14$ 2020,81997,2649
90,May 15$ 2020,85784,2753
91,May 16$ 2020,90648,2871
92,May 17$ 2020,95698,3025
93,May 18$ 2020,100328,3156
94,May 19$ 2020,106475,3302
95,May 20$ 2020,112028,3434
96,May 21$ 2020,118226,3584
97,May 22$ 2020,124794,3726
98,May 23$ 2020,131423,3868
99,May 24$ 2020,138536,4024
100,May 25$ 2020,144950,4172
101,May 26$ 2020,150793,4344
102,May 27$ 2020,158086,4534
103,May 28$ 2020,165386,4711
104,May 29$ 2020,173491,4980
105,May 30$ 2020,181827,5185
106,May 31$ 2020,190609,5408
