,Date,Total Cases,Total Deaths
0,Feb 15$ 2020,3,0
1,Feb 16$ 2020,3,0
2,Feb 17$ 2020,3,0
3,Feb 18$ 2020,3,0
4,Feb 19$ 2020,3,0
5,Feb 20$ 2020,4,0
6,Feb 21$ 2020,21,1
7,Feb 22$ 2020,79,2
8,Feb 23$ 2020,157,3
9,Feb 24$ 2020,229,7
10,Feb 25$ 2020,323,11
11,Feb 26$ 2020,470,12
12,Feb 27$ 2020,655,17
13,Feb 28$ 2020,889,21
14,Feb 29$ 2020,1128,29
15,Mar 01$ 2020,1702,41
16,Mar 02$ 2020,2038,52
17,Mar 03$ 2020,2504,79
18,Mar 04$ 2020,3092,107
19,Mar 05$ 2020,3861,148
20,Mar 06$ 2020,4639,197
21,Mar 07$ 2020,5886,233
22,Mar 08$ 2020,7380,367
23,Mar 09$ 2020,9179,464
24,Mar 10$ 2020,10156,633
25,Mar 11$ 2020,12469,830
26,Mar 12$ 2020,15122,1020
27,Mar 13$ 2020,17670,1271
28,Mar 14$ 2020,21169,1447
29,Mar 15$ 2020,24762,1816
30,Mar 16$ 2020,27997,2166
31,Mar 17$ 2020,31524,2512
32,Mar 18$ 2020,35732,2988
33,Mar 19$ 2020,41056,3416
34,Mar 20$ 2020,47044,4045
35,Mar 21$ 2020,53598,4841
36,Mar 22$ 2020,59158,5494
37,Mar 23$ 2020,63941,6097
38,Mar 24$ 2020,69181,6842
39,Mar 25$ 2020,74379,7527
40,Mar 26$ 2020,80581,8241
41,Mar 27$ 2020,86488,9162
42,Mar 28$ 2020,92461,10053
43,Mar 29$ 2020,97676,10811
44,Mar 30$ 2020,101723,11626
45,Mar 31$ 2020,105776,12466
46,Apr 01$ 2020,110559,13195
47,Apr 02$ 2020,115228,13957
48,Apr 03$ 2020,119813,14726
49,Apr 04$ 2020,124620,15409
50,Apr 05$ 2020,128938,15935
51,Apr 06$ 2020,132537,16573
52,Apr 07$ 2020,135574,17179
53,Apr 08$ 2020,139408,17722
54,Apr 09$ 2020,143612,18334
55,Apr 10$ 2020,147562,18906
56,Apr 11$ 2020,152259,19527
57,Apr 12$ 2020,156353,19959
58,Apr 13$ 2020,159506,20527
59,Apr 14$ 2020,162479,21131
60,Apr 15$ 2020,165145,21711
61,Apr 16$ 2020,168932,22237
62,Apr 17$ 2020,172426,22803
63,Apr 18$ 2020,175918,23286
64,Apr 19$ 2020,178965,23720
65,Apr 20$ 2020,181216,24175
66,Apr 21$ 2020,183943,24710
67,Apr 22$ 2020,187313,25148
68,Apr 23$ 2020,189957,25613
69,Apr 24$ 2020,192979,26034
70,Apr 25$ 2020,195336,26450
71,Apr 26$ 2020,197661,26711
72,Apr 27$ 2020,199399,27045
73,Apr 28$ 2020,201491,27428
74,Apr 29$ 2020,203577,27751
75,Apr 30$ 2020,205449,28036
76,May 01$ 2020,207415,28306
77,May 02$ 2020,209315,28781
78,May 03$ 2020,210704,28956
79,May 04$ 2020,211926,29152
80,May 05$ 2020,213001,29389
81,May 06$ 2020,214446,29759
82,May 07$ 2020,215848,30034
83,May 08$ 2020,217176,30278
84,May 09$ 2020,218259,30473
85,May 10$ 2020,219061,30639
86,May 11$ 2020,219806,30819
87,May 12$ 2020,221209,30992
88,May 13$ 2020,222097,31188
89,May 14$ 2020,223090,31451
90,May 15$ 2020,223879,31694
91,May 16$ 2020,224754,31848
92,May 17$ 2020,225429,31994
93,May 18$ 2020,225880,32093
94,May 19$ 2020,226693,32256
95,May 20$ 2020,227358,32418
96,May 21$ 2020,228001,32575
97,May 22$ 2020,228654,32706
98,May 23$ 2020,229324,32826
99,May 24$ 2020,229856,32876
100,May 25$ 2020,230156,32968
101,May 26$ 2020,230553,33046
102,May 27$ 2020,231138,33164
