,Date,Total Cases,Total Deaths
0,Feb 15$ 2020,53,1
1,Feb 16$ 2020,59,1
2,Feb 17$ 2020,66,1
3,Feb 18$ 2020,74,1
4,Feb 19$ 2020,84,1
5,Feb 20$ 2020,94,1
6,Feb 21$ 2020,109,1
7,Feb 22$ 2020,134,1
8,Feb 23$ 2020,146,1
9,Feb 24$ 2020,159,1
10,Feb 25$ 2020,161,1
11,Feb 26$ 2020,172,3
12,Feb 27$ 2020,214,4
13,Feb 28$ 2020,233,5
14,Feb 29$ 2020,241,5
15,Mar 01$ 2020,256,6
16,Mar 02$ 2020,274,6
17,Mar 03$ 2020,293,6
18,Mar 04$ 2020,331,6
19,Mar 05$ 2020,364,6
20,Mar 06$ 2020,420,6
21,Mar 07$ 2020,461,6
22,Mar 08$ 2020,502,7
23,Mar 09$ 2020,530,9
24,Mar 10$ 2020,587,12
25,Mar 11$ 2020,639,15
26,Mar 12$ 2020,691,19
27,Mar 13$ 2020,734,21
28,Mar 14$ 2020,804,22
29,Mar 15$ 2020,833,24
30,Mar 16$ 2020,850,28
31,Mar 17$ 2020,878,29
32,Mar 18$ 2020,914,29
33,Mar 19$ 2020,943,33
34,Mar 20$ 2020,1007,35
35,Mar 21$ 2020,1054,36
36,Mar 22$ 2020,1101,41
37,Mar 23$ 2020,1128,42
38,Mar 24$ 2020,1193,43
39,Mar 25$ 2020,1307,45
40,Mar 26$ 2020,1387,47
41,Mar 27$ 2020,1499,49
42,Mar 28$ 2020,1693,52
43,Mar 29$ 2020,1866,54
44,Mar 30$ 2020,1953,56
45,Mar 31$ 2020,2178,57
46,Apr 01$ 2020,2384,57
47,Apr 02$ 2020,2617,63
48,Apr 03$ 2020,2935,69
49,Apr 04$ 2020,3139,77
50,Apr 05$ 2020,3654,85
51,Apr 06$ 2020,3906,92
52,Apr 07$ 2020,4257,93
53,Apr 08$ 2020,4667,94
54,Apr 09$ 2020,5347,99
55,Apr 10$ 2020,6005,99
56,Apr 11$ 2020,6748,108
57,Apr 12$ 2020,7370,123
58,Apr 13$ 2020,7618,143
59,Apr 14$ 2020,7885,146
60,Apr 15$ 2020,8626,178
61,Apr 16$ 2020,9231,190
62,Apr 17$ 2020,9787,190
63,Apr 18$ 2020,10296,222
64,Apr 19$ 2020,10797,236
65,Apr 20$ 2020,11135,263
66,Apr 21$ 2020,11512,281
67,Apr 22$ 2020,11950,299
68,Apr 23$ 2020,12368,328
69,Apr 24$ 2020,12712,345
70,Apr 25$ 2020,13231,360
71,Apr 26$ 2020,13449,372
72,Apr 27$ 2020,13614,385
73,Apr 28$ 2020,13736,394
74,Apr 29$ 2020,13895,413
75,Apr 30$ 2020,14088,430
76,May 01$ 2020,14305,455
77,May 02$ 2020,14571,474
78,May 03$ 2020,14877,487
79,May 04$ 2020,15078,536
80,May 05$ 2020,15253,556
81,May 06$ 2020,15253,556
82,May 07$ 2020,15477,577
83,May 08$ 2020,15575,590
84,May 09$ 2020,15663,607
85,May 10$ 2020,15777,624
86,May 11$ 2020,15847,633
87,May 12$ 2020,15968,657
88,May 13$ 2020,16049,678
89,May 14$ 2020,16120,697
90,May 15$ 2020,16203,713
91,May 16$ 2020,16237,725
92,May 17$ 2020,16285,744
93,May 18$ 2020,16305,749
94,May 19$ 2020,16367,768
95,May 20$ 2020,16385,771
96,May 21$ 2020,16424,777
97,May 22$ 2020,16513,796
98,May 23$ 2020,16536,808
99,May 24$ 2020,16550,820
100,May 25$ 2020,16581,830
101,May 26$ 2020,16623,846
102,May 27$ 2020,16651,858
103,May 28$ 2020,16683,867
104,May 29$ 2020,16719,874
105,May 30$ 2020,16804,886
106,May 31$ 2020,16851,891
107,Jun 01$ 2020,16884,892
108,Jun 02$ 2020,16930,894
109,Jun 03$ 2020,16986,900
110,Jun 04$ 2020,17018,903
111,Jun 05$ 2020,17064,907
112,Jun 06$ 2020,17103,914
113,Jun 07$ 2020,17141,916
114,Jun 08$ 2020,17174,916
115,Jun 09$ 2020,17210,916
116,Jun 10$ 2020,17251,919
117,Jun 11$ 2020,17292,920
118,Jun 12$ 2020,17332,922
119,Jun 13$ 2020,17382,924
120,Jun 14$ 2020,17429,925
121,Jun 15$ 2020,17502,925
122,Jun 16$ 2020,17587,927
