,Date,Total Cases,Total Deaths
0,Feb 15$ 2020,0,0
1,Feb 16$ 2020,0,0
2,Feb 17$ 2020,0,0
3,Feb 18$ 2020,0,0
4,Feb 19$ 2020,0,0
5,Feb 20$ 2020,0,0
6,Feb 21$ 2020,1,0
7,Feb 22$ 2020,1,0
8,Feb 23$ 2020,1,0
9,Feb 24$ 2020,1,0
10,Feb 25$ 2020,1,0
11,Feb 26$ 2020,2,0
12,Feb 27$ 2020,3,0
13,Feb 28$ 2020,4,0
14,Feb 29$ 2020,7,0
15,Mar 01$ 2020,10,0
16,Mar 02$ 2020,13,0
17,Mar 03$ 2020,13,0
18,Mar 04$ 2020,15,0
19,Mar 05$ 2020,16,0
20,Mar 06$ 2020,22,0
21,Mar 07$ 2020,28,0
22,Mar 08$ 2020,32,0
23,Mar 09$ 2020,41,0
24,Mar 10$ 2020,52,1
25,Mar 11$ 2020,68,2
26,Mar 12$ 2020,68,3
27,Mar 13$ 2020,77,3
28,Mar 14$ 2020,93,3
29,Mar 15$ 2020,110,3
30,Mar 16$ 2020,109,3
31,Mar 17$ 2020,124,4
32,Mar 18$ 2020,133,4
33,Mar 19$ 2020,157,4
34,Mar 20$ 2020,177,4
35,Mar 21$ 2020,230,4
36,Mar 22$ 2020,248,4
37,Mar 23$ 2020,267,4
38,Mar 24$ 2020,318,4
39,Mar 25$ 2020,333,6
40,Mar 26$ 2020,368,6
41,Mar 27$ 2020,391,8
42,Mar 28$ 2020,412,8
43,Mar 29$ 2020,438,10
44,Mar 30$ 2020,446,11
45,Mar 31$ 2020,463,12
46,Apr 01$ 2020,479,14
47,Apr 02$ 2020,494,16
48,Apr 03$ 2020,508,17
49,Apr 04$ 2020,520,17
50,Apr 05$ 2020,527,18
51,Apr 06$ 2020,541,19
52,Apr 07$ 2020,548,19
53,Apr 08$ 2020,576,19
54,Apr 09$ 2020,582,19
55,Apr 10$ 2020,609,20
56,Apr 11$ 2020,619,20
57,Apr 12$ 2020,630,20
58,Apr 13$ 2020,632,20
59,Apr 14$ 2020,641,21
60,Apr 15$ 2020,658,21
61,Apr 16$ 2020,663,21
62,Apr 17$ 2020,668,21
63,Apr 18$ 2020,672,21
64,Apr 19$ 2020,673,21
65,Apr 20$ 2020,677,21
66,Apr 21$ 2020,677,21
67,Apr 22$ 2020,682,22
68,Apr 23$ 2020,688,22
69,Apr 24$ 2020,696,22
70,Apr 25$ 2020,704,24
71,Apr 26$ 2020,707,24
72,Apr 27$ 2020,710,24
73,Apr 28$ 2020,717,24
74,Apr 29$ 2020,721,24
75,Apr 30$ 2020,725,24
76,May 01$ 2020,729,24
77,May 02$ 2020,733,25
78,May 03$ 2020,737,25
79,May 04$ 2020,740,25
80,May 05$ 2020,741,25
81,May 06$ 2020,750,25
82,May 07$ 2020,784,25
83,May 08$ 2020,796,26
84,May 09$ 2020,809,26
85,May 10$ 2020,845,26
86,May 11$ 2020,859,26
87,May 12$ 2020,870,26
88,May 13$ 2020,878,26
89,May 14$ 2020,886,26
90,May 15$ 2020,891,26
91,May 16$ 2020,902,26
92,May 17$ 2020,911,26
93,May 18$ 2020,931,26
94,May 19$ 2020,954,26
95,May 20$ 2020,961,26
96,May 21$ 2020,1024,26
97,May 22$ 2020,1086,26
98,May 23$ 2020,1097,26
99,May 24$ 2020,1114,26
100,May 25$ 2020,1119,26
101,May 26$ 2020,1140,26
102,May 27$ 2020,1161,26
103,May 28$ 2020,1168,26
104,May 29$ 2020,1172,26
105,May 30$ 2020,1191,26
106,May 31$ 2020,1220,27
107,Jun 01$ 2020,1233,27
108,Jun 02$ 2020,1242,27
109,Jun 03$ 2020,1256,27
110,Jun 04$ 2020,1306,28
111,Jun 05$ 2020,1312,28
112,Jun 06$ 2020,1320,29
113,Jun 07$ 2020,1331,30
114,Jun 08$ 2020,1350,30
115,Jun 09$ 2020,1368,30
116,Jun 10$ 2020,1388,30
117,Jun 11$ 2020,1402,31
118,Jun 12$ 2020,1422,31
119,Jun 13$ 2020,1442,32
120,Jun 14$ 2020,1446,32
121,Jun 15$ 2020,1464,32
122,Jun 16$ 2020,1473,32
123,Jun 17$ 2020,1489,32
124,Jun 18$ 2020,1495,32
125,Jun 19$ 2020,1510,32
126,Jun 20$ 2020,1536,32
127,Jun 21$ 2020,1587,32
128,Jun 22$ 2020,1603,32
129,Jun 23$ 2020,1622,32
130,Jun 24$ 2020,1644,33
131,Jun 25$ 2020,1662,33
132,Jun 26$ 2020,1697,33
133,Jun 27$ 2020,1719,33
134,Jun 28$ 2020,1740,34
135,Jun 29$ 2020,1745,34
136,Jun 30$ 2020,1778,34
137,Jul 01$ 2020,1788,34
138,Jul 02$ 2020,1796,35
139,Jul 03$ 2020,1830,35
140,Jul 04$ 2020,1855,35
141,Jul 05$ 2020,1873,36
142,Jul 06$ 2020,1885,36
143,Jul 07$ 2020,1907,36
144,Jul 08$ 2020,1946,36
145,Jul 09$ 2020,2011,36
146,Jul 10$ 2020,2082,36
147,Jul 11$ 2020,2168,36
148,Jul 12$ 2020,2334,36
149,Jul 13$ 2020,2419,36
150,Jul 14$ 2020,2451,37
151,Jul 15$ 2020,2542,38
152,Jul 16$ 2020,2599,40
153,Jul 17$ 2020,2700,40
154,Jul 18$ 2020,2775,40
155,Jul 19$ 2020,2859,40
156,Jul 20$ 2020,2905,41
157,Jul 21$ 2020,2980,41
158,Jul 22$ 2020,3104,43
159,Jul 23$ 2020,3260,43
160,Jul 24$ 2020,3407,46
161,Jul 25$ 2020,3582,47
162,Jul 26$ 2020,3750,51
163,Jul 27$ 2020,3882,51
164,Jul 28$ 2020,4023,54
165,Jul 29$ 2020,4205,55
166,Jul 30$ 2020,4334,57
167,Jul 31$ 2020,4555,61
168,Aug 01$ 2020,4730,61
169,Aug 02$ 2020,4885,62
170,Aug 03$ 2020,5062,65
171,Aug 04$ 2020,5271,65
172,Aug 05$ 2020,5417,68
173,Aug 06$ 2020,5672,70
174,Aug 07$ 2020,5951,70
175,Aug 08$ 2020,6223,79
176,Aug 09$ 2020,6517,79
177,Aug 10$ 2020,6812,81
178,Aug 11$ 2020,7121,89
179,Aug 12$ 2020,7413,91
180,Aug 13$ 2020,7711,94
181,Aug 14$ 2020,8045,96
182,Aug 15$ 2020,8442,99
183,Aug 16$ 2020,8881,106
184,Aug 17$ 2020,9337,108
185,Aug 18$ 2020,9758,110
186,Aug 19$ 2020,10347,112
187,Aug 20$ 2020,10952,116
188,Aug 21$ 2020,11580,119
189,Aug 22$ 2020,12191,125
190,Aug 23$ 2020,12698,127
191,Aug 24$ 2020,13155,130
192,Aug 25$ 2020,13687,143
193,Aug 26$ 2020,14248,144
194,Aug 27$ 2020,14937,152
195,Aug 28$ 2020,15613,154
196,Aug 29$ 2020,16275,162
197,Aug 30$ 2020,16870,168
198,Aug 31$ 2020,17308,176
199,Sep 01$ 2020,17777,180
200,Sep 02$ 2020,18375,187
201,Sep 03$ 2020,18963,189
202,Sep 04$ 2020,19490,193
203,Sep 05$ 2020,20011,197
204,Sep 06$ 2020,20426,201
205,Sep 07$ 2020,20826,211
206,Sep 08$ 2020,21324,219
207,Sep 09$ 2020,21877,225
208,Sep 10$ 2020,22437,233
209,Sep 11$ 2020,22983,244
210,Sep 12$ 2020,23669,255
211,Sep 13$ 2020,24310,257
212,Sep 14$ 2020,24857,263
213,Sep 15$ 2020,25449,270
214,Sep 16$ 2020,26083,278
215,Sep 17$ 2020,26768,282
216,Sep 18$ 2020,27518,302
217,Sep 19$ 2020,28297,308
218,Sep 20$ 2020,29303,320
219,Sep 21$ 2020,29987,331
220,Sep 22$ 2020,30852,340
221,Sep 23$ 2020,31792,354
222,Sep 24$ 2020,32819,355
223,Sep 25$ 2020,33962,359
224,Sep 26$ 2020,35242,367
225,Sep 27$ 2020,36254,375
226,Sep 28$ 2020,37272,379
227,Sep 29$ 2020,38377,390
228,Sep 30$ 2020,39634,397
229,Oct 01$ 2020,40882,405
230,Oct 02$ 2020,42173,418
231,Oct 03$ 2020,43494,431
232,Oct 04$ 2020,44482,440
233,Oct 05$ 2020,45657,449
234,Oct 06$ 2020,46918,460
235,Oct 07$ 2020,48377,470
236,Oct 08$ 2020,49744,477
237,Oct 09$ 2020,51170,489
238,Oct 10$ 2020,52558,495
239,Oct 11$ 2020,53568,499
240,Oct 12$ 2020,54624,507
241,Oct 13$ 2020,55869,521
242,Oct 14$ 2020,57246,543
243,Oct 15$ 2020,58745,545
244,Oct 16$ 2020,60113,554
245,Oct 17$ 2020,61284,563
246,Oct 18$ 2020,62286,566
247,Oct 19$ 2020,62944,573
248,Oct 20$ 2020,64336,579
249,Oct 21$ 2020,65577,585
250,Oct 22$ 2020,67027,603
251,Oct 23$ 2020,68479,611
252,Oct 24$ 2020,69906,614
253,Oct 25$ 2020,71390,617
254,Oct 26$ 2020,72186,633
255,Oct 27$ 2020,73995,645
256,Oct 28$ 2020,75845,658
257,Oct 29$ 2020,77778,667
258,Oct 30$ 2020,79529,684
259,Oct 31$ 2020,81228,697
260,Nov 01$ 2020,82617,704
261,Nov 02$ 2020,83697,714
262,Nov 03$ 2020,85209,731
263,Nov 04$ 2020,87097,741
264,Nov 05$ 2020,89186,749
265,Nov 06$ 2020,91328,768
266,Nov 07$ 2020,93097,782
267,Nov 08$ 2020,94236,793
268,Nov 09$ 2020,95355,803
269,Nov 10$ 2020,96907,822
270,Nov 11$ 2020,98829,838
271,Nov 12$ 2020,100703,851
272,Nov 13$ 2020,102607,874
273,Nov 14$ 2020,104267,885
274,Nov 15$ 2020,105430,897
275,Nov 16$ 2020,106446,908
276,Nov 17$ 2020,107953,921
277,Nov 18$ 2020,110037,935
278,Nov 19$ 2020,111946,953
279,Nov 20$ 2020,113655,971
280,Nov 21$ 2020,115283,982
281,Nov 22$ 2020,116476,989
282,Nov 23$ 2020,117517,1001
283,Nov 24$ 2020,118705,1027
284,Nov 25$ 2020,120341,1045
285,Nov 26$ 2020,122200,1072
286,Nov 27$ 2020,123982,1079
287,Nov 28$ 2020,125678,1091
288,Nov 29$ 2020,126944,1105
289,Nov 30$ 2020,127944,1121
290,Dec 01$ 2020,129455,1138
291,Dec 02$ 2020,131297,1162
292,Dec 03$ 2020,132817,1175
293,Dec 04$ 2020,134295,1187
294,Dec 05$ 2020,135876,1200
295,Dec 06$ 2020,137112,1210
296,Dec 07$ 2020,138096,1228
297,Dec 08$ 2020,139135,1251
298,Dec 09$ 2020,140409,1273
299,Dec 10$ 2020,142187,1289
300,Dec 11$ 2020,143705,1302
301,Dec 12$ 2020,145245,1311
302,Dec 13$ 2020,146520,1322
303,Dec 14$ 2020,147613,1333
304,Dec 15$ 2020,148877,1347
305,Dec 16$ 2020,150933,1359
306,Dec 17$ 2020,153049,1375
307,Dec 18$ 2020,154944,1387
308,Dec 19$ 2020,156570,1399
309,Dec 20$ 2020,158104,1411
310,Dec 21$ 2020,159286,1425
311,Dec 22$ 2020,160979,1444
312,Dec 23$ 2020,163225,1468
313,Dec 24$ 2020,165933,1490
314,Dec 25$ 2020,168069,1506
315,Dec 26$ 2020,169472,1519
316,Dec 27$ 2020,171226,1536
317,Dec 28$ 2020,172820,1553
318,Dec 29$ 2020,175118,1576
319,Dec 30$ 2020,177996,1605
320,Dec 31$ 2020,181503,1618
321,Jan 01$ 2021,183888,1630
322,Jan 02$ 2021,186408,1641
323,Jan 03$ 2021,189278,1652
324,Jan 04$ 2021,192139,1666
325,Jan 05$ 2021,195759,1685
326,Jan 06$ 2021,199925,1708
327,Jan 07$ 2021,204699,1726
328,Jan 08$ 2021,210139,1731
329,Jan 09$ 2021,215553,1753
330,Jan 10$ 2021,219296,1771
331,Jan 11$ 2021,222391,1797
