,Date,Total Cases,Total Deaths
0,Feb 15$ 2020,0,0
1,Feb 16$ 2020,0,0
2,Feb 17$ 2020,0,0
3,Feb 18$ 2020,0,0
4,Feb 19$ 2020,0,0
5,Feb 20$ 2020,0,0
6,Feb 21$ 2020,0,0
7,Feb 22$ 2020,0,0
8,Feb 23$ 2020,0,0
9,Feb 24$ 2020,0,0
10,Feb 25$ 2020,0,0
11,Feb 26$ 2020,0,0
12,Feb 27$ 2020,0,0
13,Feb 28$ 2020,0,0
14,Feb 29$ 2020,0,0
15,Mar 01$ 2020,0,0
16,Mar 02$ 2020,0,0
17,Mar 03$ 2020,0,0
18,Mar 04$ 2020,0,0
19,Mar 05$ 2020,0,0
20,Mar 06$ 2020,0,0
21,Mar 07$ 2020,0,0
22,Mar 08$ 2020,0,0
23,Mar 09$ 2020,0,0
24,Mar 10$ 2020,1,0
25,Mar 11$ 2020,1,0
26,Mar 12$ 2020,1,0
27,Mar 13$ 2020,1,0
28,Mar 14$ 2020,1,0
29,Mar 15$ 2020,1,0
30,Mar 16$ 2020,4,0
31,Mar 17$ 2020,5,0
32,Mar 18$ 2020,6,0
33,Mar 19$ 2020,6,0
34,Mar 20$ 2020,6,0
35,Mar 21$ 2020,10,0
36,Mar 22$ 2020,10,0
37,Mar 23$ 2020,10,0
38,Mar 24$ 2020,10,0
39,Mar 25$ 2020,10,0
40,Mar 26$ 2020,11,0
41,Mar 27$ 2020,11,0
42,Mar 28$ 2020,12,0
43,Mar 29$ 2020,12,0
44,Mar 30$ 2020,12,0
45,Mar 31$ 2020,12,0
46,Apr 01$ 2020,14,0
47,Apr 02$ 2020,14,0
48,Apr 03$ 2020,14,0
49,Apr 04$ 2020,14,0
50,Apr 05$ 2020,14,0
51,Apr 06$ 2020,15,0
52,Apr 07$ 2020,15,0
53,Apr 08$ 2020,16,0
54,Apr 09$ 2020,16,0
55,Apr 10$ 2020,16,0
56,Apr 11$ 2020,16,0
57,Apr 12$ 2020,16,0
58,Apr 13$ 2020,17,0
59,Apr 14$ 2020,30,0
60,Apr 15$ 2020,30,0
61,Apr 16$ 2020,31,0
62,Apr 17$ 2020,31,0
63,Apr 18$ 2020,31,0
64,Apr 19$ 2020,32,0
65,Apr 20$ 2020,33,0
66,Apr 21$ 2020,34,0
67,Apr 22$ 2020,35,0
68,Apr 23$ 2020,35,0
69,Apr 24$ 2020,36,0
70,Apr 25$ 2020,37,0
71,Apr 26$ 2020,38,0
72,Apr 27$ 2020,38,0
73,Apr 28$ 2020,38,0
74,Apr 29$ 2020,38,0
75,Apr 30$ 2020,38,0
76,May 01$ 2020,38,0
77,May 02$ 2020,39,0
78,May 03$ 2020,39,0
79,May 04$ 2020,40,0
80,May 05$ 2020,41,0
81,May 06$ 2020,41,0
82,May 07$ 2020,41,0
83,May 08$ 2020,42,0
84,May 09$ 2020,42,0
85,May 10$ 2020,42,0
86,May 11$ 2020,42,0
87,May 12$ 2020,42,0
88,May 13$ 2020,42,0
89,May 14$ 2020,61,0
90,May 15$ 2020,98,0
91,May 16$ 2020,135,0
92,May 17$ 2020,136,0
93,May 18$ 2020,140,0
94,May 19$ 2020,140,0
95,May 20$ 2020,140,0
96,May 21$ 2020,140,0
97,May 22$ 2020,141,0
98,May 23$ 2020,141,0
99,May 24$ 2020,141,0
100,May 25$ 2020,141,0
101,May 26$ 2020,141,0
102,May 27$ 2020,148,0
103,May 28$ 2020,161,0
104,May 29$ 2020,179,0
105,May 30$ 2020,179,0
106,May 31$ 2020,179,0
107,Jun 01$ 2020,185,0
108,Jun 02$ 2020,185,0
109,Jun 03$ 2020,185,0
110,Jun 04$ 2020,186,0
111,Jun 05$ 2020,191,0
112,Jun 06$ 2020,193,0
113,Jun 07$ 2020,193,0
114,Jun 08$ 2020,194,0
115,Jun 09$ 2020,194,0
116,Jun 10$ 2020,194,0
117,Jun 11$ 2020,194,0
118,Jun 12$ 2020,197,0
119,Jun 13$ 2020,197,0
120,Jun 14$ 2020,197,0
121,Jun 15$ 2020,197,0
122,Jun 16$ 2020,197,0
123,Jun 17$ 2020,197,0
124,Jun 18$ 2020,201,0
125,Jun 19$ 2020,204,0
126,Jun 20$ 2020,204,0
127,Jun 21$ 2020,206,0
128,Jun 22$ 2020,213,0
129,Jun 23$ 2020,215,0
130,Jun 24$ 2020,215,0
131,Jun 25$ 2020,216,0
132,Jun 26$ 2020,219,0
133,Jun 27$ 2020,219,0
134,Jun 28$ 2020,219,0
135,Jun 29$ 2020,220,0
136,Jun 30$ 2020,220,0
137,Jul 01$ 2020,220,0
138,Jul 02$ 2020,220,0
139,Jul 03$ 2020,220,0
140,Jul 04$ 2020,220,0
141,Jul 05$ 2020,220,0
142,Jul 06$ 2020,220,0
143,Jul 07$ 2020,225,0
144,Jul 08$ 2020,227,0
145,Jul 09$ 2020,227,0
146,Jul 10$ 2020,227,0
147,Jul 11$ 2020,227,0
148,Jul 12$ 2020,230,0
149,Jul 13$ 2020,230,0
150,Jul 14$ 2020,243,0
151,Jul 15$ 2020,261,0
152,Jul 16$ 2020,261,0
153,Jul 17$ 2020,262,0
154,Jul 18$ 2020,287,0
155,Jul 19$ 2020,287,0
156,Jul 20$ 2020,287,0
157,Jul 21$ 2020,287,0
158,Jul 22$ 2020,287,0
159,Jul 23$ 2020,287,0
160,Jul 24$ 2020,288,0
161,Jul 25$ 2020,288,0
162,Jul 26$ 2020,288,0
163,Jul 27$ 2020,288,0
164,Jul 28$ 2020,289,0
165,Jul 29$ 2020,291,0
166,Jul 30$ 2020,291,0
167,Jul 31$ 2020,291,0
168,Aug 01$ 2020,291,0
169,Aug 02$ 2020,293,0
170,Aug 03$ 2020,293,0
171,Aug 04$ 2020,293,0
172,Aug 05$ 2020,293,0
173,Aug 06$ 2020,293,0
174,Aug 07$ 2020,293,0
175,Aug 08$ 2020,293,0
176,Aug 09$ 2020,293,0
177,Aug 10$ 2020,293,0
178,Aug 11$ 2020,293,0
179,Aug 12$ 2020,293,0
180,Aug 13$ 2020,297,0
181,Aug 14$ 2020,297,0
182,Aug 15$ 2020,298,0
183,Aug 16$ 2020,298,0
184,Aug 17$ 2020,298,0
185,Aug 18$ 2020,298,0
186,Aug 19$ 2020,298,0
187,Aug 20$ 2020,298,0
188,Aug 21$ 2020,298,0
189,Aug 22$ 2020,298,0
190,Aug 23$ 2020,298,0
191,Aug 24$ 2020,298,0
192,Aug 25$ 2020,298,0
193,Aug 26$ 2020,300,0
194,Aug 27$ 2020,301,0
195,Aug 28$ 2020,301,0
196,Aug 29$ 2020,301,0
197,Aug 30$ 2020,301,0
198,Aug 31$ 2020,301,0
199,Sep 01$ 2020,304,0
200,Sep 02$ 2020,306,0
201,Sep 03$ 2020,306,0
202,Sep 04$ 2020,310,0
203,Sep 05$ 2020,310,0
204,Sep 06$ 2020,310,0
205,Sep 07$ 2020,310,0
206,Sep 08$ 2020,310,0
207,Sep 09$ 2020,310,0
208,Sep 10$ 2020,310,0
209,Sep 11$ 2020,311,0
210,Sep 12$ 2020,311,0
211,Sep 13$ 2020,311,0
212,Sep 14$ 2020,311,0
213,Sep 15$ 2020,311,0
214,Sep 16$ 2020,311,0
215,Sep 17$ 2020,311,0
216,Sep 18$ 2020,311,0
217,Sep 19$ 2020,311,0
218,Sep 20$ 2020,312,0
219,Sep 21$ 2020,312,0
220,Sep 22$ 2020,313,0
221,Sep 23$ 2020,313,0
222,Sep 24$ 2020,313,0
223,Sep 25$ 2020,313,0
224,Sep 26$ 2020,313,0
225,Sep 27$ 2020,313,0
226,Sep 28$ 2020,313,0
227,Sep 29$ 2020,313,0
228,Sep 30$ 2020,313,0
229,Oct 01$ 2020,313,0
230,Oct 02$ 2020,313,0
231,Oct 03$ 2020,313,0
232,Oct 04$ 2020,313,0
233,Oct 05$ 2020,314,0
234,Oct 06$ 2020,315,0
235,Oct 07$ 2020,315,0
236,Oct 08$ 2020,315,0
237,Oct 09$ 2020,315,0
238,Oct 10$ 2020,315,0
239,Oct 11$ 2020,316,0
240,Oct 12$ 2020,318,0
241,Oct 13$ 2020,320,0
242,Oct 14$ 2020,320,0
243,Oct 15$ 2020,320,0
244,Oct 16$ 2020,320,0
245,Oct 17$ 2020,320,0
246,Oct 18$ 2020,324,0
247,Oct 19$ 2020,324,0
248,Oct 20$ 2020,326,0
249,Oct 21$ 2020,327,0
250,Oct 22$ 2020,328,0
251,Oct 23$ 2020,328,0
252,Oct 24$ 2020,337,0
253,Oct 25$ 2020,338,0
254,Oct 26$ 2020,339,0
255,Oct 27$ 2020,340,0
256,Oct 28$ 2020,340,0
257,Oct 29$ 2020,340,0
258,Oct 30$ 2020,340,0
259,Oct 31$ 2020,346,0
260,Nov 01$ 2020,346,0
261,Nov 02$ 2020,349,0
262,Nov 03$ 2020,350,0
263,Nov 04$ 2020,352,0
264,Nov 05$ 2020,353,0
265,Nov 06$ 2020,356,0
266,Nov 07$ 2020,357,0
267,Nov 08$ 2020,362,0
268,Nov 09$ 2020,368,0
269,Nov 10$ 2020,374,0
270,Nov 11$ 2020,382,0
271,Nov 12$ 2020,406,0
272,Nov 13$ 2020,412,0
273,Nov 14$ 2020,416,0
274,Nov 15$ 2020,428,0
275,Nov 16$ 2020,431,0
276,Nov 17$ 2020,440,0
277,Nov 18$ 2020,473,0
278,Nov 19$ 2020,518,0
279,Nov 20$ 2020,557,0
280,Nov 21$ 2020,582,0
281,Nov 22$ 2020,629,0
282,Nov 23$ 2020,640,0
283,Nov 24$ 2020,672,0
284,Nov 25$ 2020,699,0
285,Nov 26$ 2020,712,0
286,Nov 27$ 2020,738,0
287,Nov 28$ 2020,760,0
288,Nov 29$ 2020,784,0
289,Nov 30$ 2020,791,0
290,Dec 01$ 2020,801,0
291,Dec 02$ 2020,812,0
292,Dec 03$ 2020,819,0
293,Dec 04$ 2020,831,0
294,Dec 05$ 2020,842,0
295,Dec 06$ 2020,849,0
296,Dec 07$ 2020,887,0
297,Dec 08$ 2020,888,0
298,Dec 09$ 2020,893,0
299,Dec 10$ 2020,898,0
300,Dec 11$ 2020,905,0
301,Dec 12$ 2020,906,0
302,Dec 13$ 2020,907,0
303,Dec 14$ 2020,912,0
304,Dec 15$ 2020,917,0
305,Dec 16$ 2020,918,0
306,Dec 17$ 2020,923,0
307,Dec 18$ 2020,941,0
308,Dec 19$ 2020,953,0
309,Dec 20$ 2020,961,0
310,Dec 21$ 2020,993,0
311,Dec 22$ 2020,1006,0
312,Dec 23$ 2020,1063,0
313,Dec 24$ 2020,1069,0
314,Dec 25$ 2020,1075,0
315,Dec 26$ 2020,1082,0
316,Dec 27$ 2020,1121,0
317,Dec 28$ 2020,1137,0
318,Dec 29$ 2020,1175,1
319,Dec 30$ 2020,1195,1
320,Dec 31$ 2020,1215,1
321,Jan 01$ 2021,1220,1
322,Jan 02$ 2021,1242,1
323,Jan 03$ 2021,1263,1
324,Jan 04$ 2021,1286,1
325,Jan 05$ 2021,1308,2
326,Jan 06$ 2021,1349,2
327,Jan 07$ 2021,1362,2
328,Jan 08$ 2021,1395,2
329,Jan 09$ 2021,1408,2
330,Jan 10$ 2021,1429,2
331,Jan 11$ 2021,1442,2
332,Jan 12$ 2021,1456,2
333,Jan 13$ 2021,1469,2
334,Jan 14$ 2021,1479,2
335,Jan 15$ 2021,1491,2
336,Jan 16$ 2021,1512,2
337,Jan 17$ 2021,1517,2
338,Jan 18$ 2021,1526,2
339,Jan 19$ 2021,1536,2
340,Jan 20$ 2021,1568,2
341,Jan 21$ 2021,1584,2
342,Jan 22$ 2021,1592,2
343,Jan 23$ 2021,1611,2
344,Jan 24$ 2021,1627,2
345,Jan 25$ 2021,1643,2
