,Date,Total Cases,Total Deaths
0,Feb 15$ 2020,0,0
1,Feb 16$ 2020,0,0
2,Feb 17$ 2020,0,0
3,Feb 18$ 2020,0,0
4,Feb 19$ 2020,0,0
5,Feb 20$ 2020,0,0
6,Feb 21$ 2020,0,0
7,Feb 22$ 2020,0,0
8,Feb 23$ 2020,0,0
9,Feb 24$ 2020,0,0
10,Feb 25$ 2020,0,0
11,Feb 26$ 2020,0,0
12,Feb 27$ 2020,1,0
13,Feb 28$ 2020,2,0
14,Feb 29$ 2020,7,0
15,Mar 01$ 2020,10,0
16,Mar 02$ 2020,18,0
17,Mar 03$ 2020,23,0
18,Mar 04$ 2020,38,0
19,Mar 05$ 2020,82,0
20,Mar 06$ 2020,128,1
21,Mar 07$ 2020,188,1
22,Mar 08$ 2020,265,3
23,Mar 09$ 2020,321,4
24,Mar 10$ 2020,382,4
25,Mar 11$ 2020,503,5
26,Mar 12$ 2020,614,5
27,Mar 13$ 2020,804,10
28,Mar 14$ 2020,959,12
29,Mar 15$ 2020,1135,20
30,Mar 16$ 2020,1413,24
31,Mar 17$ 2020,1705,43
32,Mar 18$ 2020,2051,58
33,Mar 19$ 2020,2460,76
34,Mar 20$ 2020,2994,106
35,Mar 21$ 2020,3631,136
36,Mar 22$ 2020,4204,179
37,Mar 23$ 2020,4749,213
38,Mar 24$ 2020,5560,276
39,Mar 25$ 2020,6412,356
40,Mar 26$ 2020,7431,434
41,Mar 27$ 2020,8603,546
42,Mar 28$ 2020,9762,639
43,Mar 29$ 2020,10866,771
44,Mar 30$ 2020,11750,864
45,Mar 31$ 2020,12595,1039
46,Apr 01$ 2020,13614,1173
47,Apr 02$ 2020,14697,1339
48,Apr 03$ 2020,15723,1487
49,Apr 04$ 2020,16627,1651
50,Apr 05$ 2020,17851,1766
51,Apr 06$ 2020,18803,1867
52,Apr 07$ 2020,19580,2101
53,Apr 08$ 2020,20549,2248
54,Apr 09$ 2020,21762,2396
55,Apr 10$ 2020,23097,2511
56,Apr 11$ 2020,24413,2643
57,Apr 12$ 2020,25587,2737
58,Apr 13$ 2020,26551,2823
59,Apr 14$ 2020,27419,2945
60,Apr 15$ 2020,28153,3134
61,Apr 16$ 2020,29214,3315
62,Apr 17$ 2020,30449,3459
63,Apr 18$ 2020,31589,3601
64,Apr 19$ 2020,32655,3684
65,Apr 20$ 2020,33405,3751
66,Apr 21$ 2020,34134,3916
67,Apr 22$ 2020,34842,4054
68,Apr 23$ 2020,35729,4177
69,Apr 24$ 2020,36535,4289
70,Apr 25$ 2020,37190,4409
71,Apr 26$ 2020,37845,4475
72,Apr 27$ 2020,38245,4518
73,Apr 28$ 2020,38416,4566
74,Apr 29$ 2020,38802,4711
75,Apr 30$ 2020,39316,4795
76,May 01$ 2020,39791,4893
77,May 02$ 2020,40236,4987
78,May 03$ 2020,40571,5056
79,May 04$ 2020,40770,5082
80,May 05$ 2020,41087,5168
81,May 06$ 2020,41319,5204
82,May 07$ 2020,41774,5288
83,May 08$ 2020,42093,5359
84,May 09$ 2020,42382,5422
85,May 10$ 2020,42627,5440
86,May 11$ 2020,42788,5456
87,May 12$ 2020,42984,5510
88,May 13$ 2020,43211,5562
89,May 14$ 2020,43481,5590
90,May 15$ 2020,43681,5643
91,May 16$ 2020,43870,5670
92,May 17$ 2020,43995,5680
93,May 18$ 2020,44141,5694
94,May 19$ 2020,44249,5715
95,May 20$ 2020,44447,5748
96,May 21$ 2020,44700,5775
97,May 22$ 2020,44888,5788
98,May 23$ 2020,45064,5811
99,May 24$ 2020,45236,5822
100,May 25$ 2020,45445,5830
101,May 26$ 2020,45578,5856
102,May 27$ 2020,45768,5871
103,May 28$ 2020,45950,5903
104,May 29$ 2020,46126,5931
105,May 30$ 2020,46257,5951
106,May 31$ 2020,46442,5956
107,Jun 01$ 2020,46545,5962
108,Jun 02$ 2020,46647,5967
109,Jun 03$ 2020,46733,5977
110,Jun 04$ 2020,46942,5990
111,Jun 05$ 2020,47152,6005
112,Jun 06$ 2020,47335,6011
113,Jun 07$ 2020,47574,6013
114,Jun 08$ 2020,47739,6016
115,Jun 09$ 2020,47903,6031
116,Jun 10$ 2020,48087,6042
117,Jun 11$ 2020,48251,6044
118,Jun 12$ 2020,48461,6053
119,Jun 13$ 2020,48640,6057
120,Jun 14$ 2020,48783,6059
121,Jun 15$ 2020,48948,6065
122,Jun 16$ 2020,49087,6070
123,Jun 17$ 2020,49204,6074
124,Jun 18$ 2020,49319,6078
125,Jun 19$ 2020,49426,6081
126,Jun 20$ 2020,49502,6089
127,Jun 21$ 2020,49593,6090
128,Jun 22$ 2020,49658,6090
129,Jun 23$ 2020,49722,6095
130,Jun 24$ 2020,49804,6097
131,Jun 25$ 2020,49914,6100
132,Jun 26$ 2020,50005,6103
133,Jun 27$ 2020,50074,6105
134,Jun 28$ 2020,50147,6105
135,Jun 29$ 2020,50223,6107
136,Jun 30$ 2020,50273,6113
137,Jul 01$ 2020,50335,6115
138,Jul 02$ 2020,50412,6118
139,Jul 03$ 2020,50487,6120
140,Jul 04$ 2020,50548,6126
141,Jul 05$ 2020,50621,6127
142,Jul 06$ 2020,50657,6128
143,Jul 07$ 2020,50694,6132
144,Jul 08$ 2020,50746,6135
145,Jul 09$ 2020,50798,6135
146,Jul 10$ 2020,50840,6135
147,Jul 11$ 2020,50921,6135
148,Jul 12$ 2020,51022,6135
149,Jul 13$ 2020,51093,6135
150,Jul 14$ 2020,51146,6135
151,Jul 15$ 2020,51252,6136
152,Jul 16$ 2020,51351,6136
153,Jul 17$ 2020,51454,6136
154,Jul 18$ 2020,51581,6136
155,Jul 19$ 2020,51725,6136
156,Jul 20$ 2020,51910,6136
157,Jul 21$ 2020,52073,6136
158,Jul 22$ 2020,52241,6139
159,Jul 23$ 2020,52404,6139
160,Jul 24$ 2020,52595,6139
161,Jul 25$ 2020,52732,6139
162,Jul 26$ 2020,52946,6140
163,Jul 27$ 2020,53151,6141
164,Jul 28$ 2020,53374,6145
165,Jul 29$ 2020,53621,6147
166,Jul 30$ 2020,53963,6147
167,Jul 31$ 2020,54301,6147
168,Aug 01$ 2020,54732,6148
169,Aug 02$ 2020,55098,6149
170,Aug 03$ 2020,55470,6149
171,Aug 04$ 2020,55955,6150
172,Aug 05$ 2020,56381,6153
173,Aug 06$ 2020,56982,6153
174,Aug 07$ 2020,57501,6154
175,Aug 08$ 2020,57987,6157
176,Aug 09$ 2020,58564,6157
177,Aug 10$ 2020,59194,6157
178,Aug 11$ 2020,59973,6159
179,Aug 12$ 2020,60627,6161
180,Aug 13$ 2020,61204,6165
181,Aug 14$ 2020,61840,6167
182,Aug 15$ 2020,62495,6169
183,Aug 16$ 2020,63002,6172
184,Aug 17$ 2020,63484,6172
185,Aug 18$ 2020,63973,6175
186,Aug 19$ 2020,64525,6181
187,Aug 20$ 2020,65054,6191
188,Aug 21$ 2020,65589,6195
189,Aug 22$ 2020,66097,6200
190,Aug 23$ 2020,66554,6200
191,Aug 24$ 2020,67128,6202
192,Aug 25$ 2020,67543,6207
193,Aug 26$ 2020,68114,6215
194,Aug 27$ 2020,68624,6218
195,Aug 28$ 2020,69131,6220
196,Aug 29$ 2020,69632,6224
197,Aug 30$ 2020,70140,6224
198,Aug 31$ 2020,70667,6224
199,Sep 01$ 2020,71129,6230
200,Sep 02$ 2020,71863,6235
201,Sep 03$ 2020,72464,6235
202,Sep 04$ 2020,73208,6237
203,Sep 05$ 2020,73862,6241
204,Sep 06$ 2020,74787,6243
205,Sep 07$ 2020,75584,6243
206,Sep 08$ 2020,76548,6244
207,Sep 09$ 2020,77688,6246
208,Sep 10$ 2020,78511,6249
209,Sep 11$ 2020,79781,6252
210,Sep 12$ 2020,81012,6253
211,Sep 13$ 2020,82099,6254
212,Sep 14$ 2020,83399,6256
213,Sep 15$ 2020,84778,6258
214,Sep 16$ 2020,86320,6260
215,Sep 17$ 2020,88073,6266
216,Sep 18$ 2020,90047,6273
217,Sep 19$ 2020,91934,6275
218,Sep 20$ 2020,93778,6279
219,Sep 21$ 2020,95995,6281
220,Sep 22$ 2020,98240,6291
221,Sep 23$ 2020,100597,6296
222,Sep 24$ 2020,103141,6312
223,Sep 25$ 2020,105918,6328
224,Sep 26$ 2020,108631,6366
225,Sep 27$ 2020,111626,6374
226,Sep 28$ 2020,114540,6380
227,Sep 29$ 2020,117551,6393
228,Sep 30$ 2020,120845,6406
229,Oct 01$ 2020,124097,6419
230,Oct 02$ 2020,127922,6428
231,Oct 03$ 2020,131889,6449
232,Oct 04$ 2020,135892,6454
233,Oct 05$ 2020,140471,6461
234,Oct 06$ 2020,144999,6482
235,Oct 07$ 2020,149988,6518
236,Oct 08$ 2020,155810,6531
237,Oct 09$ 2020,161781,6544
238,Oct 10$ 2020,168280,6567
239,Oct 11$ 2020,174653,6584
240,Oct 12$ 2020,181498,6596
241,Oct 13$ 2020,188876,6631
242,Oct 14$ 2020,196163,6663
243,Oct 15$ 2020,203954,6692
244,Oct 16$ 2020,211938,6708
245,Oct 17$ 2020,220052,6737
246,Oct 18$ 2020,228234,6751
247,Oct 19$ 2020,236226,6768
248,Oct 20$ 2020,244391,6814
249,Oct 21$ 2020,253134,6873
250,Oct 22$ 2020,262405,6919
251,Oct 23$ 2020,272401,6964
252,Oct 24$ 2020,281052,7019
253,Oct 25$ 2020,291254,7046
254,Oct 26$ 2020,301597,7072
255,Oct 27$ 2020,311889,7142
256,Oct 28$ 2020,319991,7202
257,Oct 29$ 2020,330255,7258
258,Oct 30$ 2020,341374,7345
259,Oct 31$ 2020,351178,7395
260,Nov 01$ 2020,359861,7434
261,Nov 02$ 2020,368147,7463
262,Nov 03$ 2020,375890,7576
263,Nov 04$ 2020,383523,7682
264,Nov 05$ 2020,390488,7769
265,Nov 06$ 2020,397730,7887
266,Nov 07$ 2020,404401,7960
267,Nov 08$ 2020,410065,8004
268,Nov 09$ 2020,414745,8043
269,Nov 10$ 2020,419412,8141
270,Nov 11$ 2020,424819,8215
271,Nov 12$ 2020,430453,8304
272,Nov 13$ 2020,436544,8358
273,Nov 14$ 2020,442458,8443
274,Nov 15$ 2020,447871,8486
275,Nov 16$ 2020,452701,8530
276,Nov 17$ 2020,457003,8616
277,Nov 18$ 2020,461612,8698
278,Nov 19$ 2020,467257,8771
279,Nov 20$ 2020,473190,8822
280,Nov 21$ 2020,479260,8870
281,Nov 22$ 2020,484648,8891
282,Nov 23$ 2020,489818,8945
283,Nov 24$ 2020,493744,9035
284,Nov 25$ 2020,498653,9109
285,Nov 26$ 2020,503123,9184
286,Nov 27$ 2020,508866,9267
287,Nov 28$ 2020,513325,9326
288,Nov 29$ 2020,518910,9349
289,Nov 30$ 2020,523478,9376
290,Dec 01$ 2020,527523,9438
291,Dec 02$ 2020,532444,9504
292,Dec 03$ 2020,538050,9565
293,Dec 04$ 2020,543924,9623
294,Dec 05$ 2020,550445,9662
295,Dec 06$ 2020,557224,9687
296,Dec 07$ 2020,564291,9704
297,Dec 08$ 2020,570437,9775
298,Dec 09$ 2020,576965,9841
299,Dec 10$ 2020,585685,9902
300,Dec 11$ 2020,594523,9966
301,Dec 12$ 2020,603603,10019
302,Dec 13$ 2020,613487,10048
303,Dec 14$ 2020,621944,10082
304,Dec 15$ 2020,628577,10168
305,Dec 16$ 2020,639746,10246
306,Dec 17$ 2020,652525,10321
307,Dec 18$ 2020,664456,10405
308,Dec 19$ 2020,676673,10459
309,Dec 20$ 2020,689705,10491
310,Dec 21$ 2020,700873,10519
311,Dec 22$ 2020,710683,10633
312,Dec 23$ 2020,721071,10737
313,Dec 24$ 2020,732570,10826
314,Dec 25$ 2020,744057,10924
315,Dec 26$ 2020,753905,10970
