,Date,Total Cases,Total Deaths
0,Feb 15$ 2020,0,0
1,Feb 16$ 2020,0,0
2,Feb 17$ 2020,0,0
3,Feb 18$ 2020,0,0
4,Feb 19$ 2020,0,0
5,Feb 20$ 2020,0,0
6,Feb 21$ 2020,0,0
7,Feb 22$ 2020,0,0
8,Feb 23$ 2020,0,0
9,Feb 24$ 2020,0,0
10,Feb 25$ 2020,0,0
11,Feb 26$ 2020,0,0
12,Feb 27$ 2020,0,0
13,Feb 28$ 2020,1,0
14,Feb 29$ 2020,1,0
15,Mar 01$ 2020,1,0
16,Mar 02$ 2020,1,0
17,Mar 03$ 2020,2,0
18,Mar 04$ 2020,3,0
19,Mar 05$ 2020,4,0
20,Mar 06$ 2020,4,0
21,Mar 07$ 2020,5,0
22,Mar 08$ 2020,5,0
23,Mar 09$ 2020,5,0
24,Mar 10$ 2020,5,0
25,Mar 11$ 2020,5,0
26,Mar 12$ 2020,5,0
27,Mar 13$ 2020,6,0
28,Mar 14$ 2020,8,0
29,Mar 15$ 2020,8,0
30,Mar 16$ 2020,8,0
31,Mar 17$ 2020,20,0
32,Mar 18$ 2020,20,0
33,Mar 19$ 2020,28,0
34,Mar 20$ 2020,52,0
35,Mar 21$ 2020,52,0
36,Mar 22$ 2020,102,0
37,Mar 23$ 2020,102,0
38,Mar 24$ 2020,205,0
39,Mar 25$ 2020,283,0
40,Mar 26$ 2020,368,0
41,Mar 27$ 2020,368,0
42,Mar 28$ 2020,514,1
43,Mar 29$ 2020,514,1
44,Mar 30$ 2020,589,1
45,Mar 31$ 2020,647,1
46,Apr 01$ 2020,708,1
47,Apr 02$ 2020,797,1
48,Apr 03$ 2020,868,1
49,Apr 04$ 2020,950,1
50,Apr 05$ 2020,1039,1
51,Apr 06$ 2020,1106,1
52,Apr 07$ 2020,1160,1
53,Apr 08$ 2020,1210,1
54,Apr 09$ 2020,1239,1
55,Apr 10$ 2020,1283,2
56,Apr 11$ 2020,1312,4
57,Apr 12$ 2020,1330,4
58,Apr 13$ 2020,1349,5
59,Apr 14$ 2020,1366,9
60,Apr 15$ 2020,1386,9
61,Apr 16$ 2020,1401,9
62,Apr 17$ 2020,1409,11
63,Apr 18$ 2020,1422,11
64,Apr 19$ 2020,1431,12
65,Apr 20$ 2020,1440,12
66,Apr 21$ 2020,1445,13
67,Apr 22$ 2020,1448,14
68,Apr 23$ 2020,1451,16
69,Apr 24$ 2020,1456,17
70,Apr 25$ 2020,1461,18
71,Apr 26$ 2020,1469,18
72,Apr 27$ 2020,1469,19
73,Apr 28$ 2020,1472,19
74,Apr 29$ 2020,1474,19
75,Apr 30$ 2020,1476,19
76,May 01$ 2020,1479,19
77,May 02$ 2020,1485,20
78,May 03$ 2020,1487,20
79,May 04$ 2020,1487,20
80,May 05$ 2020,1486,20
81,May 06$ 2020,1488,21
82,May 07$ 2020,1489,21
83,May 08$ 2020,1490,21
84,May 09$ 2020,1492,21
85,May 10$ 2020,1494,21
86,May 11$ 2020,1497,21
87,May 12$ 2020,1497,21
88,May 13$ 2020,1497,21
89,May 14$ 2020,1497,21
90,May 15$ 2020,1498,21
91,May 16$ 2020,1498,21
92,May 17$ 2020,1499,21
93,May 18$ 2020,1499,21
94,May 19$ 2020,1503,21
95,May 20$ 2020,1503,21
96,May 21$ 2020,1503,21
97,May 22$ 2020,1504,21
98,May 23$ 2020,1504,21
99,May 24$ 2020,1504,21
100,May 25$ 2020,1504,21
101,May 26$ 2020,1504,21
102,May 27$ 2020,1504,21
103,May 28$ 2020,1504,22
104,May 29$ 2020,1504,22
105,May 30$ 2020,1504,22
106,May 31$ 2020,1504,22
107,Jun 01$ 2020,1504,22
108,Jun 02$ 2020,1504,22
109,Jun 03$ 2020,1504,22
110,Jun 04$ 2020,1504,22
111,Jun 05$ 2020,1504,22
112,Jun 06$ 2020,1504,22
113,Jun 07$ 2020,1504,22
114,Jun 08$ 2020,1504,22
115,Jun 09$ 2020,1504,22
116,Jun 10$ 2020,1504,22
117,Jun 11$ 2020,1504,22
118,Jun 12$ 2020,1504,22
119,Jun 13$ 2020,1504,22
120,Jun 14$ 2020,1504,22
121,Jun 15$ 2020,1504,22
122,Jun 16$ 2020,1506,22
123,Jun 17$ 2020,1506,22
124,Jun 18$ 2020,1507,22
125,Jun 19$ 2020,1507,22
126,Jun 20$ 2020,1509,22
127,Jun 21$ 2020,1511,22
128,Jun 22$ 2020,1513,22
129,Jun 23$ 2020,1515,22
130,Jun 24$ 2020,1516,22
131,Jun 25$ 2020,1519,22
132,Jun 26$ 2020,1520,22
133,Jun 27$ 2020,1522,22
134,Jun 28$ 2020,1526,22
135,Jun 29$ 2020,1528,22
136,Jun 30$ 2020,1528,22
137,Jul 01$ 2020,1528,22
138,Jul 02$ 2020,1530,22
139,Jul 03$ 2020,1530,22
140,Jul 04$ 2020,1530,22
141,Jul 05$ 2020,1533,22
142,Jul 06$ 2020,1534,22
143,Jul 07$ 2020,1536,22
144,Jul 08$ 2020,1537,22
145,Jul 09$ 2020,1540,22
146,Jul 10$ 2020,1542,22
147,Jul 11$ 2020,1543,22
148,Jul 12$ 2020,1544,22
149,Jul 13$ 2020,1544,22
150,Jul 14$ 2020,1545,22
151,Jul 15$ 2020,1547,22
152,Jul 16$ 2020,1548,22
153,Jul 17$ 2020,1549,22
154,Jul 18$ 2020,1550,22
155,Jul 19$ 2020,1553,22
156,Jul 20$ 2020,1554,22
157,Jul 21$ 2020,1555,22
158,Jul 22$ 2020,1555,22
159,Jul 23$ 2020,1555,22
160,Jul 24$ 2020,1556,22
161,Jul 25$ 2020,1556,22
162,Jul 26$ 2020,1556,22
163,Jul 27$ 2020,1556,22
164,Jul 28$ 2020,1557,22
165,Jul 29$ 2020,1559,22
166,Jul 30$ 2020,1560,22
167,Jul 31$ 2020,1560,22
168,Aug 01$ 2020,1562,22
169,Aug 02$ 2020,1565,22
170,Aug 03$ 2020,1567,22
171,Aug 04$ 2020,1567,22
172,Aug 05$ 2020,1569,22
173,Aug 06$ 2020,1569,22
174,Aug 07$ 2020,1569,22
175,Aug 08$ 2020,1569,22
176,Aug 09$ 2020,1569,22
177,Aug 10$ 2020,1569,22
178,Aug 11$ 2020,1570,22
179,Aug 12$ 2020,1579,22
180,Aug 13$ 2020,1589,22
181,Aug 14$ 2020,1602,22
182,Aug 15$ 2020,1609,22
183,Aug 16$ 2020,1622,22
184,Aug 17$ 2020,1631,22
185,Aug 18$ 2020,1643,22
186,Aug 19$ 2020,1649,22
187,Aug 20$ 2020,1654,22
188,Aug 21$ 2020,1665,22
189,Aug 22$ 2020,1671,22
190,Aug 23$ 2020,1674,22
191,Aug 24$ 2020,1683,22
192,Aug 25$ 2020,1690,22
193,Aug 26$ 2020,1695,22
194,Aug 27$ 2020,1702,22
195,Aug 28$ 2020,1714,22
196,Aug 29$ 2020,1727,22
197,Aug 30$ 2020,1729,22
198,Aug 31$ 2020,1738,22
199,Sep 01$ 2020,1752,22
200,Sep 02$ 2020,1757,22
201,Sep 03$ 2020,1759,22
202,Sep 04$ 2020,1764,23
203,Sep 05$ 2020,1767,24
204,Sep 06$ 2020,1772,24
205,Sep 07$ 2020,1776,24
206,Sep 08$ 2020,1782,24
207,Sep 09$ 2020,1788,24
208,Sep 10$ 2020,1792,24
209,Sep 11$ 2020,1793,24
210,Sep 12$ 2020,1795,24
211,Sep 13$ 2020,1797,24
212,Sep 14$ 2020,1798,24
213,Sep 15$ 2020,1801,24
214,Sep 16$ 2020,1802,25
215,Sep 17$ 2020,1809,25
216,Sep 18$ 2020,1809,25
217,Sep 19$ 2020,1811,25
218,Sep 20$ 2020,1815,25
219,Sep 21$ 2020,1815,25
220,Sep 22$ 2020,1815,25
221,Sep 23$ 2020,1824,25
222,Sep 24$ 2020,1827,25
223,Sep 25$ 2020,1829,25
224,Sep 26$ 2020,1831,25
225,Sep 27$ 2020,1833,25
226,Sep 28$ 2020,1833,25
227,Sep 29$ 2020,1835,25
228,Sep 30$ 2020,1836,25
229,Oct 01$ 2020,1848,25
230,Oct 02$ 2020,1848,25
231,Oct 03$ 2020,1849,25
232,Oct 04$ 2020,1854,25
233,Oct 05$ 2020,1855,25
234,Oct 06$ 2020,1858,25
235,Oct 07$ 2020,1861,25
236,Oct 08$ 2020,1864,25
237,Oct 09$ 2020,1866,25
238,Oct 10$ 2020,1870,25
239,Oct 11$ 2020,1871,25
240,Oct 12$ 2020,1871,25
241,Oct 13$ 2020,1872,25
242,Oct 14$ 2020,1874,25
243,Oct 15$ 2020,1876,25
244,Oct 16$ 2020,1880,25
245,Oct 17$ 2020,1883,25
246,Oct 18$ 2020,1886,25
247,Oct 19$ 2020,1886,25
248,Oct 20$ 2020,1887,25
249,Oct 21$ 2020,1912,25
250,Oct 22$ 2020,1914,25
251,Oct 23$ 2020,1923,25
252,Oct 24$ 2020,1934,25
253,Oct 25$ 2020,1935,25
254,Oct 26$ 2020,1940,25
255,Oct 27$ 2020,1941,25
256,Oct 28$ 2020,1943,25
257,Oct 29$ 2020,1949,25
258,Oct 30$ 2020,1950,25
259,Oct 31$ 2020,1957,25
260,Nov 01$ 2020,1959,25
261,Nov 02$ 2020,1963,25
262,Nov 03$ 2020,1968,25
263,Nov 04$ 2020,1971,25
264,Nov 05$ 2020,1973,25
265,Nov 06$ 2020,1974,25
266,Nov 07$ 2020,1976,25
267,Nov 08$ 2020,1982,25
268,Nov 09$ 2020,1986,25
269,Nov 10$ 2020,1987,25
270,Nov 11$ 2020,1988,25
271,Nov 12$ 2020,1991,25
272,Nov 13$ 2020,1995,25
273,Nov 14$ 2020,1998,25
274,Nov 15$ 2020,2001,25
275,Nov 16$ 2020,2001,25
276,Nov 17$ 2020,2005,25
277,Nov 18$ 2020,2008,25
278,Nov 19$ 2020,2010,25
279,Nov 20$ 2020,2013,25
280,Nov 21$ 2020,2019,25
281,Nov 22$ 2020,2028,25
282,Nov 23$ 2020,2030,25
283,Nov 24$ 2020,2031,25
284,Nov 25$ 2020,2039,25
285,Nov 26$ 2020,2040,25
286,Nov 27$ 2020,2047,25
287,Nov 28$ 2020,2050,25
288,Nov 29$ 2020,2050,25
289,Nov 30$ 2020,2056,25
290,Dec 01$ 2020,2059,25
291,Dec 02$ 2020,2060,25
292,Dec 03$ 2020,2069,25
293,Dec 04$ 2020,2069,25
294,Dec 05$ 2020,2078,25
295,Dec 06$ 2020,2078,25
296,Dec 07$ 2020,2079,25
297,Dec 08$ 2020,2085,25
298,Dec 09$ 2020,2088,25
299,Dec 10$ 2020,2088,25
300,Dec 11$ 2020,2092,25
301,Dec 12$ 2020,2092,25
302,Dec 13$ 2020,2096,25
303,Dec 14$ 2020,2096,25
304,Dec 15$ 2020,2096,25
305,Dec 16$ 2020,2100,25
306,Dec 17$ 2020,2100,25
307,Dec 18$ 2020,2110,25
308,Dec 19$ 2020,2110,25
309,Dec 20$ 2020,2116,25
310,Dec 21$ 2020,2121,25
311,Dec 22$ 2020,2121,25
312,Dec 23$ 2020,2128,25
313,Dec 24$ 2020,2128,25
314,Dec 25$ 2020,2128,25
315,Dec 26$ 2020,2128,25
316,Dec 27$ 2020,2144,25
317,Dec 28$ 2020,2144,25
318,Dec 29$ 2020,2151,25
319,Dec 30$ 2020,2151,25
320,Dec 31$ 2020,2162,25
321,Jan 01$ 2021,2162,25
322,Jan 02$ 2021,2162,25
323,Jan 03$ 2021,2181,25
324,Jan 04$ 2021,2181,25
325,Jan 05$ 2021,2186,25
326,Jan 06$ 2021,2186,25
327,Jan 07$ 2021,2188,25
328,Jan 08$ 2021,2188,25
329,Jan 09$ 2021,2188,25
330,Jan 10$ 2021,2219,25
331,Jan 11$ 2021,2222,25
