,Date,Total Cases,Total Deaths
0,Feb 15$ 2020,0,0
1,Feb 16$ 2020,0,0
2,Feb 17$ 2020,0,0
3,Feb 18$ 2020,0,0
4,Feb 19$ 2020,0,0
5,Feb 20$ 2020,0,0
6,Feb 21$ 2020,0,0
7,Feb 22$ 2020,0,0
8,Feb 23$ 2020,0,0
9,Feb 24$ 2020,0,0
10,Feb 25$ 2020,0,0
11,Feb 26$ 2020,2,0
12,Feb 27$ 2020,2,0
13,Feb 28$ 2020,2,0
14,Feb 29$ 2020,4,0
15,Mar 01$ 2020,4,0
16,Mar 02$ 2020,4,0
17,Mar 03$ 2020,5,0
18,Mar 04$ 2020,5,0
19,Mar 05$ 2020,5,0
20,Mar 06$ 2020,6,0
21,Mar 07$ 2020,6,0
22,Mar 08$ 2020,7,0
23,Mar 09$ 2020,16,0
24,Mar 10$ 2020,19,0
25,Mar 11$ 2020,20,0
26,Mar 12$ 2020,21,0
27,Mar 13$ 2020,28,0
28,Mar 14$ 2020,33,0
29,Mar 15$ 2020,53,0
30,Mar 16$ 2020,184,0
31,Mar 17$ 2020,247,0
32,Mar 18$ 2020,307,2
33,Mar 19$ 2020,454,2
34,Mar 20$ 2020,501,3
35,Mar 21$ 2020,645,3
36,Mar 22$ 2020,776,5
37,Mar 23$ 2020,875,6
38,Mar 24$ 2020,972,7
39,Mar 25$ 2020,1063,8
40,Mar 26$ 2020,1201,9
41,Mar 27$ 2020,1373,11
42,Mar 28$ 2020,1495,12
43,Mar 29$ 2020,1597,14
44,Mar 30$ 2020,1717,21
45,Mar 31$ 2020,1938,26
46,Apr 01$ 2020,2118,27
47,Apr 02$ 2020,2421,34
48,Apr 03$ 2020,2686,40
49,Apr 04$ 2020,2818,41
50,Apr 05$ 2020,3157,47
51,Apr 06$ 2020,3766,53
52,Apr 07$ 2020,4035,57
53,Apr 08$ 2020,4263,61
54,Apr 09$ 2020,4489,65
55,Apr 10$ 2020,4695,66
56,Apr 11$ 2020,5011,87
57,Apr 12$ 2020,5230,92
58,Apr 13$ 2020,5496,94
59,Apr 14$ 2020,5837,97
60,Apr 15$ 2020,6383,113
61,Apr 16$ 2020,6919,131
62,Apr 17$ 2020,7025,138
63,Apr 18$ 2020,7638,146
64,Apr 19$ 2020,8348,172
65,Apr 20$ 2020,8892,180
66,Apr 21$ 2020,9565,206
67,Apr 22$ 2020,10076,217
68,Apr 23$ 2020,11057,241
69,Apr 24$ 2020,11940,260
70,Apr 25$ 2020,12723,277
71,Apr 26$ 2020,13328,289
72,Apr 27$ 2020,13915,300
73,Apr 28$ 2020,14612,321
74,Apr 29$ 2020,15525,353
75,Apr 30$ 2020,16473,372
76,May 01$ 2020,18092,430
77,May 02$ 2020,19022,451
78,May 03$ 2020,20084,472
79,May 04$ 2020,20941,492
80,May 05$ 2020,22049,532
81,May 06$ 2020,23214,563
82,May 07$ 2020,24644,606
83,May 08$ 2020,26435,621
84,May 09$ 2020,28736,660
85,May 10$ 2020,30334,684
86,May 11$ 2020,30941,692
87,May 12$ 2020,32674,751
88,May 13$ 2020,35298,790
89,May 14$ 2020,35788,799
90,May 15$ 2020,37218,833
91,May 16$ 2020,38799,865
92,May 17$ 2020,40151,906
93,May 18$ 2020,42125,937
94,May 19$ 2020,43966,974
95,May 20$ 2020,45898,1022
96,May 21$ 2020,48091,1055
97,May 22$ 2020,50694,1107
98,May 23$ 2020,52437,1142
99,May 24$ 2020,54601,1175
100,May 25$ 2020,56349,1210
101,May 26$ 2020,57705,1241
102,May 27$ 2020,59151,1270
103,May 28$ 2020,61227,1306
104,May 29$ 2020,64028,1365
105,May 30$ 2020,66457,1446
106,May 31$ 2020,69496,1538
107,Jun 01$ 2020,72460,1600
108,Jun 02$ 2020,76398,1681
109,Jun 03$ 2020,80463,1751
110,Jun 04$ 2020,85264,1836
111,Jun 05$ 2020,89249,1907
112,Jun 06$ 2020,93983,2008
113,Jun 07$ 2020,98943,2078
114,Jun 08$ 2020,103671,2146
115,Jun 09$ 2020,108317,2255
116,Jun 10$ 2020,113702,2341
117,Jun 11$ 2020,119536,2446
118,Jun 12$ 2020,125933,2557
119,Jun 13$ 2020,132405,2649
120,Jun 14$ 2020,139230,2733
121,Jun 15$ 2020,144478,2834
122,Jun 16$ 2020,148921,2948
123,Jun 17$ 2020,154760,3090
124,Jun 18$ 2020,160118,3213
125,Jun 19$ 2020,165062,3355
126,Jun 20$ 2020,171666,3514
127,Jun 21$ 2020,176617,3638
128,Jun 22$ 2020,181088,3731
129,Jun 23$ 2020,185034,3840
130,Jun 24$ 2020,188926,3902
131,Jun 25$ 2020,192970,4056
132,Jun 26$ 2020,195745,4117
133,Jun 27$ 2020,198883,4193
134,Jun 28$ 2020,202955,4279
135,Jun 29$ 2020,206512,4330
136,Jun 30$ 2020,209337,4473
137,Jul 01$ 2020,213470,4568
138,Jul 02$ 2020,217809,4649
139,Jul 03$ 2020,221896,4730
140,Jul 04$ 2020,225283,4801
141,Jul 05$ 2020,228474,4898
142,Jul 06$ 2020,231818,4950
143,Jul 07$ 2020,234509,5030
144,Jul 08$ 2020,237489,5116
145,Jul 09$ 2020,240848,5179
146,Jul 10$ 2020,243599,5257
147,Jul 11$ 2020,246351,5325
148,Jul 12$ 2020,248872,5402
149,Jul 13$ 2020,251625,5474
150,Jul 14$ 2020,253604,5530
151,Jul 15$ 2020,255769,5599
152,Jul 16$ 2020,257914,5641
153,Jul 17$ 2020,259999,5692
154,Jul 18$ 2020,261916,5741
155,Jul 19$ 2020,263496,5789
156,Jul 20$ 2020,265083,5821
157,Jul 21$ 2020,266096,5863
158,Jul 22$ 2020,267428,5903
159,Jul 23$ 2020,269191,5936
160,Jul 24$ 2020,270400,5992
161,Jul 25$ 2020,271887,6017
162,Jul 26$ 2020,273113,6053
163,Jul 27$ 2020,274289,6074
164,Jul 28$ 2020,275225,6098
165,Jul 29$ 2020,276288,6126
166,Jul 30$ 2020,277402,6159
167,Jul 31$ 2020,278305,6187
168,Aug 01$ 2020,279146,6207
169,Aug 02$ 2020,279698,6213
170,Aug 03$ 2020,280029,6221
171,Aug 04$ 2020,280461,6237
172,Aug 05$ 2020,281136,6253
173,Aug 06$ 2020,281863,6275
174,Aug 07$ 2020,282645,6293
175,Aug 08$ 2020,283487,6310
176,Aug 09$ 2020,284121,6325
177,Aug 10$ 2020,284660,6341
178,Aug 11$ 2020,285191,6357
179,Aug 12$ 2020,285921,6375
180,Aug 13$ 2020,286674,6385
181,Aug 14$ 2020,287300,6400
182,Aug 15$ 2020,288047,6409
183,Aug 16$ 2020,288717,6415
184,Aug 17$ 2020,289215,6422
185,Aug 18$ 2020,289832,6438
186,Aug 19$ 2020,290445,6449
187,Aug 20$ 2020,290958,6457
188,Aug 21$ 2020,291588,6467
189,Aug 22$ 2020,292174,6479
190,Aug 23$ 2020,292765,6483
191,Aug 24$ 2020,293261,6492
192,Aug 25$ 2020,293711,6503
193,Aug 26$ 2020,294193,6515
194,Aug 27$ 2020,294638,6522
195,Aug 28$ 2020,295053,6531
196,Aug 29$ 2020,295372,6532
197,Aug 30$ 2020,295636,6536
198,Aug 31$ 2020,295849,6542
199,Sep 01$ 2020,296149,6546
200,Sep 02$ 2020,296590,6567
201,Sep 03$ 2020,297014,6577
202,Sep 04$ 2020,297512,6584
203,Sep 05$ 2020,298025,6589
204,Sep 06$ 2020,298509,6591
205,Sep 07$ 2020,298903,6594
206,Sep 08$ 2020,299233,6599
207,Sep 09$ 2020,299659,6608
208,Sep 10$ 2020,299855,6614
209,Sep 11$ 2020,300371,6619
210,Sep 12$ 2020,300955,6622
211,Sep 13$ 2020,301481,6628
212,Sep 14$ 2020,302020,6632
213,Sep 15$ 2020,302424,6638
214,Sep 16$ 2020,303089,6642
215,Sep 17$ 2020,303634,6648
216,Sep 18$ 2020,304386,6657
217,Sep 19$ 2020,305031,6664
218,Sep 20$ 2020,305671,6665
219,Sep 21$ 2020,306304,6669
220,Sep 22$ 2020,306886,6673
221,Sep 23$ 2020,307418,6681
222,Sep 24$ 2020,308217,6686
223,Sep 25$ 2020,309015,6693
224,Sep 26$ 2020,309581,6700
225,Sep 27$ 2020,310275,6706
226,Sep 28$ 2020,310841,6715
227,Sep 29$ 2020,311516,6723
228,Sep 30$ 2020,312263,6728
229,Oct 01$ 2020,312806,6733
230,Oct 02$ 2020,313431,6749
231,Oct 03$ 2020,313984,6757
232,Oct 04$ 2020,314616,6763
233,Oct 05$ 2020,315260,6767
234,Oct 06$ 2020,315727,6773
235,Oct 07$ 2020,316351,6785
236,Oct 08$ 2020,316934,6794
237,Oct 09$ 2020,317595,6802
238,Oct 10$ 2020,318266,6808
239,Oct 11$ 2020,318932,6820
240,Oct 12$ 2020,319317,6830
241,Oct 13$ 2020,319848,6838
242,Oct 14$ 2020,320463,6852
243,Oct 15$ 2020,321218,6866
244,Oct 16$ 2020,321877,6873
245,Oct 17$ 2020,322452,6891
246,Oct 18$ 2020,323019,6908
247,Oct 19$ 2020,323459,6913
248,Oct 20$ 2020,324077,6928
249,Oct 21$ 2020,324744,6948
250,Oct 22$ 2020,325480,6958
251,Oct 23$ 2020,326216,6972
252,Oct 24$ 2020,327063,6984
253,Oct 25$ 2020,327895,6993
254,Oct 26$ 2020,328602,6996
255,Oct 27$ 2020,329375,7002
256,Oct 28$ 2020,330200,7017
257,Oct 29$ 2020,331108,7034
258,Oct 30$ 2020,332186,7055
259,Oct 31$ 2020,332993,7066
260,Nov 01$ 2020,333970,7084
261,Nov 02$ 2020,335093,7096
262,Nov 03$ 2020,336260,7111
263,Nov 04$ 2020,337573,7130
264,Nov 05$ 2020,338875,7157
265,Nov 06$ 2020,340251,7188
266,Nov 07$ 2020,341753,7209
267,Nov 08$ 2020,343189,7235
268,Nov 09$ 2020,344839,7244
269,Nov 10$ 2020,346476,7268
270,Nov 11$ 2020,348184,7290
271,Nov 12$ 2020,349992,7325
272,Nov 13$ 2020,352296,7364
273,Nov 14$ 2020,354461,7382
274,Nov 15$ 2020,356904,7415
275,Nov 16$ 2020,359032,7435
276,Nov 17$ 2020,361082,7469
277,Nov 18$ 2020,363380,7507
278,Nov 19$ 2020,365927,7525
279,Nov 20$ 2020,368665,7561
280,Nov 21$ 2020,371508,7603
281,Nov 22$ 2020,374173,7662
282,Nov 23$ 2020,376929,7696
283,Nov 24$ 2020,379883,7744
284,Nov 25$ 2020,382892,7803
285,Nov 26$ 2020,386198,7843
286,Nov 27$ 2020,389311,7897
287,Nov 28$ 2020,392356,7942
288,Nov 29$ 2020,395185,7985
289,Nov 30$ 2020,398024,8025
290,Dec 01$ 2020,400482,8091
291,Dec 02$ 2020,403311,8166
292,Dec 03$ 2020,406810,8205
293,Dec 04$ 2020,410072,8260
294,Dec 05$ 2020,413191,8303
295,Dec 06$ 2020,416499,8361
296,Dec 07$ 2020,420294,8398
297,Dec 08$ 2020,423179,8487
298,Dec 09$ 2020,426142,8547
299,Dec 10$ 2020,429280,8603
300,Dec 11$ 2020,432327,8653
301,Dec 12$ 2020,435056,8724
302,Dec 13$ 2020,438425,8796
303,Dec 14$ 2020,440787,8832
304,Dec 15$ 2020,443246,8905
305,Dec 16$ 2020,445977,9010
306,Dec 17$ 2020,448522,9080
307,Dec 18$ 2020,451494,9164
308,Dec 19$ 2020,454673,9250
309,Dec 20$ 2020,457176,9330
310,Dec 21$ 2020,458968,9392
311,Dec 22$ 2020,460672,9474
312,Dec 23$ 2020,462814,9557
313,Dec 24$ 2020,465070,9668
314,Dec 25$ 2020,467222,9753
315,Dec 26$ 2020,469482,9816
316,Dec 27$ 2020,471335,9874
317,Dec 28$ 2020,473309,9929
318,Dec 29$ 2020,475085,9992
