,Date,Total Cases,Total Deaths
0,Feb 15$ 2020,0,0
1,Feb 16$ 2020,0,0
2,Feb 17$ 2020,0,0
3,Feb 18$ 2020,0,0
4,Feb 19$ 2020,0,0
5,Feb 20$ 2020,0,0
6,Feb 21$ 2020,0,0
7,Feb 22$ 2020,0,0
8,Feb 23$ 2020,0,0
9,Feb 24$ 2020,0,0
10,Feb 25$ 2020,0,0
11,Feb 26$ 2020,0,0
12,Feb 27$ 2020,0,0
13,Feb 28$ 2020,0,0
14,Feb 29$ 2020,0,0
15,Mar 01$ 2020,0,0
16,Mar 02$ 2020,0,0
17,Mar 03$ 2020,0,0
18,Mar 04$ 2020,0,0
19,Mar 05$ 2020,0,0
20,Mar 06$ 2020,0,0
21,Mar 07$ 2020,1,0
22,Mar 08$ 2020,1,0
23,Mar 09$ 2020,1,0
24,Mar 10$ 2020,2,0
25,Mar 11$ 2020,5,0
26,Mar 12$ 2020,6,0
27,Mar 13$ 2020,6,0
28,Mar 14$ 2020,7,0
29,Mar 15$ 2020,8,0
30,Mar 16$ 2020,8,0
31,Mar 17$ 2020,9,0
32,Mar 18$ 2020,11,0
33,Mar 19$ 2020,13,0
34,Mar 20$ 2020,18,0
35,Mar 21$ 2020,22,1
36,Mar 22$ 2020,22,1
37,Mar 23$ 2020,22,1
38,Mar 24$ 2020,27,2
39,Mar 25$ 2020,37,3
40,Mar 26$ 2020,41,3
41,Mar 27$ 2020,52,3
42,Mar 28$ 2020,56,3
43,Mar 29$ 2020,59,3
44,Mar 30$ 2020,64,3
45,Mar 31$ 2020,65,3
46,Apr 01$ 2020,69,3
47,Apr 02$ 2020,77,3
48,Apr 03$ 2020,92,3
49,Apr 04$ 2020,96,3
50,Apr 05$ 2020,104,3
51,Apr 06$ 2020,113,5
52,Apr 07$ 2020,115,5
53,Apr 08$ 2020,119,5
54,Apr 09$ 2020,124,5
55,Apr 10$ 2020,129,6
56,Apr 11$ 2020,133,6
57,Apr 12$ 2020,134,6
58,Apr 13$ 2020,147,6
59,Apr 14$ 2020,159,7
60,Apr 15$ 2020,161,8
61,Apr 16$ 2020,174,8
62,Apr 17$ 2020,199,8
63,Apr 18$ 2020,202,8
64,Apr 19$ 2020,206,8
65,Apr 20$ 2020,208,8
66,Apr 21$ 2020,208,8
67,Apr 22$ 2020,213,9
68,Apr 23$ 2020,213,9
69,Apr 24$ 2020,220,9
70,Apr 25$ 2020,223,9
71,Apr 26$ 2020,228,9
72,Apr 27$ 2020,228,9
73,Apr 28$ 2020,230,9
74,Apr 29$ 2020,239,9
75,Apr 30$ 2020,249,9
76,May 01$ 2020,266,10
77,May 02$ 2020,333,10
78,May 03$ 2020,370,10
79,May 04$ 2020,396,10
80,May 05$ 2020,431,10
81,May 06$ 2020,440,10
82,May 07$ 2020,462,10
83,May 08$ 2020,563,10
84,May 09$ 2020,689,10
85,May 10$ 2020,713,10
86,May 11$ 2020,724,10
87,May 12$ 2020,737,10
88,May 13$ 2020,740,11
89,May 14$ 2020,754,11
90,May 15$ 2020,759,11
91,May 16$ 2020,778,11
92,May 17$ 2020,786,11
93,May 18$ 2020,788,11
94,May 19$ 2020,829,11
95,May 20$ 2020,833,11
96,May 21$ 2020,836,11
97,May 22$ 2020,838,11
98,May 23$ 2020,850,11
99,May 24$ 2020,862,11
100,May 25$ 2020,865,11
101,May 26$ 2020,877,11
102,May 27$ 2020,884,11
103,May 28$ 2020,900,11
104,May 29$ 2020,917,11
105,May 30$ 2020,964,11
106,May 31$ 2020,986,11
107,Jun 01$ 2020,995,11
108,Jun 02$ 2020,1013,11
109,Jun 03$ 2020,1070,11
110,Jun 04$ 2020,1086,11
111,Jun 05$ 2020,1087,11
112,Jun 06$ 2020,1090,11
113,Jun 07$ 2020,1135,11
114,Jun 08$ 2020,1145,11
115,Jun 09$ 2020,1187,11
116,Jun 10$ 2020,1202,11
117,Jun 11$ 2020,1230,11
118,Jun 12$ 2020,1254,11
119,Jun 13$ 2020,1261,11
120,Jun 14$ 2020,1289,11
121,Jun 15$ 2020,1296,12
122,Jun 16$ 2020,1303,12
123,Jun 17$ 2020,1308,13
124,Jun 18$ 2020,1330,13
125,Jun 19$ 2020,1336,13
126,Jun 20$ 2020,1362,13
127,Jun 21$ 2020,1379,13
128,Jun 22$ 2020,1392,13
129,Jun 23$ 2020,1422,13
130,Jun 24$ 2020,1528,13
131,Jun 25$ 2020,1569,13
132,Jun 26$ 2020,1711,13
133,Jun 27$ 2020,1942,15
134,Jun 28$ 2020,2127,15
135,Jun 29$ 2020,2191,16
136,Jun 30$ 2020,2221,17
137,Jul 01$ 2020,2260,19
138,Jul 02$ 2020,2303,19
139,Jul 03$ 2020,2349,19
140,Jul 04$ 2020,2385,20
141,Jul 05$ 2020,2427,20
142,Jul 06$ 2020,2456,20
143,Jul 07$ 2020,2502,20
144,Jul 08$ 2020,2554,20
145,Jul 09$ 2020,2638,20
146,Jul 10$ 2020,2736,20
147,Jul 11$ 2020,2820,21
148,Jul 12$ 2020,2948,22
149,Jul 13$ 2020,2980,25
150,Jul 14$ 2020,3074,25
151,Jul 15$ 2020,3198,25
152,Jul 16$ 2020,3342,27
153,Jul 17$ 2020,3457,28
154,Jul 18$ 2020,3629,29
155,Jul 19$ 2020,3721,31
156,Jul 20$ 2020,3748,33
157,Jul 21$ 2020,3817,35
158,Jul 22$ 2020,4000,36
159,Jul 23$ 2020,4113,36
160,Jul 24$ 2020,4224,38
161,Jul 25$ 2020,4328,40
162,Jul 26$ 2020,4444,41
163,Jul 27$ 2020,4548,43
164,Jul 28$ 2020,4674,45
165,Jul 29$ 2020,4866,46
166,Jul 30$ 2020,5207,47
167,Jul 31$ 2020,5338,49
168,Aug 01$ 2020,5485,52
169,Aug 02$ 2020,5644,52
170,Aug 03$ 2020,5724,55
171,Aug 04$ 2020,5852,59
172,Aug 05$ 2020,6060,61
173,Aug 06$ 2020,6375,66
174,Aug 07$ 2020,6508,69
175,Aug 08$ 2020,6705,72
176,Aug 09$ 2020,6907,75
177,Aug 10$ 2020,7234,82
178,Aug 11$ 2020,7519,86
179,Aug 12$ 2020,8018,93
180,Aug 13$ 2020,8389,97
181,Aug 14$ 2020,9022,108
182,Aug 15$ 2020,9381,127
183,Aug 16$ 2020,9791,138
184,Aug 17$ 2020,10135,145
185,Aug 18$ 2020,10606,161
186,Aug 19$ 2020,11133,165
187,Aug 20$ 2020,11817,170
188,Aug 21$ 2020,12536,182
189,Aug 22$ 2020,12974,192
190,Aug 23$ 2020,13233,205
191,Aug 24$ 2020,13602,219
192,Aug 25$ 2020,14228,231
193,Aug 26$ 2020,14872,247
194,Aug 27$ 2020,15290,265
195,Aug 28$ 2020,15873,280
196,Aug 29$ 2020,16474,294
197,Aug 30$ 2020,17105,308
198,Aug 31$ 2020,17662,326
199,Sep 01$ 2020,18338,348
200,Sep 02$ 2020,19138,358
201,Sep 03$ 2020,19959,373
202,Sep 04$ 2020,20654,398
203,Sep 05$ 2020,21871,412
204,Sep 06$ 2020,22486,435
205,Sep 07$ 2020,23353,449
206,Sep 08$ 2020,24214,463
207,Sep 09$ 2020,25026,474
208,Sep 10$ 2020,25631,485
209,Sep 11$ 2020,26512,496
210,Sep 12$ 2020,27324,514
211,Sep 13$ 2020,27817,525
212,Sep 14$ 2020,28487,539
213,Sep 15$ 2020,29298,552
214,Sep 16$ 2020,30419,566
215,Sep 17$ 2020,31113,584
216,Sep 18$ 2020,32127,611
217,Sep 19$ 2020,33015,636
218,Sep 20$ 2020,33520,659
219,Sep 21$ 2020,34260,676
220,Sep 22$ 2020,34828,705
221,Sep 23$ 2020,35571,727
222,Sep 24$ 2020,36404,743
223,Sep 25$ 2020,37226,761
224,Sep 26$ 2020,37922,782
225,Sep 27$ 2020,38684,803
226,Sep 28$ 2020,39432,818
227,Sep 29$ 2020,40101,841
228,Sep 30$ 2020,40758,857
229,Oct 01$ 2020,41799,869
230,Oct 02$ 2020,42684,890
231,Oct 03$ 2020,43452,913
232,Oct 04$ 2020,44182,929
233,Oct 05$ 2020,44715,947
234,Oct 06$ 2020,45647,966
235,Oct 07$ 2020,46435,989
236,Oct 08$ 2020,47316,1012
237,Oct 09$ 2020,48275,1045
238,Oct 10$ 2020,48978,1065
239,Oct 11$ 2020,49675,1077
240,Oct 12$ 2020,50344,1096
241,Oct 13$ 2020,51197,1108
242,Oct 14$ 2020,51845,1131
243,Oct 15$ 2020,52596,1150
244,Oct 16$ 2020,53482,1165
245,Oct 17$ 2020,54015,1179
246,Oct 18$ 2020,54724,1188
247,Oct 19$ 2020,55452,1207
248,Oct 20$ 2020,56073,1231
249,Oct 21$ 2020,56819,1250
250,Oct 22$ 2020,57526,1267
251,Oct 23$ 2020,58259,1278
252,Oct 24$ 2020,59043,1293
253,Oct 25$ 2020,59594,1309
254,Oct 26$ 2020,60109,1333
255,Oct 27$ 2020,60557,1347
256,Oct 28$ 2020,61290,1359
257,Oct 29$ 2020,62050,1373
258,Oct 30$ 2020,62596,1387
259,Oct 31$ 2020,63185,1404
260,Nov 01$ 2020,63731,1418
261,Nov 02$ 2020,64156,1429
262,Nov 03$ 2020,64628,1441
263,Nov 04$ 2020,65258,1454
264,Nov 05$ 2020,65778,1462
265,Nov 06$ 2020,66481,1472
266,Nov 07$ 2020,66941,1479
267,Nov 08$ 2020,67589,1490
268,Nov 09$ 2020,67948,1502
269,Nov 10$ 2020,68497,1516
270,Nov 11$ 2020,69106,1532
271,Nov 12$ 2020,69653,1543
272,Nov 13$ 2020,70392,1556
273,Nov 14$ 2020,71065,1569
274,Nov 15$ 2020,71574,1587
275,Nov 16$ 2020,72099,1602
276,Nov 17$ 2020,72857,1613
277,Nov 18$ 2020,73639,1624
278,Nov 19$ 2020,74495,1636
279,Nov 20$ 2020,75058,1647
280,Nov 21$ 2020,75857,1652
281,Nov 22$ 2020,76476,1657
282,Nov 23$ 2020,77072,1665
283,Nov 24$ 2020,77891,1677
284,Nov 25$ 2020,78878,1691
285,Nov 26$ 2020,79517,1704
286,Nov 27$ 2020,80436,1720
287,Nov 28$ 2020,81131,1731
288,Nov 29$ 2020,81906,1743
289,Nov 30$ 2020,82424,1756
290,Dec 01$ 2020,83479,1771
291,Dec 02$ 2020,84482,1783
292,Dec 03$ 2020,85477,1796
293,Dec 04$ 2020,86499,1813
294,Dec 05$ 2020,87213,1833
295,Dec 06$ 2020,87920,1853
296,Dec 07$ 2020,88723,1872
297,Dec 08$ 2020,89421,1887
298,Dec 09$ 2020,90146,1901
299,Dec 10$ 2020,90958,1914
300,Dec 11$ 2020,92113,1927
301,Dec 12$ 2020,92913,1937
302,Dec 13$ 2020,93582,1953
303,Dec 14$ 2020,94223,1971
304,Dec 15$ 2020,95353,1991
305,Dec 16$ 2020,96209,2014
306,Dec 17$ 2020,97028,2032
307,Dec 18$ 2020,98296,2050
308,Dec 19$ 2020,99157,2072
309,Dec 20$ 2020,99789,2088
310,Dec 21$ 2020,100612,2103
311,Dec 22$ 2020,101544,2120
312,Dec 23$ 2020,102371,2138
313,Dec 24$ 2020,103329,2154
314,Dec 25$ 2020,103888,2154
315,Dec 26$ 2020,104162,2174
316,Dec 27$ 2020,104422,2188
317,Dec 28$ 2020,105374,2202
318,Dec 29$ 2020,106136,2220
319,Dec 30$ 2020,106958,2242
320,Dec 31$ 2020,107932,2262
321,Jan 01$ 2021,108349,2262
322,Jan 02$ 2021,108718,2279
323,Jan 03$ 2021,109073,2292
324,Jan 04$ 2021,109837,2305
325,Jan 05$ 2021,110796,2321
326,Jan 06$ 2021,111694,2337
327,Jan 07$ 2021,112856,2352
328,Jan 08$ 2021,113994,2372
329,Jan 09$ 2021,115026,2387
