,Date,Total Cases,Total Deaths
0,Feb 15$ 2020,3,1
1,Feb 16$ 2020,3,1
2,Feb 17$ 2020,3,1
3,Feb 18$ 2020,3,1
4,Feb 19$ 2020,3,1
5,Feb 20$ 2020,3,1
6,Feb 21$ 2020,3,1
7,Feb 22$ 2020,3,1
8,Feb 23$ 2020,3,1
9,Feb 24$ 2020,3,1
10,Feb 25$ 2020,3,1
11,Feb 26$ 2020,3,1
12,Feb 27$ 2020,3,1
13,Feb 28$ 2020,3,1
14,Feb 29$ 2020,3,1
15,Mar 01$ 2020,3,1
16,Mar 02$ 2020,3,1
17,Mar 03$ 2020,3,1
18,Mar 04$ 2020,3,1
19,Mar 05$ 2020,3,1
20,Mar 06$ 2020,5,1
21,Mar 07$ 2020,6,1
22,Mar 08$ 2020,10,1
23,Mar 09$ 2020,24,1
24,Mar 10$ 2020,33,1
25,Mar 11$ 2020,49,2
26,Mar 12$ 2020,52,5
27,Mar 13$ 2020,64,5
28,Mar 14$ 2020,111,8
29,Mar 15$ 2020,140,12
30,Mar 16$ 2020,142,12
31,Mar 17$ 2020,187,14
32,Mar 18$ 2020,202,17
33,Mar 19$ 2020,217,17
34,Mar 20$ 2020,230,18
35,Mar 21$ 2020,307,19
36,Mar 22$ 2020,380,25
37,Mar 23$ 2020,462,33
38,Mar 24$ 2020,552,35
39,Mar 25$ 2020,636,38
40,Mar 26$ 2020,707,45
41,Mar 27$ 2020,803,54
42,Mar 28$ 2020,1075,68
43,Mar 29$ 2020,1418,71
44,Mar 30$ 2020,1546,78
45,Mar 31$ 2020,2084,88
46,Apr 01$ 2020,2311,96
47,Apr 02$ 2020,2633,107
48,Apr 03$ 2020,3018,136
49,Apr 04$ 2020,3094,144
50,Apr 05$ 2020,3246,152
51,Apr 06$ 2020,3660,163
52,Apr 07$ 2020,3764,177
53,Apr 08$ 2020,3870,182
54,Apr 09$ 2020,4076,203
55,Apr 10$ 2020,4195,221
56,Apr 11$ 2020,4428,247
57,Apr 12$ 2020,4648,297
58,Apr 13$ 2020,4932,315
59,Apr 14$ 2020,5223,335
60,Apr 15$ 2020,5453,349
61,Apr 16$ 2020,5660,362
62,Apr 17$ 2020,5878,387
63,Apr 18$ 2020,6087,397
64,Apr 19$ 2020,6259,409
65,Apr 20$ 2020,6459,428
66,Apr 21$ 2020,6599,437
67,Apr 22$ 2020,6710,446
68,Apr 23$ 2020,6981,462
69,Apr 24$ 2020,7192,477
70,Apr 25$ 2020,7294,494
71,Apr 26$ 2020,7579,501
72,Apr 27$ 2020,7777,511
73,Apr 28$ 2020,7958,530
74,Apr 29$ 2020,8212,558
75,Apr 30$ 2020,8488,568
76,May 01$ 2020,8772,579
77,May 02$ 2020,8928,603
78,May 03$ 2020,9223,607
79,May 04$ 2020,9485,623
80,May 05$ 2020,9684,637
81,May 06$ 2020,10004,658
82,May 07$ 2020,10343,685
83,May 08$ 2020,10463,696
84,May 09$ 2020,10610,704
85,May 10$ 2020,10794,719
86,May 11$ 2020,11086,726
87,May 12$ 2020,11350,751
88,May 13$ 2020,11618,772
89,May 14$ 2020,11876,790
90,May 15$ 2020,12091,806
91,May 16$ 2020,12305,817
92,May 17$ 2020,12513,824
93,May 18$ 2020,12718,831
94,May 19$ 2020,12942,837
95,May 20$ 2020,13221,842
96,May 21$ 2020,13434,846
97,May 22$ 2020,13597,857
98,May 23$ 2020,13777,863
99,May 24$ 2020,14035,868
100,May 25$ 2020,14319,873
101,May 26$ 2020,14669,886
102,May 27$ 2020,15049,904
103,May 28$ 2020,15588,921
104,May 29$ 2020,16634,942
105,May 30$ 2020,17224,950
106,May 31$ 2020,18086,957
107,Jun 01$ 2020,18638,960
108,Jun 02$ 2020,18997,966
109,Jun 03$ 2020,19748,974
110,Jun 04$ 2020,20382,984
111,Jun 05$ 2020,20626,987
112,Jun 06$ 2020,21340,994
113,Jun 07$ 2020,21895,1003
114,Jun 08$ 2020,22474,1011
115,Jun 09$ 2020,22992,1017
116,Jun 10$ 2020,23732,1027
117,Jun 11$ 2020,24175,1036
118,Jun 12$ 2020,24787,1052
119,Jun 13$ 2020,25392,1074
120,Jun 14$ 2020,25930,1088
121,Jun 15$ 2020,26420,1098
122,Jun 16$ 2020,26781,1103
123,Jun 17$ 2020,27238,1108
124,Jun 18$ 2020,27799,1116
125,Jun 19$ 2020,28459,1130
126,Jun 20$ 2020,29400,1150
127,Jun 21$ 2020,30052,1169
128,Jun 22$ 2020,30682,1177
129,Jun 23$ 2020,31825,1186
130,Jun 24$ 2020,32295,1204
131,Jun 25$ 2020,33069,1212
132,Jun 26$ 2020,34073,1224
133,Jun 27$ 2020,34803,1236
134,Jun 28$ 2020,35455,1244
135,Jun 29$ 2020,36438,1255
136,Jun 30$ 2020,37514,1266
137,Jul 01$ 2020,38511,1270
138,Jul 02$ 2020,38805,1274
139,Jul 03$ 2020,40336,1280
140,Jul 04$ 2020,41830,1290
141,Jul 05$ 2020,44254,1297
142,Jul 06$ 2020,46333,1303
143,Jul 07$ 2020,47873,1309
144,Jul 08$ 2020,50359,1314
145,Jul 09$ 2020,51754,1314
146,Jul 10$ 2020,52914,1360
147,Jul 11$ 2020,54222,1372
148,Jul 12$ 2020,56259,1534
149,Jul 13$ 2020,56911,1597
150,Jul 14$ 2020,57458,1603
151,Jul 15$ 2020,58768,1614
152,Jul 16$ 2020,61160,1643
153,Jul 17$ 2020,62947,1660
154,Jul 18$ 2020,65215,1773
155,Jul 19$ 2020,67377,1831
156,Jul 20$ 2020,68813,1835
157,Jul 21$ 2020,70675,1837
158,Jul 22$ 2020,72190,1843
159,Jul 23$ 2020,74341,1864
160,Jul 24$ 2020,76444,1879
161,Jul 25$ 2020,78412,1897
162,Jul 26$ 2020,80383,1929
163,Jul 27$ 2020,81995,1943
164,Jul 28$ 2020,83612,1946
165,Jul 29$ 2020,85420,1960
166,Jul 30$ 2020,89291,1983
167,Jul 31$ 2020,93269,2022
168,Aug 01$ 2020,98153,2039
169,Aug 02$ 2020,103104,2059
170,Aug 03$ 2020,106241,2104
171,Aug 04$ 2020,112518,2114
172,Aug 05$ 2020,115899,2122
173,Aug 06$ 2020,119375,2144
174,Aug 07$ 2020,122754,2168
175,Aug 08$ 2020,126885,2209
176,Aug 09$ 2020,129680,2270
177,Aug 10$ 2020,136551,2293
178,Aug 11$ 2020,139305,2311
179,Aug 12$ 2020,143524,2403
180,Aug 13$ 2020,147444,2426
181,Aug 14$ 2020,153567,2441
182,Aug 15$ 2020,157833,2600
183,Aug 16$ 2020,161160,2663
184,Aug 17$ 2020,164377,2681
185,Aug 18$ 2020,169124,2684
186,Aug 19$ 2020,173683,2795
187,Aug 20$ 2020,177579,2881
188,Aug 21$ 2020,182365,2940
189,Aug 22$ 2020,187249,2966
190,Aug 23$ 2020,189566,2997
191,Aug 24$ 2020,194199,3004
192,Aug 25$ 2020,197084,3038
193,Aug 26$ 2020,202332,3137
194,Aug 27$ 2020,205545,3234
195,Aug 28$ 2020,209494,3325
196,Aug 29$ 2020,213112,3418
197,Aug 30$ 2020,217373,3520
198,Aug 31$ 2020,220781,3558
199,Sep 01$ 2020,224222,3596
200,Sep 02$ 2020,226416,3623
201,Sep 03$ 2020,228358,3688
202,Sep 04$ 2020,232041,3737
