,Date,Total Cases,Total Deaths
0,Feb 15$ 2020,2,0
1,Feb 16$ 2020,2,0
2,Feb 17$ 2020,2,0
3,Feb 18$ 2020,2,0
4,Feb 19$ 2020,2,0
5,Feb 20$ 2020,2,0
6,Feb 21$ 2020,2,0
7,Feb 22$ 2020,2,0
8,Feb 23$ 2020,2,0
9,Feb 24$ 2020,2,0
10,Feb 25$ 2020,2,0
11,Feb 26$ 2020,2,0
12,Feb 27$ 2020,2,0
13,Feb 28$ 2020,2,0
14,Feb 29$ 2020,2,0
15,Mar 01$ 2020,2,0
16,Mar 02$ 2020,3,0
17,Mar 03$ 2020,3,0
18,Mar 04$ 2020,3,0
19,Mar 05$ 2020,7,0
20,Mar 06$ 2020,13,0
21,Mar 07$ 2020,14,0
22,Mar 08$ 2020,17,0
23,Mar 09$ 2020,20,0
24,Mar 10$ 2020,20,0
25,Mar 11$ 2020,28,0
26,Mar 12$ 2020,34,0
27,Mar 13$ 2020,45,0
28,Mar 14$ 2020,59,0
29,Mar 15$ 2020,63,0
30,Mar 16$ 2020,93,0
31,Mar 17$ 2020,114,0
32,Mar 18$ 2020,147,0
33,Mar 19$ 2020,199,1
34,Mar 20$ 2020,253,1
35,Mar 21$ 2020,306,1
36,Mar 22$ 2020,367,1
37,Mar 23$ 2020,438,1
38,Mar 24$ 2020,495,1
39,Mar 25$ 2020,658,3
40,Mar 26$ 2020,840,3
41,Mar 27$ 2020,1036,4
42,Mar 28$ 2020,1264,4
43,Mar 29$ 2020,1534,8
44,Mar 30$ 2020,1836,9
45,Mar 31$ 2020,2337,17
46,Apr 01$ 2020,2777,24
47,Apr 02$ 2020,3548,30
48,Apr 03$ 2020,4149,34
49,Apr 04$ 2020,4731,43
50,Apr 05$ 2020,5389,45
51,Apr 06$ 2020,6343,47
52,Apr 07$ 2020,7497,58
53,Apr 08$ 2020,8672,63
54,Apr 09$ 2020,10131,76
55,Apr 10$ 2020,11917,94
56,Apr 11$ 2020,13584,106
57,Apr 12$ 2020,15770,130
58,Apr 13$ 2020,18328,148
59,Apr 14$ 2020,21102,170
60,Apr 15$ 2020,24490,198
61,Apr 16$ 2020,27938,232
62,Apr 17$ 2020,32008,273
63,Apr 18$ 2020,36793,313
64,Apr 19$ 2020,42853,361
65,Apr 20$ 2020,47121,405
66,Apr 21$ 2020,52763,456
67,Apr 22$ 2020,57999,513
68,Apr 23$ 2020,62773,555
69,Apr 24$ 2020,68622,615
70,Apr 25$ 2020,74588,681
71,Apr 26$ 2020,80949,747
72,Apr 27$ 2020,87147,794
73,Apr 28$ 2020,93558,867
74,Apr 29$ 2020,99399,972
75,Apr 30$ 2020,106498,1073
76,May 01$ 2020,114431,1169
77,May 02$ 2020,124054,1222
78,May 03$ 2020,134687,1280
79,May 04$ 2020,145268,1356
80,May 05$ 2020,155370,1451
81,May 06$ 2020,165929,1537
82,May 07$ 2020,177160,1625
83,May 08$ 2020,187859,1723
84,May 09$ 2020,198676,1827
85,May 10$ 2020,209688,1915
86,May 11$ 2020,221344,2009
87,May 12$ 2020,232243,2116
88,May 13$ 2020,242271,2212
89,May 14$ 2020,252245,2305
90,May 15$ 2020,262843,2418
91,May 16$ 2020,272043,2537
92,May 17$ 2020,281752,2631
93,May 18$ 2020,290678,2722
94,May 19$ 2020,299941,2837
95,May 20$ 2020,308705,2972
96,May 21$ 2020,317554,3099
97,May 22$ 2020,326448,3249
98,May 23$ 2020,335882,3388
99,May 24$ 2020,344481,3541
100,May 25$ 2020,353427,3633
101,May 26$ 2020,362342,3807
102,May 27$ 2020,370680,3968
103,May 28$ 2020,379051,4142
104,May 29$ 2020,387623,4374
