,Date,Total Cases,Total Deaths
0,Feb 15$ 2020,28,0
1,Feb 16$ 2020,29,0
2,Feb 17$ 2020,30,0
3,Feb 18$ 2020,31,0
4,Feb 19$ 2020,58,0
5,Feb 20$ 2020,111,1
6,Feb 21$ 2020,209,2
7,Feb 22$ 2020,436,2
8,Feb 23$ 2020,602,6
9,Feb 24$ 2020,833,8
10,Feb 25$ 2020,977,11
11,Feb 26$ 2020,1261,12
12,Feb 27$ 2020,1766,13
13,Feb 28$ 2020,2337,16
14,Feb 29$ 2020,3150,17
15,Mar 01$ 2020,3736,21
16,Mar 02$ 2020,4335,28
17,Mar 03$ 2020,5186,32
18,Mar 04$ 2020,5621,35
19,Mar 05$ 2020,6284,42
20,Mar 06$ 2020,6593,43
21,Mar 07$ 2020,7041,48
22,Mar 08$ 2020,7313,50
23,Mar 09$ 2020,7478,53
24,Mar 10$ 2020,7513,60
25,Mar 11$ 2020,7755,60
26,Mar 12$ 2020,7869,66
27,Mar 13$ 2020,7979,67
28,Mar 14$ 2020,8086,72
29,Mar 15$ 2020,8162,75
30,Mar 16$ 2020,8236,75
31,Mar 17$ 2020,8320,81
32,Mar 18$ 2020,8413,84
33,Mar 19$ 2020,8565,91
34,Mar 20$ 2020,8652,94
35,Mar 21$ 2020,8799,102
36,Mar 22$ 2020,8897,104
37,Mar 23$ 2020,8961,111
38,Mar 24$ 2020,9037,120
39,Mar 25$ 2020,9137,126
40,Mar 26$ 2020,9241,131
41,Mar 27$ 2020,9332,139
42,Mar 28$ 2020,9478,144
43,Mar 29$ 2020,9583,152
44,Mar 30$ 2020,9661,158
45,Mar 31$ 2020,9786,162
46,Apr 01$ 2020,9887,165
47,Apr 02$ 2020,9976,169
48,Apr 03$ 2020,10062,174
49,Apr 04$ 2020,10156,177
50,Apr 05$ 2020,10237,183
51,Apr 06$ 2020,10284,186
52,Apr 07$ 2020,10331,192
53,Apr 08$ 2020,10384,200
54,Apr 09$ 2020,10423,204
55,Apr 10$ 2020,10450,208
56,Apr 11$ 2020,10480,211
57,Apr 12$ 2020,10512,214
58,Apr 13$ 2020,10537,217
59,Apr 14$ 2020,10564,222
60,Apr 15$ 2020,10591,225
61,Apr 16$ 2020,10613,229
62,Apr 17$ 2020,10635,230
63,Apr 18$ 2020,10653,232
64,Apr 19$ 2020,10661,234
65,Apr 20$ 2020,10674,236
66,Apr 21$ 2020,10683,237
67,Apr 22$ 2020,10694,238
68,Apr 23$ 2020,10702,240
69,Apr 24$ 2020,10708,240
70,Apr 25$ 2020,10718,240
71,Apr 26$ 2020,10728,242
72,Apr 27$ 2020,10738,243
73,Apr 28$ 2020,10752,244
74,Apr 29$ 2020,10761,246
75,Apr 30$ 2020,10765,247
76,May 01$ 2020,10774,248
77,May 02$ 2020,10780,250
78,May 03$ 2020,10793,250
79,May 04$ 2020,10801,252
80,May 05$ 2020,10804,254
81,May 06$ 2020,10806,255
