,Date,Total Cases,Total Deaths
0,Feb 15$ 2020,0,0
1,Feb 16$ 2020,0,0
2,Feb 17$ 2020,0,0
3,Feb 18$ 2020,0,0
4,Feb 19$ 2020,0,0
5,Feb 20$ 2020,0,0
6,Feb 21$ 2020,0,0
7,Feb 22$ 2020,0,0
8,Feb 23$ 2020,0,0
9,Feb 24$ 2020,0,0
10,Feb 25$ 2020,0,0
11,Feb 26$ 2020,0,0
12,Feb 27$ 2020,0,0
13,Feb 28$ 2020,0,0
14,Feb 29$ 2020,0,0
15,Mar 01$ 2020,0,0
16,Mar 02$ 2020,0,0
17,Mar 03$ 2020,0,0
18,Mar 04$ 2020,0,0
19,Mar 05$ 2020,1,0
20,Mar 06$ 2020,1,0
21,Mar 07$ 2020,2,0
22,Mar 08$ 2020,3,0
23,Mar 09$ 2020,7,0
24,Mar 10$ 2020,7,0
25,Mar 11$ 2020,13,0
26,Mar 12$ 2020,16,0
27,Mar 13$ 2020,24,0
28,Mar 14$ 2020,38,0
29,Mar 15$ 2020,61,0
30,Mar 16$ 2020,64,0
31,Mar 17$ 2020,85,0
32,Mar 18$ 2020,116,0
33,Mar 19$ 2020,150,0
34,Mar 20$ 2020,202,0
35,Mar 21$ 2020,240,0
36,Mar 22$ 2020,274,0
37,Mar 23$ 2020,402,0
38,Mar 24$ 2020,554,0
39,Mar 25$ 2020,709,0
40,Mar 26$ 2020,927,0
41,Mar 27$ 2020,1170,1
42,Mar 28$ 2020,1187,1
43,Mar 29$ 2020,1280,2
44,Mar 30$ 2020,1326,3
45,Mar 31$ 2020,1353,5
46,Apr 01$ 2020,1380,5
47,Apr 02$ 2020,1462,5
48,Apr 03$ 2020,1505,9
49,Apr 04$ 2020,1585,9
50,Apr 05$ 2020,1655,11
51,Apr 06$ 2020,1686,12
52,Apr 07$ 2020,1749,13
53,Apr 08$ 2020,1845,18
54,Apr 09$ 2020,1934,18
55,Apr 10$ 2020,2003,24
56,Apr 11$ 2020,2028,25
57,Apr 12$ 2020,2173,25
58,Apr 13$ 2020,2272,27
59,Apr 14$ 2020,2415,27
60,Apr 15$ 2020,2506,34
61,Apr 16$ 2020,2605,48
62,Apr 17$ 2020,2783,50
63,Apr 18$ 2020,3034,52
64,Apr 19$ 2020,3158,54
65,Apr 20$ 2020,3300,58
66,Apr 21$ 2020,3465,58
67,Apr 22$ 2020,3635,65
68,Apr 23$ 2020,3953,75
69,Apr 24$ 2020,4220,79
70,Apr 25$ 2020,4361,86
71,Apr 26$ 2020,4546,87
72,Apr 27$ 2020,4793,90
73,Apr 28$ 2020,4996,93
74,Apr 29$ 2020,5350,103
75,Apr 30$ 2020,5647,103
76,May 01$ 2020,5951,116
77,May 02$ 2020,6336,123
78,May 03$ 2020,6783,131
79,May 04$ 2020,7220,138
80,May 05$ 2020,7572,148
81,May 06$ 2020,7808,153
82,May 07$ 2020,8232,161
83,May 08$ 2020,8895,178
84,May 09$ 2020,9420,186
85,May 10$ 2020,10015,194
86,May 11$ 2020,10652,206
87,May 12$ 2020,11350,206
88,May 13$ 2020,12074,219
89,May 14$ 2020,12739,238
90,May 15$ 2020,13524,247
91,May 16$ 2020,14355,261
92,May 17$ 2020,15515,264
93,May 18$ 2020,16433,286
94,May 19$ 2020,17200,313
95,May 20$ 2020,18003,341
96,May 21$ 2020,19137,372
97,May 22$ 2020,20125,401
98,May 23$ 2020,21343,411
99,May 24$ 2020,22583,433
100,May 25$ 2020,23615,486
101,May 26$ 2020,24264,530
102,May 27$ 2020,25937,559
103,May 28$ 2020,27403,585
104,May 29$ 2020,29240,620
105,May 30$ 2020,30967,653
106,May 31$ 2020,32683,694
107,Jun 01$ 2020,34357,716
108,Jun 02$ 2020,35812,767
109,Jun 03$ 2020,37525,805
110,Jun 04$ 2020,40792,862
111,Jun 05$ 2020,43434,923
112,Jun 06$ 2020,45973,968
113,Jun 07$ 2020,48285,1015
114,Jun 08$ 2020,50879,1099
115,Jun 09$ 2020,52991,1183
116,Jun 10$ 2020,55421,1232
117,Jun 11$ 2020,58568,1308
118,Jun 12$ 2020,61927,1379
119,Jun 13$ 2020,65736,1449
120,Jun 14$ 2020,70038,1507
121,Jun 15$ 2020,73533,1597
122,Jun 16$ 2020,76334,1655
123,Jun 17$ 2020,80412,1705
124,Jun 18$ 2020,83890,1769
125,Jun 19$ 2020,87715,1865
126,Jun 20$ 2020,92681,1912
127,Jun 21$ 2020,97302,1966
128,Jun 22$ 2020,101590,2028
129,Jun 23$ 2020,106108,2141
130,Jun 24$ 2020,111796,2246
131,Jun 25$ 2020,118375,2335
132,Jun 26$ 2020,124590,2384
133,Jun 27$ 2020,131800,2459
134,Jun 28$ 2020,138134,2503
135,Jun 29$ 2020,144264,2578
136,Jun 30$ 2020,151209,2709
137,Jul 01$ 2020,159333,2803
138,Jul 02$ 2020,168061,2900
139,Jul 03$ 2020,177124,3010
140,Jul 04$ 2020,187977,3086
141,Jul 05$ 2020,196750,3263
142,Jul 06$ 2020,205721,3376
143,Jul 07$ 2020,215855,3572
144,Jul 08$ 2020,224665,3674
145,Jul 09$ 2020,238339,3795
146,Jul 10$ 2020,250687,3938
147,Jul 11$ 2020,264184,4051
148,Jul 12$ 2020,276242,4161
149,Jul 13$ 2020,287796,4256
150,Jul 14$ 2020,298292,4434
151,Jul 15$ 2020,311049,4543
152,Jul 16$ 2020,324221,4764
153,Jul 17$ 2020,337594,4902
154,Jul 18$ 2020,350879,5049
155,Jul 19$ 2020,364328,5136
156,Jul 20$ 2020,373628,5279
157,Jul 21$ 2020,381798,5478
158,Jul 22$ 2020,394948,6062
159,Jul 23$ 2020,408052,6218
160,Jul 24$ 2020,421996,6473
161,Jul 25$ 2020,434200,6792
162,Jul 26$ 2020,445433,6908
163,Jul 27$ 2020,452529,7212
164,Jul 28$ 2020,459761,7406
165,Jul 29$ 2020,471123,7651
166,Jul 30$ 2020,482169,7973
167,Jul 31$ 2020,493183,8170
168,Aug 01$ 2020,503290,8321
169,Aug 02$ 2020,511485,8539
170,Aug 03$ 2020,516862,8716
171,Aug 04$ 2020,521318,9068
172,Aug 05$ 2020,529877,9491
173,Aug 06$ 2020,538184,9803
174,Aug 07$ 2020,545476,10114
175,Aug 08$ 2020,553188,10421
176,Aug 09$ 2020,559859,10623
177,Aug 10$ 2020,563598,10841
178,Aug 11$ 2020,566109,10974
179,Aug 12$ 2020,568919,11238
180,Aug 13$ 2020,572865,11504
181,Aug 14$ 2020,579140,11796
182,Aug 15$ 2020,583653,11920
183,Aug 16$ 2020,587345,12085
184,Aug 17$ 2020,589886,12231
185,Aug 18$ 2020,592144,12519
186,Aug 19$ 2020,596060,12681
187,Aug 20$ 2020,599940,12880
188,Aug 21$ 2020,603338,13110
189,Aug 22$ 2020,607045,13257
190,Aug 23$ 2020,609773,13331
191,Aug 24$ 2020,611450,13433
192,Aug 25$ 2020,613017,13585
193,Aug 26$ 2020,615701,13783
194,Aug 27$ 2020,618286,13912
195,Aug 28$ 2020,620132,14029
196,Aug 29$ 2020,622551,14272
197,Aug 30$ 2020,625056,14320
198,Aug 31$ 2020,627041,14444
199,Sep 01$ 2020,628259,14560
200,Sep 02$ 2020,630595,14689
201,Sep 03$ 2020,633015,14867
202,Sep 04$ 2020,635078,14984
203,Sep 05$ 2020,636884,15087
204,Sep 06$ 2020,638517,15199
205,Sep 07$ 2020,639362,15316
206,Sep 08$ 2020,640441,15400
207,Sep 09$ 2020,642431,15484
208,Sep 10$ 2020,644438,15583
209,Sep 11$ 2020,646398,15698
210,Sep 12$ 2020,648214,15748
211,Sep 13$ 2020,649793,15768
212,Sep 14$ 2020,650749,15821
213,Sep 15$ 2020,651521,15966
214,Sep 16$ 2020,653444,16031
215,Sep 17$ 2020,655572,16099
216,Sep 18$ 2020,657627,16186
217,Sep 19$ 2020,659656,16271
218,Sep 20$ 2020,661211,16284
219,Sep 21$ 2020,661936,16324
220,Sep 22$ 2020,663282,16453
221,Sep 23$ 2020,665188,16543
222,Sep 24$ 2020,667049,16622
223,Sep 25$ 2020,668529,16652
224,Sep 26$ 2020,669498,16717
225,Sep 27$ 2020,670766,16739
226,Sep 28$ 2020,671669,16931
227,Sep 29$ 2020,672572,17014
228,Sep 30$ 2020,674339,17082
229,Oct 01$ 2020,676084,17217
230,Oct 02$ 2020,677833,17261
231,Oct 03$ 2020,679716,17291
232,Oct 04$ 2020,681289,17330
233,Oct 05$ 2020,682215,17371
234,Oct 06$ 2020,683242,17460
235,Oct 07$ 2020,685155,17608
236,Oct 08$ 2020,686891,17771
237,Oct 09$ 2020,688352,17913
238,Oct 10$ 2020,690896,18042
239,Oct 11$ 2020,692471,18151
240,Oct 12$ 2020,693359,18236
241,Oct 13$ 2020,694537,18405
242,Oct 14$ 2020,696414,18531
243,Oct 15$ 2020,698184,18692
244,Oct 16$ 2020,700203,18754
245,Oct 17$ 2020,702131,18793
246,Oct 18$ 2020,703793,18857
247,Oct 19$ 2020,705254,18878
248,Oct 20$ 2020,706304,19045
249,Oct 21$ 2020,708359,19132
250,Oct 22$ 2020,710515,19236
251,Oct 23$ 2020,712412,19285
252,Oct 24$ 2020,714246,19339
253,Oct 25$ 2020,715868,19364
254,Oct 26$ 2020,716759,19405
255,Oct 27$ 2020,717851,19451
256,Oct 28$ 2020,719714,19510
257,Oct 29$ 2020,721770,19564
258,Oct 30$ 2020,723682,19631
259,Oct 31$ 2020,725452,19678
260,Nov 01$ 2020,726823,19816
261,Nov 02$ 2020,727595,19871
262,Nov 03$ 2020,728836,19947
263,Nov 04$ 2020,730548,19994
264,Nov 05$ 2020,732414,20088
265,Nov 06$ 2020,734175,20162
266,Nov 07$ 2020,735906,20203
267,Nov 08$ 2020,737278,20223
268,Nov 09$ 2020,738525,20260
269,Nov 10$ 2020,740254,20368
270,Nov 11$ 2020,742394,20429
271,Nov 12$ 2020,744732,20495
272,Nov 13$ 2020,746945,20574
273,Nov 14$ 2020,749182,20628
274,Nov 15$ 2020,751024,20664
275,Nov 16$ 2020,752269,20739
276,Nov 17$ 2020,754256,20860
277,Nov 18$ 2020,757144,20987
278,Nov 19$ 2020,759658,21104
279,Nov 20$ 2020,762763,21194
280,Nov 21$ 2020,765409,21282
281,Nov 22$ 2020,767679,21341
282,Nov 23$ 2020,769759,21407
283,Nov 24$ 2020,772252,21524
284,Nov 25$ 2020,775502,21645
285,Nov 26$ 2020,778571,21735
286,Nov 27$ 2020,781941,21826
287,Nov 28$ 2020,785139,21888
288,Nov 29$ 2020,787702,21927
289,Nov 30$ 2020,790004,21987
290,Dec 01$ 2020,792299,22096
291,Dec 02$ 2020,796472,22161
292,Dec 03$ 2020,800872,22255
293,Dec 04$ 2020,805804,22415
294,Dec 05$ 2020,810449,22519
295,Dec 06$ 2020,814565,22658
296,Dec 07$ 2020,817878,22701
297,Dec 08$ 2020,821889,22884
298,Dec 09$ 2020,828598,23026
299,Dec 10$ 2020,836764,23199
300,Dec 11$ 2020,845083,23404
301,Dec 12$ 2020,852965,23558
302,Dec 13$ 2020,860964,23728
303,Dec 14$ 2020,866127,23903
304,Dec 15$ 2020,873679,24113
305,Dec 16$ 2020,883687,24279
306,Dec 17$ 2020,892813,24463
307,Dec 18$ 2020,901538,24737
308,Dec 19$ 2020,912477,24991
309,Dec 20$ 2020,921922,25143
310,Dec 21$ 2020,930711,25359
311,Dec 22$ 2020,940212,25698
312,Dec 23$ 2020,954258,26109
313,Dec 24$ 2020,968563,26435
314,Dec 25$ 2020,983359,26728
315,Dec 26$ 2020,994911,26973
316,Dec 27$ 2020,1004413,27187
317,Dec 28$ 2020,1011871,27523
318,Dec 29$ 2020,1021451,28020
319,Dec 30$ 2020,1039161,28485
