date,YYYYMMDD,EC,FS,GP,KZN,LP,MP,NC,NW,WC,UNKNOWN,total
27-03-2020,20200327,0,0,0,0,0,0,0,0,1,0,1
28-03-2020,20200328,0,0,0,1,0,0,0,0,1,0,2,
30-03-2020,20200330,0,1,0,1,0,0,0,0,1,0,3,
31-03-2020,20200331,0,1,1,2,0,0,0,0,1,0,5,
03-04-2020,20200403,0,1,1,6,0,0,0,0,1,0,9,
05-04-2020,20200405,0,1,1,7,0,0,0,0,2,0,11,
06-04-2020,20200406,0,1,1,7,0,0,0,0,3,0,12,
07-04-2020,20200407,0,1,1,8,0,0,0,0,3,0,13,
08-04-2020,20200408,0,3,3,9,0,0,0,0,3,0,18
09-04-2020,20200409,0,3,3,9,0,0,0,0,3,0,18
10-04-2020,20200410,0,3,3,12,0,0,0,0,6,0,24
11-04-2020,20200411,0,3,3,12,0,0,0,0,7,0,25
12-04-2020,20200412,0,3,3,12,0,0,0,0,7,0,25
13-04-2020,20200413,0,3,4,12,0,0,0,0,8,0,27
14-04-2020,20200414,0,3,4,12,0,0,0,0,8,0,27
15-04-2020,20200415,0,3,5,18,0,0,0,0,8,0,34
16-04-2020,20200416,4,4,6,20,1,0,0,0,13,0,48
17-04-2020,20200417,4,4,6,20,1,0,0,0,15,0,50
18-04-2020,20200418,4,4,6,21,1,0,0,0,16,0,52
19-04-2020,20200419,4,4,6,22,1,0,0,0,17,0,54
20-04-2020,20200420,5,5,7,23,1,0,0,0,17,0,58
21-04-2020,20200421,5,5,7,23,1,0,0,0,17,0,58
22-04-2020,20200422,5,5,7,25,1,0,0,0,22,0,65
23-04-2020,20200423,6,5,8,27,1,0,0,0,28,0,75
24-04-2020,20200424,6,5,8,29,1,0,0,0,30,0,79
25-04-2020,20200425,10,5,8,29,2,0,0,0,32,0,86
26-04-2020,20200426,10,5,8,29,2,0,0,0,33,0,87
27-04-2020,20200427,10,5,8,30,2,0,0,0,35,0,90
28-04-2020,20200428,10,5,8,30,2,0,0,0,38,0,93
29-04-2020,20200429,11,5,11,32,2,0,0,0,42,0,103
30-04-2020,20200430,11,5,11,32,2,0,0,0,42,0,103
01-05-2020,20200501,11,5,11,32,2,0,0,0,55,0,116
02-05-2020,20200502,13,6,12,34,2,0,0,0,56,0,123
03-05-2020,20200503,17,6,14,34,2,0,0,0,58,0,131
04-05-2020,20200504,17,6,14,35,2,0,0,0,64,0,138
05-05-2020,20200505,18,6,15,36,2,0,0,0,71,0,148
06-05-2020,20200506,18,6,15,38,3,0,0,0,73,0,153
07-05-2020,20200507,18,6,15,40,3,0,0,0,79,0,161
08-05-2020,20200508,21,6,18,42,3,0,0,0,88,0,178
09-05-2020,20200509,21,6,19,42,3,0,0,0,95,0,186
10-05-2020,20200510,22,6,22,43,3,0,0,0,98,0,194
