,Date,Total Cases,Total Deaths
0,Feb 15$ 2020,710,0
1,Feb 16$ 2020,736,0
2,Feb 17$ 2020,764,0
3,Feb 18$ 2020,792,0
4,Feb 19$ 2020,810,0
5,Feb 20$ 2020,867,0
6,Feb 21$ 2020,929,0
7,Feb 22$ 2020,989,0
8,Feb 23$ 2020,1064,0
9,Feb 24$ 2020,1172,0
10,Feb 25$ 2020,1301,0
11,Feb 26$ 2020,1448,0
12,Feb 27$ 2020,1628,0
13,Feb 28$ 2020,1945,0
14,Feb 29$ 2020,2183,0
15,Mar 01$ 2020,2859,0
16,Mar 02$ 2020,3644,0
17,Mar 03$ 2020,4420,1
18,Mar 04$ 2020,5354,2
19,Mar 05$ 2020,6610,3
20,Mar 06$ 2020,8197,8
21,Mar 07$ 2020,10011,10
22,Mar 08$ 2020,12154,17
23,Mar 09$ 2020,15482,30
24,Mar 10$ 2020,20050,36
25,Mar 11$ 2020,24670,56
26,Mar 12$ 2020,30471,88
27,Mar 13$ 2020,38098,137
28,Mar 14$ 2020,45374,202
29,Mar 15$ 2020,53120,304
30,Mar 16$ 2020,62370,354
31,Mar 17$ 2020,70987,552
32,Mar 18$ 2020,79736,661
33,Mar 19$ 2020,88180,861
34,Mar 20$ 2020,98581,1133
35,Mar 21$ 2020,105832,1431
36,Mar 22$ 2020,112441,1836
37,Mar 23$ 2020,120519,2395
38,Mar 24$ 2020,127471,3100
39,Mar 25$ 2020,134248,3780
40,Mar 26$ 2020,140451,4524
41,Mar 27$ 2020,146369,5325
42,Mar 28$ 2020,151602,6200
43,Mar 29$ 2020,155746,7051
44,Mar 30$ 2020,160772,7997
45,Mar 31$ 2020,165084,8772
46,Apr 01$ 2020,170437,9729
47,Apr 02$ 2020,174786,10725
48,Apr 03$ 2020,179149,11606
49,Apr 04$ 2020,182733,12382
50,Apr 05$ 2020,185870,13101
51,Apr 06$ 2020,189325,13826
52,Apr 07$ 2020,192444,14556
53,Apr 08$ 2020,195838,15330
54,Apr 09$ 2020,199046,16009
55,Apr 10$ 2020,202146,16666
56,Apr 11$ 2020,204964,17210
57,Apr 12$ 2020,207180,17835
58,Apr 13$ 2020,209326,18402
59,Apr 14$ 2020,211534,18919
60,Apr 15$ 2020,213869,19496
61,Apr 16$ 2020,216111,19826
62,Apr 17$ 2020,217982,20187
63,Apr 18$ 2020,219618,20773
64,Apr 19$ 2020,220740,21198
65,Apr 20$ 2020,222193,21612
66,Apr 21$ 2020,223498,22058
67,Apr 22$ 2020,224947,22509
68,Apr 23$ 2020,226114,22965
69,Apr 24$ 2020,227215,23345
70,Apr 25$ 2020,227966,23737
71,Apr 26$ 2020,228517,24035
72,Apr 27$ 2020,229216,24378
