,Date,Total Cases,Total Deaths
0,Feb 15$ 2020,1,1
1,Feb 16$ 2020,1,1
2,Feb 17$ 2020,1,1
3,Feb 18$ 2020,1,1
4,Feb 19$ 2020,1,1
5,Feb 20$ 2020,1,1
6,Feb 21$ 2020,1,1
7,Feb 22$ 2020,1,1
8,Feb 23$ 2020,1,1
9,Feb 24$ 2020,1,1
10,Feb 25$ 2020,1,1
11,Feb 26$ 2020,2,1
12,Feb 27$ 2020,3,1
13,Feb 28$ 2020,11,1
14,Feb 29$ 2020,14,1
15,Mar 01$ 2020,14,1
16,Mar 02$ 2020,19,1
17,Mar 03$ 2020,32,1
18,Mar 04$ 2020,62,1
19,Mar 05$ 2020,87,1
20,Mar 06$ 2020,146,1
21,Mar 07$ 2020,179,1
22,Mar 08$ 2020,225,1
23,Mar 09$ 2020,326,1
24,Mar 10$ 2020,424,1
25,Mar 11$ 2020,620,2
26,Mar 12$ 2020,771,1
27,Mar 13$ 2020,923,2
28,Mar 14$ 2020,994,3
29,Mar 15$ 2020,1063,5
30,Mar 16$ 2020,1146,7
31,Mar 17$ 2020,1265,8
32,Mar 18$ 2020,1410,14
33,Mar 19$ 2020,1553,21
34,Mar 20$ 2020,1733,30
35,Mar 21$ 2020,1869,38
36,Mar 22$ 2020,1987,49
37,Mar 23$ 2020,2169,60
38,Mar 24$ 2020,2399,81
39,Mar 25$ 2020,2713,103
40,Mar 26$ 2020,2999,134
41,Mar 27$ 2020,3364,166
42,Mar 28$ 2020,3664,201
43,Mar 29$ 2020,3944,239
44,Mar 30$ 2020,4360,284
45,Mar 31$ 2020,4835,332
46,Apr 01$ 2020,5321,385
47,Apr 02$ 2020,5875,455
48,Apr 03$ 2020,6476,535
49,Apr 04$ 2020,6833,605
50,Apr 05$ 2020,7173,690
51,Apr 06$ 2020,7562,780
52,Apr 07$ 2020,8300,864
53,Apr 08$ 2020,8954,979
54,Apr 09$ 2020,9599,1065
55,Apr 10$ 2020,10053,1155
56,Apr 11$ 2020,10448,1256
57,Apr 12$ 2020,10912,1353
58,Apr 13$ 2020,11349,1438
59,Apr 14$ 2020,11828,1529
60,Apr 15$ 2020,12432,1644
61,Apr 16$ 2020,13055,1755
62,Apr 17$ 2020,13743,1838
63,Apr 18$ 2020,14275,1924
64,Apr 19$ 2020,14663,2012
65,Apr 20$ 2020,15124,2096
66,Apr 21$ 2020,15831,2158
67,Apr 22$ 2020,16553,2235
68,Apr 23$ 2020,17311,2321
69,Apr 24$ 2020,18091,2410
70,Apr 25$ 2020,18564,2483
71,Apr 26$ 2020,18864,2558
72,Apr 27$ 2020,19427,2631
73,Apr 28$ 2020,20169,2713
74,Apr 29$ 2020,20968,2797
75,Apr 30$ 2020,21604,2875
76,May 01$ 2020,22136,2953
77,May 02$ 2020,22435,3026
78,May 03$ 2020,22696,3101
79,May 04$ 2020,23173,3185
80,May 05$ 2020,23830,3257
81,May 06$ 2020,24575,3330
82,May 07$ 2020,25359,3410
83,May 08$ 2020,26060,3470
84,May 09$ 2020,26569,3538
85,May 10$ 2020,26848,3611
86,May 11$ 2020,27303,3676
87,May 12$ 2020,28057,3737
88,May 13$ 2020,28755,3787
89,May 14$ 2020,29412,3833
90,May 15$ 2020,30100,3891
91,May 16$ 2020,30458,3939
92,May 17$ 2020,30717,3991
93,May 18$ 2020,31147,4050
94,May 19$ 2020,31813,4091
95,May 20$ 2020,32621,4143
96,May 21$ 2020,33231,4196
97,May 22$ 2020,33763,4252
98,May 23$ 2020,34166,4307
99,May 24$ 2020,34376,4351
100,May 25$ 2020,34867,4393
101,May 26$ 2020,35613,4421
102,May 27$ 2020,36413,4458
103,May 28$ 2020,37187,4498
104,May 29$ 2020,37960,4538
105,May 30$ 2020,38392,4576
106,May 31$ 2020,38657,4622
107,Jun 01$ 2020,39305,4661
108,Jun 02$ 2020,40205,4697
109,Jun 03$ 2020,41251,4725
110,Jun 04$ 2020,42290,4768
111,Jun 05$ 2020,43436,4805
112,Jun 06$ 2020,44216,4834
113,Jun 07$ 2020,44678,4867
114,Jun 08$ 2020,45355,4905
115,Jun 09$ 2020,46292,4938
116,Jun 10$ 2020,47729,4977
117,Jun 11$ 2020,49022,5012
118,Jun 12$ 2020,50351,5041
119,Jun 13$ 2020,51383,5074
120,Jun 14$ 2020,51801,5101
121,Jun 15$ 2020,52486,5131
122,Jun 16$ 2020,53695,5159
123,Jun 17$ 2020,55152,5191
124,Jun 18$ 2020,56646,5220
125,Jun 19$ 2020,57855,5250
126,Jun 20$ 2020,58553,5279
127,Jun 21$ 2020,58874,5301
128,Jun 22$ 2020,59675,5321
129,Jun 23$ 2020,60984,5346
130,Jun 24$ 2020,62682,5368
131,Jun 25$ 2020,63961,5391
132,Jun 26$ 2020,65165,5402
133,Jun 27$ 2020,65920,5416
134,Jun 28$ 2020,66335,5439
135,Jun 29$ 2020,67062,5455
136,Jun 30$ 2020,67865,5475
137,Jul 01$ 2020,68549,5490
138,Jul 02$ 2020,69236,5505
139,Jul 03$ 2020,69930,5513
140,Jul 04$ 2020,70294,5528
141,Jul 05$ 2020,70609,5537
142,Jul 06$ 2020,70860,5552
143,Jul 07$ 2020,71138,5564
144,Jul 08$ 2020,71671,5574
145,Jul 09$ 2020,72005,5589
146,Jul 10$ 2020,72374,5603
147,Jul 11$ 2020,72682,5613
148,Jul 12$ 2020,72788,5621
149,Jul 13$ 2020,72958,5633
150,Jul 14$ 2020,73270,5641
151,Jul 15$ 2020,73557,5647
152,Jul 16$ 2020,73825,5653
153,Jul 17$ 2020,74109,5660
154,Jul 18$ 2020,74300,5671
155,Jul 19$ 2020,74410,5678
156,Jul 20$ 2020,74541,5684
157,Jul 21$ 2020,74767,5691
158,Jul 22$ 2020,75064,5697
159,Jul 23$ 2020,75284,5702
160,Jul 24$ 2020,75546,5705
161,Jul 25$ 2020,75684,5706
162,Jul 26$ 2020,75726,5708
163,Jul 27$ 2020,75797,5714
164,Jul 28$ 2020,76080,5718
165,Jul 29$ 2020,76381,5719
166,Jul 30$ 2020,76683,5719
167,Jul 31$ 2020,76941,5721
168,Aug 01$ 2020,77244,5723
169,Aug 02$ 2020,77282,5726
170,Aug 03$ 2020,77447,5730
171,Aug 04$ 2020,77780,5732
172,Aug 05$ 2020,78205,5733
173,Aug 06$ 2020,78583,5737
174,Aug 07$ 2020,78963,5739
175,Aug 08$ 2020,79223,5740
176,Aug 09$ 2020,79296,5744
177,Aug 10$ 2020,79492,5746
178,Aug 11$ 2020,79909,5750
179,Aug 12$ 2020,80352,5753
180,Aug 13$ 2020,80715,5758
181,Aug 14$ 2020,81059,5759
182,Aug 15$ 2020,81285,5760
183,Aug 16$ 2020,81348,5760
184,Aug 17$ 2020,81522,5763
185,Aug 18$ 2020,81836,5767
186,Aug 19$ 2020,82187,5768
187,Aug 20$ 2020,82520,5770
188,Aug 21$ 2020,82818,5775
189,Aug 22$ 2020,82978,5776
190,Aug 23$ 2020,83035,5779
191,Aug 24$ 2020,83209,5780
192,Aug 25$ 2020,83431,5781
193,Aug 26$ 2020,83675,5783
194,Aug 27$ 2020,83877,5784
195,Aug 28$ 2020,84056,5785
196,Aug 29$ 2020,84187,5786
197,Aug 30$ 2020,84235,5789
198,Aug 31$ 2020,84397,5791
199,Sep 01$ 2020,84568,5794
200,Sep 02$ 2020,84781,5796
201,Sep 03$ 2020,85067,5798
202,Sep 04$ 2020,85329,5798
203,Sep 05$ 2020,85500,5798
204,Sep 06$ 2020,85567,5801
205,Sep 07$ 2020,85752,5802
206,Sep 08$ 2020,85988,5803
207,Sep 09$ 2020,86302,5805
208,Sep 10$ 2020,86556,5807
209,Sep 11$ 2020,86847,5811
210,Sep 12$ 2020,87053,5812
211,Sep 13$ 2020,87159,5814
212,Sep 14$ 2020,87379,5816
213,Sep 15$ 2020,87671,5817
214,Sep 16$ 2020,88001,5819
215,Sep 17$ 2020,88390,5820
216,Sep 18$ 2020,88827,5821
217,Sep 19$ 2020,89106,5822
218,Sep 20$ 2020,89239,5826
219,Sep 21$ 2020,89505,5828
220,Sep 22$ 2020,89943,5829
221,Sep 23$ 2020,90496,5829
222,Sep 24$ 2020,91036,5830
223,Sep 25$ 2020,91666,5834
224,Sep 26$ 2020,91991,5836
225,Sep 27$ 2020,92158,5837
226,Sep 28$ 2020,92536,5838
227,Sep 29$ 2020,93149,5840
228,Sep 30$ 2020,93838,5844
229,Oct 01$ 2020,94471,5845
230,Oct 02$ 2020,95183,5848
231,Oct 03$ 2020,95644,5851
232,Oct 04$ 2020,95800,5854
233,Oct 05$ 2020,96174,5856
234,Oct 06$ 2020,96960,5860
235,Oct 07$ 2020,97791,5863
236,Oct 08$ 2020,98625,5864
237,Oct 09$ 2020,99408,5869
238,Oct 10$ 2020,99917,5874
239,Oct 11$ 2020,100078,5876
240,Oct 12$ 2020,100715,5879
241,Oct 13$ 2020,101631,5880
242,Oct 14$ 2020,102599,5882
243,Oct 15$ 2020,103501,5885
244,Oct 16$ 2020,104680,5887
245,Oct 17$ 2020,105377,5891
246,Oct 18$ 2020,105698,5892
247,Oct 19$ 2020,106468,5896
248,Oct 20$ 2020,107758,5900
249,Oct 21$ 2020,109329,5903
250,Oct 22$ 2020,110995,5912
251,Oct 23$ 2020,112863,5919
252,Oct 24$ 2020,114340,5927
253,Oct 25$ 2020,114854,5935
254,Oct 26$ 2020,115923,5946
255,Oct 27$ 2020,118337,5955
256,Oct 28$ 2020,121727,5964
257,Oct 29$ 2020,124989,5973
258,Oct 30$ 2020,129045,5982
259,Oct 31$ 2020,132032,5995
260,Nov 01$ 2020,133329,6017
261,Nov 02$ 2020,134898,6037
262,Nov 03$ 2020,138506,6056
263,Nov 04$ 2020,142988,6077
264,Nov 05$ 2020,147732,6099
265,Nov 06$ 2020,152186,6125
266,Nov 07$ 2020,156637,6152
267,Nov 08$ 2020,158734,6174
268,Nov 09$ 2020,162459,6209
269,Nov 10$ 2020,166956,6244
270,Nov 11$ 2020,172665,6271
271,Nov 12$ 2020,178229,6299
272,Nov 13$ 2020,184961,6332
273,Nov 14$ 2020,188472,6370
274,Nov 15$ 2020,190053,6409
275,Nov 16$ 2020,192597,6446
276,Nov 17$ 2020,197055,6490
277,Nov 18$ 2020,202016,6540
278,Nov 19$ 2020,209625,6586
279,Nov 20$ 2020,215084,6631
280,Nov 21$ 2020,219576,6682
281,Nov 22$ 2020,221998,6741
282,Nov 23$ 2020,225874,6796
283,Nov 24$ 2020,231548,6863
284,Nov 25$ 2020,237614,6933
285,Nov 26$ 2020,244517,6993
286,Nov 27$ 2020,250979,7058
287,Nov 28$ 2020,254804,7108
288,Nov 29$ 2020,257557,7158
289,Nov 30$ 2020,261037,7224
290,Dec 01$ 2020,266857,7292
291,Dec 02$ 2020,273404,7363
292,Dec 03$ 2020,280390,7440
293,Dec 04$ 2020,287728,7510
294,Dec 05$ 2020,292592,7553
295,Dec 06$ 2020,294395,7634
296,Dec 07$ 2020,298177,7693
297,Dec 08$ 2020,305623,7747
298,Dec 09$ 2020,314021,7822
299,Dec 10$ 2020,320714,7908
300,Dec 11$ 2020,328431,7996
301,Dec 12$ 2020,334969,8064
302,Dec 13$ 2020,338026,8135
303,Dec 14$ 2020,341560,8229
304,Dec 15$ 2020,348561,8317
305,Dec 16$ 2020,357385,8419
306,Dec 17$ 2020,367025,8536
307,Dec 18$ 2020,374942,8607
308,Dec 19$ 2020,380452,8687
309,Dec 20$ 2020,384204,8780
310,Dec 21$ 2020,389364,8857
311,Dec 22$ 2020,395959,8950
312,Dec 23$ 2020,407335,9037
313,Dec 24$ 2020,412371,9125
314,Dec 25$ 2020,416164,9231
315,Dec 26$ 2020,418130,9325
316,Dec 27$ 2020,421338,9424
317,Dec 28$ 2020,428430,9545
318,Dec 29$ 2020,437302,9618
319,Dec 30$ 2020,447761,9708
320,Dec 31$ 2020,454761,9818
321,Jan 01$ 2021,457379,9905
322,Jan 02$ 2021,459910,10005
323,Jan 03$ 2021,462665,10088
324,Jan 04$ 2021,469649,10174
325,Jan 05$ 2021,477195,10267
326,Jan 06$ 2021,482224,10349
327,Jan 07$ 2021,489375,10452
