,Date,Total Cases,Total Deaths
0,Feb 15$ 2020,0,0
1,Feb 16$ 2020,0,0
2,Feb 17$ 2020,0,0
3,Feb 18$ 2020,0,0
4,Feb 19$ 2020,0,0
5,Feb 20$ 2020,0,0
6,Feb 21$ 2020,0,0
7,Feb 22$ 2020,0,0
8,Feb 23$ 2020,0,0
9,Feb 24$ 2020,0,0
10,Feb 25$ 2020,1,0
11,Feb 26$ 2020,1,0
12,Feb 27$ 2020,8,0
13,Feb 28$ 2020,15,0
14,Feb 29$ 2020,19,0
15,Mar 01$ 2020,24,0
16,Mar 02$ 2020,30,0
17,Mar 03$ 2020,58,0
18,Mar 04$ 2020,93,0
19,Mar 05$ 2020,120,1
20,Mar 06$ 2020,214,1
21,Mar 07$ 2020,268,1
22,Mar 08$ 2020,332,2
23,Mar 09$ 2020,374,2
24,Mar 10$ 2020,497,5
25,Mar 11$ 2020,652,7
26,Mar 12$ 2020,868,10
27,Mar 13$ 2020,1139,11
28,Mar 14$ 2020,1375,14
29,Mar 15$ 2020,2217,22
30,Mar 16$ 2020,2353,33
31,Mar 17$ 2020,2742,40
32,Mar 18$ 2020,3115,49
33,Mar 19$ 2020,4222,60
34,Mar 20$ 2020,5615,81
35,Mar 21$ 2020,6863,101
36,Mar 22$ 2020,7474,116
37,Mar 23$ 2020,8795,146
38,Mar 24$ 2020,9877,165
39,Mar 25$ 2020,10897,199
40,Mar 26$ 2020,11811,242
41,Mar 27$ 2020,12928,278
42,Mar 28$ 2020,14076,328
43,Mar 29$ 2020,14829,375
44,Mar 30$ 2020,15922,430
45,Mar 31$ 2020,16605,488
46,Apr 01$ 2020,17768,547
47,Apr 02$ 2020,18827,607
48,Apr 03$ 2020,19606,664
49,Apr 04$ 2020,20505,726
50,Apr 05$ 2020,21100,776
51,Apr 06$ 2020,21657,831
52,Apr 07$ 2020,22253,889
53,Apr 08$ 2020,23280,952
54,Apr 09$ 2020,24051,996
55,Apr 10$ 2020,24551,1045
56,Apr 11$ 2020,25107,1086
57,Apr 12$ 2020,25415,1143
58,Apr 13$ 2020,25688,1172
59,Apr 14$ 2020,25936,1210
60,Apr 15$ 2020,26336,1256
61,Apr 16$ 2020,26732,1301
62,Apr 17$ 2020,27078,1345
63,Apr 18$ 2020,27404,1380
64,Apr 19$ 2020,27740,1403
65,Apr 20$ 2020,27944,1444
66,Apr 21$ 2020,28063,1485
67,Apr 22$ 2020,28268,1513
68,Apr 23$ 2020,28496,1544
69,Apr 24$ 2020,28677,1573
70,Apr 25$ 2020,28894,1599
71,Apr 26$ 2020,29061,1615
72,Apr 27$ 2020,29164,1635
73,Apr 28$ 2020,29264,1659
74,Apr 29$ 2020,29407,1669
75,Apr 30$ 2020,29586,1687
76,May 01$ 2020,29705,1702
77,May 02$ 2020,29817,1716
78,May 03$ 2020,29905,1724
79,May 04$ 2020,29981,1730
80,May 05$ 2020,30009,1742
81,May 06$ 2020,30060,1748
82,May 07$ 2020,30126,1758
83,May 08$ 2020,30207,1767
84,May 09$ 2020,30251,1777
85,May 10$ 2020,30305,1785
86,May 11$ 2020,30344,1788
87,May 12$ 2020,30380,1790
88,May 13$ 2020,30413,1794
89,May 14$ 2020,30463,1796
90,May 15$ 2020,30514,1802
91,May 16$ 2020,30572,1803
92,May 17$ 2020,30587,1808
93,May 18$ 2020,30597,1813
94,May 19$ 2020,30618,1815
95,May 20$ 2020,30658,1816
96,May 21$ 2020,30694,1820
97,May 22$ 2020,30707,1822
98,May 23$ 2020,30725,1823
99,May 24$ 2020,30736,1824
100,May 25$ 2020,30746,1827
101,May 26$ 2020,30761,1828
102,May 27$ 2020,30776,1830
103,May 28$ 2020,30796,1830
104,May 29$ 2020,30828,1830
105,May 30$ 2020,30845,1831
106,May 31$ 2020,30862,1831
107,Jun 01$ 2020,30871,1831
108,Jun 02$ 2020,30874,1831
109,Jun 03$ 2020,30893,1831
110,Jun 04$ 2020,30913,1831
111,Jun 05$ 2020,30936,1831
112,Jun 06$ 2020,30956,1831
113,Jun 07$ 2020,30965,1832
114,Jun 08$ 2020,30972,1834
115,Jun 09$ 2020,30988,1834
116,Jun 10$ 2020,31011,1835
117,Jun 11$ 2020,31044,1835
118,Jun 12$ 2020,31063,1837
119,Jun 13$ 2020,31094,1837
120,Jun 14$ 2020,31117,1837
121,Jun 15$ 2020,31131,1837
122,Jun 16$ 2020,31154,1838
123,Jun 17$ 2020,31187,1840
124,Jun 18$ 2020,31200,1840
125,Jun 19$ 2020,31235,1840
126,Jun 20$ 2020,31243,1840
127,Jun 21$ 2020,31292,1841
128,Jun 22$ 2020,31310,1843
129,Jun 23$ 2020,31332,1843
130,Jun 24$ 2020,31376,1843
131,Jun 25$ 2020,31428,1843
132,Jun 26$ 2020,31486,1843
133,Jun 27$ 2020,31555,1843
134,Jun 28$ 2020,31617,1843
135,Jun 29$ 2020,31652,1844
136,Jun 30$ 2020,31714,1844
137,Jul 01$ 2020,31851,1844
138,Jul 02$ 2020,31967,1844
139,Jul 03$ 2020,32101,1844
140,Jul 04$ 2020,32198,1844
141,Jul 05$ 2020,32268,1844
142,Jul 06$ 2020,32315,1845
143,Jul 07$ 2020,32369,1845
144,Jul 08$ 2020,32498,1847
145,Jul 09$ 2020,32586,1847
146,Jul 10$ 2020,32690,1847
147,Jul 11$ 2020,32798,1847
148,Jul 12$ 2020,32883,1847
149,Jul 13$ 2020,32946,1847
150,Jul 14$ 2020,33016,1847
151,Jul 15$ 2020,33148,1848
152,Jul 16$ 2020,33290,1849
153,Jul 17$ 2020,33382,1849
154,Jul 18$ 2020,33492,1849
155,Jul 19$ 2020,33591,1849
156,Jul 20$ 2020,33634,1852
157,Jul 21$ 2020,33742,1853
158,Jul 22$ 2020,33883,1853
159,Jul 23$ 2020,34000,1855
160,Jul 24$ 2020,34154,1856
161,Jul 25$ 2020,34302,1856
162,Jul 26$ 2020,34412,1857
163,Jul 27$ 2020,34477,1858
164,Jul 28$ 2020,34609,1858
165,Jul 29$ 2020,34802,1859
166,Jul 30$ 2020,35022,1859
167,Jul 31$ 2020,35232,1861
168,Aug 01$ 2020,35412,1862
169,Aug 02$ 2020,35550,1862
170,Aug 03$ 2020,35616,1862
171,Aug 04$ 2020,35746,1863
172,Aug 05$ 2020,35927,1863
173,Aug 06$ 2020,36108,1865
174,Aug 07$ 2020,36269,1865
175,Aug 08$ 2020,36451,1867
176,Aug 09$ 2020,36603,1867
177,Aug 10$ 2020,36708,1868
178,Aug 11$ 2020,36895,1869
179,Aug 12$ 2020,37169,1869
180,Aug 13$ 2020,37403,1870
181,Aug 14$ 2020,37671,1871
182,Aug 15$ 2020,37924,1873
183,Aug 16$ 2020,38124,1873
184,Aug 17$ 2020,38252,1875
185,Aug 18$ 2020,38449,1875
186,Aug 19$ 2020,38760,1875
187,Aug 20$ 2020,39026,1875
188,Aug 21$ 2020,39332,1876
189,Aug 22$ 2020,39627,1876
190,Aug 23$ 2020,39903,1878
191,Aug 24$ 2020,40060,1879
192,Aug 25$ 2020,40262,1879
193,Aug 26$ 2020,40645,1879
194,Aug 27$ 2020,41006,1881
195,Aug 28$ 2020,41346,1881
196,Aug 29$ 2020,41722,1882
197,Aug 30$ 2020,42014,1883
198,Aug 31$ 2020,42177,1884
199,Sep 01$ 2020,42393,1884
200,Sep 02$ 2020,42763,1887
201,Sep 03$ 2020,43127,1887
202,Sep 04$ 2020,43532,1889
203,Sep 05$ 2020,43957,1890
204,Sep 06$ 2020,44401,1893
205,Sep 07$ 2020,44592,1893
206,Sep 08$ 2020,44837,1895
207,Sep 09$ 2020,45306,1898
208,Sep 10$ 2020,45711,1899
209,Sep 11$ 2020,46239,1902
210,Sep 12$ 2020,46704,1905
211,Sep 13$ 2020,47179,1905
212,Sep 14$ 2020,47436,1907
213,Sep 15$ 2020,47751,1908
214,Sep 16$ 2020,48265,1915
215,Sep 17$ 2020,48795,1920
216,Sep 18$ 2020,49283,1923
217,Sep 19$ 2020,49283,1930
218,Sep 20$ 2020,49283,1930
219,Sep 21$ 2020,50378,1932
220,Sep 22$ 2020,50664,1933
221,Sep 23$ 2020,51101,1936
222,Sep 24$ 2020,51492,1941
223,Sep 25$ 2020,51864,1942
224,Sep 26$ 2020,51864,1942
225,Sep 27$ 2020,51864,1943
226,Sep 28$ 2020,52646,1946
227,Sep 29$ 2020,52871,1948
228,Sep 30$ 2020,53282,1949
229,Oct 01$ 2020,53832,1953
230,Oct 02$ 2020,54384,1955
231,Oct 03$ 2020,54384,1955
232,Oct 04$ 2020,54384,1956
233,Oct 05$ 2020,55932,1957
234,Oct 06$ 2020,56632,1958
235,Oct 07$ 2020,57709,1959
236,Oct 08$ 2020,58881,1963
237,Oct 09$ 2020,60368,1965
238,Oct 10$ 2020,60368,1967
239,Oct 11$ 2020,60368,1970
240,Oct 12$ 2020,64436,1975
241,Oct 13$ 2020,65881,1983
242,Oct 14$ 2020,68704,1989
243,Oct 15$ 2020,71317,1995
244,Oct 16$ 2020,74422,2003
245,Oct 17$ 2020,74422,2011
246,Oct 18$ 2020,74422,2018
247,Oct 19$ 2020,83159,2028
248,Oct 20$ 2020,86167,2041
249,Oct 21$ 2020,91763,2059
250,Oct 22$ 2020,97019,2076
251,Oct 23$ 2020,103653,2094
252,Oct 24$ 2020,103653,2113
253,Oct 25$ 2020,103653,2133
254,Oct 26$ 2020,121093,2147
255,Oct 27$ 2020,127042,2160
256,Oct 28$ 2020,135658,2167
257,Oct 29$ 2020,145044,2200
258,Oct 30$ 2020,154251,2280
259,Oct 31$ 2020,154251,2298
260,Nov 01$ 2020,154251,2326
261,Nov 02$ 2020,176177,2404
262,Nov 03$ 2020,182303,2471
263,Nov 04$ 2020,192376,2555
264,Nov 05$ 2020,202504,2628
265,Nov 06$ 2020,211913,2718
266,Nov 07$ 2020,211913,2758
267,Nov 08$ 2020,211913,2772
268,Nov 09$ 2020,229222,2902
269,Nov 10$ 2020,235202,3013
270,Nov 11$ 2020,243472,3113
271,Nov 12$ 2020,250396,3216
272,Nov 13$ 2020,257135,3319
273,Nov 14$ 2020,257135,3351
274,Nov 15$ 2020,257135,3369
275,Nov 16$ 2020,269974,3536
276,Nov 17$ 2020,274534,3664
277,Nov 18$ 2020,280648,3765
278,Nov 19$ 2020,285655,3879
279,Nov 20$ 2020,290601,3992
280,Nov 21$ 2020,290601,4031
281,Nov 22$ 2020,290601,4056
282,Nov 23$ 2020,300352,4222
283,Nov 24$ 2020,304593,4308
284,Nov 25$ 2020,309469,4393
285,Nov 26$ 2020,313978,4509
286,Nov 27$ 2020,318290,4571
287,Nov 28$ 2020,318290,4621
288,Nov 29$ 2020,318290,4650
289,Nov 30$ 2020,327072,4815
290,Dec 01$ 2020,330874,4940
291,Dec 02$ 2020,335660,5045
292,Dec 03$ 2020,340115,5181
293,Dec 04$ 2020,344497,5293
294,Dec 05$ 2020,344497,5324
295,Dec 06$ 2020,344497,5349
296,Dec 07$ 2020,354306,5495
297,Dec 08$ 2020,358568,5593
298,Dec 09$ 2020,363654,5710
299,Dec 10$ 2020,368695,5824
300,Dec 11$ 2020,373831,5928
301,Dec 12$ 2020,373831,5976
302,Dec 13$ 2020,373831,5985
303,Dec 14$ 2020,384557,6154
304,Dec 15$ 2020,388828,6266
305,Dec 16$ 2020,394453,6379
306,Dec 17$ 2020,399511,6487
307,Dec 18$ 2020,403989,6561
308,Dec 19$ 2020,403989,6602
309,Dec 20$ 2020,403989,6622
310,Dec 21$ 2020,413991,6781
311,Dec 22$ 2020,418266,6924
312,Dec 23$ 2020,423299,7029
313,Dec 24$ 2020,428197,7098
314,Dec 25$ 2020,428197,7159
315,Dec 26$ 2020,428197,7193
