,Date,Total Cases,Total Deaths
0,Feb 15$ 2020,9,0
1,Feb 16$ 2020,9,0
2,Feb 17$ 2020,9,0
3,Feb 18$ 2020,9,0
4,Feb 19$ 2020,9,0
5,Feb 20$ 2020,9,0
6,Feb 21$ 2020,9,0
7,Feb 22$ 2020,9,0
8,Feb 23$ 2020,13,0
9,Feb 24$ 2020,13,0
10,Feb 25$ 2020,13,0
11,Feb 26$ 2020,13,0
12,Feb 27$ 2020,16,0
13,Feb 28$ 2020,20,0
14,Feb 29$ 2020,23,0
15,Mar 01$ 2020,35,0
16,Mar 02$ 2020,38,0
17,Mar 03$ 2020,49,0
18,Mar 04$ 2020,82,0
19,Mar 05$ 2020,108,1
20,Mar 06$ 2020,151,1
21,Mar 07$ 2020,192,2
22,Mar 08$ 2020,254,2
23,Mar 09$ 2020,293,3
24,Mar 10$ 2020,349,7
25,Mar 11$ 2020,419,7
26,Mar 12$ 2020,536,9
27,Mar 13$ 2020,725,10
28,Mar 14$ 2020,1035,28
29,Mar 15$ 2020,1263,42
30,Mar 16$ 2020,1400,64
31,Mar 17$ 2020,1769,79
32,Mar 18$ 2020,2382,112
33,Mar 19$ 2020,2965,154
34,Mar 20$ 2020,3612,186
35,Mar 21$ 2020,4550,240
36,Mar 22$ 2020,5153,264
37,Mar 23$ 2020,6030,331
38,Mar 24$ 2020,7323,474
39,Mar 25$ 2020,8639,652
40,Mar 26$ 2020,10568,878
41,Mar 27$ 2020,13182,1161
42,Mar 28$ 2020,15489,1455
43,Mar 29$ 2020,17693,1669
44,Mar 30$ 2020,20066,2044
45,Mar 31$ 2020,22792,2427
46,Apr 01$ 2020,26709,3089
47,Apr 02$ 2020,30554,3730
48,Apr 03$ 2020,34586,4465
49,Apr 04$ 2020,37970,5226
50,Apr 05$ 2020,43318,5871
51,Apr 06$ 2020,46762,6439
52,Apr 07$ 2020,50055,7478
53,Apr 08$ 2020,55029,8512
54,Apr 09$ 2020,58964,9620
55,Apr 10$ 2020,66824,10771
56,Apr 11$ 2020,71565,11611
57,Apr 12$ 2020,76356,12296
58,Apr 13$ 2020,80289,13041
