,Date,Total Cases,Total Deaths
0,Feb 15$ 2020,15,0
1,Feb 16$ 2020,15,0
2,Feb 17$ 2020,15,0
3,Feb 18$ 2020,15,0
4,Feb 19$ 2020,15,0
5,Feb 20$ 2020,15,0
6,Feb 21$ 2020,35,0
7,Feb 22$ 2020,35,0
8,Feb 23$ 2020,35,0
9,Feb 24$ 2020,53,0
10,Feb 25$ 2020,57,0
11,Feb 26$ 2020,60,0
12,Feb 27$ 2020,60,0
13,Feb 28$ 2020,63,0
14,Feb 29$ 2020,68,1
15,Mar 01$ 2020,75,1
16,Mar 02$ 2020,100,6
17,Mar 03$ 2020,124,9
18,Mar 04$ 2020,158,11
19,Mar 05$ 2020,221,12
20,Mar 06$ 2020,319,15
21,Mar 07$ 2020,435,19
22,Mar 08$ 2020,541,22
23,Mar 09$ 2020,704,26
24,Mar 10$ 2020,994,30
25,Mar 11$ 2020,1301,38
26,Mar 12$ 2020,1691,40
27,Mar 13$ 2020,2290,47
28,Mar 14$ 2020,2943,57
29,Mar 15$ 2020,3830,72
30,Mar 16$ 2020,4945,94
31,Mar 17$ 2020,6931,120
32,Mar 18$ 2020,10123,170
33,Mar 19$ 2020,14971,239
34,Mar 20$ 2020,20998,310
35,Mar 21$ 2020,26129,376
36,Mar 22$ 2020,35778,513
37,Mar 23$ 2020,46749,693
38,Mar 24$ 2020,58442,964
39,Mar 25$ 2020,72149,1272
40,Mar 26$ 2020,90270,1632
41,Mar 27$ 2020,109511,2135
42,Mar 28$ 2020,129019,2787
43,Mar 29$ 2020,149379,3289
44,Mar 30$ 2020,173343,4113
45,Mar 31$ 2020,199353,5215
46,Apr 01$ 2020,227055,6477
47,Apr 02$ 2020,258053,7689
48,Apr 03$ 2020,291504,8980
49,Apr 04$ 2020,326442,10559
50,Apr 05$ 2020,352932,11988
51,Apr 06$ 2020,385722,13514
52,Apr 07$ 2020,420965,15796
53,Apr 08$ 2020,454232,18011
54,Apr 09$ 2020,488567,20167
55,Apr 10$ 2020,523256,22457
56,Apr 11$ 2020,553625,24531
57,Apr 12$ 2020,580162,26294
58,Apr 13$ 2020,608173,28043
59,Apr 14$ 2020,637494,30680
60,Apr 15$ 2020,669407,33381
61,Apr 16$ 2020,700091,35641
62,Apr 17$ 2020,733791,38247
63,Apr 18$ 2020,762827,40175
64,Apr 19$ 2020,788651,41777
65,Apr 20$ 2020,818509,43767
66,Apr 21$ 2020,845516,46518
67,Apr 22$ 2020,877631,48943
68,Apr 23$ 2020,909391,51361
69,Apr 24$ 2020,945771,53361
70,Apr 25$ 2020,980670,55482
71,Apr 26$ 2020,1007132,56662
72,Apr 27$ 2020,1031254,58094
73,Apr 28$ 2020,1057276,60642
74,Apr 29$ 2020,1086529,63112
75,Apr 30$ 2020,1118320,65398
76,May 01$ 2020,1154461,67369
77,May 02$ 2020,1183759,69106
78,May 03$ 2020,1210722,70285
79,May 04$ 2020,1236666,71634
80,May 05$ 2020,1262599,74055
81,May 06$ 2020,1288545,76645
82,May 07$ 2020,1318169,78827
83,May 08$ 2020,1347913,80562
84,May 09$ 2020,1373867,82025
85,May 10$ 2020,1394255,83255
86,May 11$ 2020,1413701,84343
87,May 12$ 2020,1437458,86266
88,May 13$ 2020,1460441,88137
89,May 14$ 2020,1488430,89942
90,May 15$ 2020,1516348,91595
91,May 16$ 2020,1540135,92849
92,May 17$ 2020,1559869,93740
93,May 18$ 2020,1583884,94766
94,May 19$ 2020,1605268,96351
95,May 20$ 2020,1627989,97797
96,May 21$ 2020,1656769,99249
97,May 22$ 2020,1681968,100575
98,May 23$ 2020,1703671,101627
99,May 24$ 2020,1723125,102258
100,May 25$ 2020,1742981,102905
101,May 26$ 2020,1763178,103681
102,May 27$ 2020,1783841,105247
103,May 28$ 2020,1807651,106485
104,May 29$ 2020,1833400,107721
105,May 30$ 2020,1857225,108754
106,May 31$ 2020,1877850,109415
107,Jun 01$ 2020,1897438,110116
108,Jun 02$ 2020,1919935,111269
109,Jun 03$ 2020,1940896,112379
110,Jun 04$ 2020,1963869,113436
111,Jun 05$ 2020,1989739,114428
112,Jun 06$ 2020,2012918,115163
113,Jun 07$ 2020,2032433,115556
114,Jun 08$ 2020,2051699,116138
115,Jun 09$ 2020,2071109,117247
116,Jun 10$ 2020,2092333,118250
117,Jun 11$ 2020,2115952,119170
118,Jun 12$ 2020,2143738,119974
119,Jun 13$ 2020,2169760,120698
120,Jun 14$ 2020,2190528,121039
121,Jun 15$ 2020,2211893,121462
122,Jun 16$ 2020,2238055,122322
123,Jun 17$ 2020,2264447,123151
124,Jun 18$ 2020,2292857,123915
125,Jun 19$ 2020,2327178,124653
126,Jun 20$ 2020,2361322,125245
127,Jun 21$ 2020,2387827,125521
128,Jun 22$ 2020,2420230,125888
129,Jun 23$ 2020,2456969,126769
130,Jun 24$ 2020,2496223,127597
131,Jun 25$ 2020,2537033,128257
132,Jun 26$ 2020,2585407,128922
133,Jun 27$ 2020,2629870,129446
134,Jun 28$ 2020,2671164,129739
135,Jun 29$ 2020,2717539,130097
136,Jun 30$ 2020,2765141,130831
137,Jul 01$ 2020,2818369,131516
138,Jul 02$ 2020,2877027,132198
139,Jul 03$ 2020,2938368,132832
140,Jul 04$ 2020,2989093,133107
141,Jul 05$ 2020,3036467,133378
142,Jul 06$ 2020,3088729,133772
143,Jul 07$ 2020,3145918,134779
144,Jul 08$ 2020,3209499,135694
145,Jul 09$ 2020,3272661,136674
146,Jul 10$ 2020,3346411,137536
147,Jul 11$ 2020,3410443,138291
148,Jul 12$ 2020,3470093,138684
149,Jul 13$ 2020,3537598,139157
150,Jul 14$ 2020,3605250,140123
151,Jul 15$ 2020,3678901,141147
152,Jul 16$ 2020,3753640,142130
153,Jul 17$ 2020,3830503,143103
154,Jul 18$ 2020,3895598,143936
155,Jul 19$ 2020,3961869,144362
156,Jul 20$ 2020,4026027,144899
157,Jul 21$ 2020,4095544,146100
158,Jul 22$ 2020,4168820,147341
159,Jul 23$ 2020,4240466,148537
160,Jul 24$ 2020,4320243,149708
161,Jul 25$ 2020,4390298,150640
162,Jul 26$ 2020,4447857,151106
163,Jul 27$ 2020,4510735,151703
164,Jul 28$ 2020,4577625,153040
165,Jul 29$ 2020,4643977,154510
166,Jul 30$ 2020,4714388,156365
167,Jul 31$ 2020,4788633,157823
168,Aug 01$ 2020,4849018,158864
169,Aug 02$ 2020,4899426,159292
170,Aug 03$ 2020,4949814,159898
171,Aug 04$ 2020,5005242,161316
172,Aug 05$ 2020,5061486,162658
173,Aug 06$ 2020,5121946,163890
174,Aug 07$ 2020,5186422,165220
175,Aug 08$ 2020,5244224,166253
176,Aug 09$ 2020,5293624,166787
177,Aug 10$ 2020,5343997,167341
178,Aug 11$ 2020,5399321,168854
179,Aug 12$ 2020,5455703,170271
180,Aug 13$ 2020,5510600,171585
181,Aug 14$ 2020,5572665,172751
182,Aug 15$ 2020,5626173,173869
183,Aug 16$ 2020,5665275,174398
184,Aug 17$ 2020,5706985,174975
185,Aug 18$ 2020,5751548,176378
186,Aug 19$ 2020,5797308,177671
187,Aug 20$ 2020,5843087,178773
188,Aug 21$ 2020,5894530,179954
189,Aug 22$ 2020,5940173,180938
190,Aug 23$ 2020,5974270,181387
191,Aug 24$ 2020,6015701,181882
192,Aug 25$ 2020,6056512,183178
193,Aug 26$ 2020,6102146,184474
194,Aug 27$ 2020,6148465,185621
195,Aug 28$ 2020,6197850,186733
196,Aug 29$ 2020,6242394,187697
197,Aug 30$ 2020,6278327,188074
198,Aug 31$ 2020,6317362,188592
199,Sep 01$ 2020,6360209,189765
200,Sep 02$ 2020,6401778,190865
201,Sep 03$ 2020,6447668,191984
202,Sep 04$ 2020,6501261,193029
203,Sep 05$ 2020,6544760,193744
204,Sep 06$ 2020,6577847,194181
205,Sep 07$ 2020,6604200,194471
206,Sep 08$ 2020,6633070,194956
207,Sep 09$ 2020,6669112,196171
208,Sep 10$ 2020,6709061,197265
209,Sep 11$ 2020,6756619,198362
210,Sep 12$ 2020,6796598,199076
211,Sep 13$ 2020,6830441,199477
212,Sep 14$ 2020,6869336,199955
213,Sep 15$ 2020,6906552,201156
214,Sep 16$ 2020,6947130,202171
215,Sep 17$ 2020,6994071,203056
216,Sep 18$ 2020,7046113,204015
217,Sep 19$ 2020,7090632,204680
218,Sep 20$ 2020,7124850,204979
219,Sep 21$ 2020,7161895,205358
220,Sep 22$ 2020,7198257,206341
221,Sep 23$ 2020,7240043,207459
222,Sep 24$ 2020,7285916,208387
223,Sep 25$ 2020,7340233,209285
224,Sep 26$ 2020,7384255,210026
225,Sep 27$ 2020,7418429,210304
226,Sep 28$ 2020,7456549,210658
227,Sep 29$ 2020,7501110,211637
228,Sep 30$ 2020,7541996,212597
229,Oct 01$ 2020,7589957,213515
230,Oct 02$ 2020,7642735,214387
231,Oct 03$ 2020,7693701,215151
232,Oct 04$ 2020,7728407,215490
233,Oct 05$ 2020,7770291,215915
234,Oct 06$ 2020,7815123,216728
235,Oct 07$ 2020,7864428,217661
236,Oct 08$ 2020,7921658,218622
237,Oct 09$ 2020,7983547,219537
238,Oct 10$ 2020,8038475,220268
239,Oct 11$ 2020,8081328,220596
240,Oct 12$ 2020,8128279,220931
241,Oct 13$ 2020,8180354,221780
242,Oct 14$ 2020,8239648,222751
243,Oct 15$ 2020,8307167,223629
244,Oct 16$ 2020,8378920,224562
245,Oct 17$ 2020,8438680,225224
246,Oct 18$ 2020,8491006,225707
247,Oct 19$ 2020,8550629,226163
248,Oct 20$ 2020,8613841,227118
249,Oct 21$ 2020,8678745,228329
250,Oct 22$ 2020,8753273,229298
251,Oct 23$ 2020,8836367,230201
252,Oct 24$ 2020,8916891,230987
253,Oct 25$ 2020,8981857,231430
254,Oct 26$ 2020,9052840,231959
255,Oct 27$ 2020,9129601,233016
256,Oct 28$ 2020,9211025,234049
257,Oct 29$ 2020,9303609,235093
258,Oct 30$ 2020,9405154,236087
259,Oct 31$ 2020,9493883,237017
260,Nov 01$ 2020,9571802,237481
261,Nov 02$ 2020,9662378,238073
262,Nov 03$ 2020,9758370,239339
263,Nov 04$ 2020,9866297,240621
264,Nov 05$ 2020,9989143,241850
265,Nov 06$ 2020,10124835,243160
266,Nov 07$ 2020,10252387,244280
267,Nov 08$ 2020,10364372,244896
268,Nov 09$ 2020,10491034,245628
269,Nov 10$ 2020,10638345,247187
270,Nov 11$ 2020,10782737,248731
271,Nov 12$ 2020,10946910,249988
272,Nov 13$ 2020,11135232,251480
273,Nov 14$ 2020,11297538,252812
274,Nov 15$ 2020,11446206,253546
275,Nov 16$ 2020,11610639,254384
276,Nov 17$ 2020,11773908,256120
277,Nov 18$ 2020,11950791,258165
278,Nov 19$ 2020,12144842,260309
279,Nov 20$ 2020,12350194,262381
280,Nov 21$ 2020,12527452,263963
281,Nov 22$ 2020,12680933,264926
282,Nov 23$ 2020,12857507,265989
283,Nov 24$ 2020,13036023,268283
284,Nov 25$ 2020,13220493,270693
285,Nov 26$ 2020,13383140,272203
286,Nov 27$ 2020,13551981,273642
287,Nov 28$ 2020,13698957,274947
288,Nov 29$ 2020,13845089,275839
289,Nov 30$ 2020,14013562,277184
290,Dec 01$ 2020,14198660,279942
291,Dec 02$ 2020,14405402,282899
292,Dec 03$ 2020,14628116,285912
293,Dec 04$ 2020,14867271,288712
294,Dec 05$ 2020,15082294,291075
295,Dec 06$ 2020,15266637,292276
296,Dec 07$ 2020,15469587,293923
297,Dec 08$ 2020,15681313,297006
298,Dec 09$ 2020,15908630,300370
299,Dec 10$ 2020,16137918,303566
300,Dec 11$ 2020,16386010,306699
301,Dec 12$ 2020,16610253,309181
302,Dec 13$ 2020,16805757,310733
303,Dec 14$ 2020,17007680,312512
304,Dec 15$ 2020,17211080,315671
305,Dec 16$ 2020,17462714,319388
306,Dec 17$ 2020,17703001,322948
307,Dec 18$ 2020,17959353,325891
308,Dec 19$ 2020,18158907,328667
309,Dec 20$ 2020,18349704,330287
310,Dec 21$ 2020,18551998,332342
311,Dec 22$ 2020,18752046,335823
312,Dec 23$ 2020,18985665,339321
313,Dec 24$ 2020,19196940,342313
314,Dec 25$ 2020,19351020,343823
315,Dec 26$ 2020,19518373,345351
316,Dec 27$ 2020,19664237,346702
317,Dec 28$ 2020,19852470,348770
318,Dec 29$ 2020,20052652,352587
319,Dec 30$ 2020,20288091,356563
320,Dec 31$ 2020,20531569,360248
321,Jan 01$ 2021,20757543,362552
322,Jan 02$ 2021,20997185,364661
323,Jan 03$ 2021,21198798,366088
324,Jan 04$ 2021,21398304,368091
325,Jan 05$ 2021,21633168,371897
326,Jan 06$ 2021,21898082,376012
327,Jan 07$ 2021,22178867,380172
328,Jan 08$ 2021,22487168,384238
329,Jan 09$ 2021,22745541,387516
330,Jan 10$ 2021,22967217,389399
331,Jan 11$ 2021,23187240,391477
332,Jan 12$ 2021,23417837,395990
333,Jan 13$ 2021,23657150,400087
334,Jan 14$ 2021,23892793,404248
335,Jan 15$ 2021,24142416,408069
336,Jan 16$ 2021,24348993,411607
337,Jan 17$ 2021,24526894,413474
338,Jan 18$ 2021,24677661,414997
339,Jan 19$ 2021,24853647,417842
340,Jan 20$ 2021,25044866,422255
341,Jan 21$ 2021,25240237,426650
342,Jan 22$ 2021,25436502,430586
343,Jan 23$ 2021,25611102,434042
344,Jan 24$ 2021,25754472,435915
345,Jan 25$ 2021,25907190,437849
346,Jan 26$ 2021,26060455,442068
347,Jan 27$ 2021,26221887,446343
348,Jan 28$ 2021,26387941,450306
349,Jan 29$ 2021,26560385,454013
350,Jan 30$ 2021,26706749,456939
351,Jan 31$ 2021,26818352,458861
352,Feb 01$ 2021,26946704,460791
353,Feb 02$ 2021,27062972,464515
354,Feb 03$ 2021,27178094,468557
355,Feb 04$ 2021,27305235,472227
356,Feb 05$ 2021,27439853,475895
357,Feb 06$ 2021,27549039,478694
358,Feb 07$ 2021,27640633,480013
359,Feb 08$ 2021,27735681,481595
360,Feb 09$ 2021,27835287,484858
361,Feb 10$ 2021,27934936,488289
362,Feb 11$ 2021,28044324,491541
363,Feb 12$ 2021,28150307,494587
364,Feb 13$ 2021,28238105,496896
365,Feb 14$ 2021,28304927,498014
366,Feb 15$ 2021,28362165,498953
367,Feb 16$ 2021,28428529,500763
368,Feb 17$ 2021,28502518,503298
369,Feb 18$ 2021,28575048,506054
370,Feb 19$ 2021,28659632,508698
371,Feb 20$ 2021,28731390,510621
372,Feb 21$ 2021,28790369,511860
373,Feb 22$ 2021,28849520,513237
374,Feb 23$ 2021,28923321,515672
375,Feb 24$ 2021,28999123,518197
376,Feb 25$ 2021,29077316,520656
377,Feb 26$ 2021,29158598,522927
378,Feb 27$ 2021,29224181,524481
379,Feb 28$ 2021,29277816,525766
380,Mar 01$ 2021,29332997,527250
381,Mar 02$ 2021,29390540,529341
382,Mar 03$ 2021,29457765,531719
383,Mar 04$ 2021,29526423,533768
384,Mar 05$ 2021,29595663,535604
385,Mar 06$ 2021,29654283,537122
386,Mar 07$ 2021,29696250,537838
