,Date,Total Cases,Total Deaths
0,Feb 15$ 2020,0,0
1,Feb 16$ 2020,0,0
2,Feb 17$ 2020,0,0
3,Feb 18$ 2020,0,0
4,Feb 19$ 2020,0,0
5,Feb 20$ 2020,0,0
6,Feb 21$ 2020,0,0
7,Feb 22$ 2020,0,0
8,Feb 23$ 2020,0,0
9,Feb 24$ 2020,0,0
10,Feb 25$ 2020,0,0
11,Feb 26$ 2020,0,0
12,Feb 27$ 2020,0,0
13,Feb 28$ 2020,0,0
14,Feb 29$ 2020,0,0
15,Mar 01$ 2020,0,0
16,Mar 02$ 2020,0,0
17,Mar 03$ 2020,0,0
18,Mar 04$ 2020,0,0
19,Mar 05$ 2020,0,0
20,Mar 06$ 2020,0,0
21,Mar 07$ 2020,0,0
22,Mar 08$ 2020,0,0
23,Mar 09$ 2020,0,0
24,Mar 10$ 2020,0,0
25,Mar 11$ 2020,0,0
26,Mar 12$ 2020,0,0
27,Mar 13$ 2020,4,0
28,Mar 14$ 2020,6,0
29,Mar 15$ 2020,6,0
30,Mar 16$ 2020,29,0
31,Mar 17$ 2020,50,0
32,Mar 18$ 2020,79,0
33,Mar 19$ 2020,79,0
34,Mar 20$ 2020,110,0
35,Mar 21$ 2020,110,0
36,Mar 22$ 2020,158,0
37,Mar 23$ 2020,162,0
38,Mar 24$ 2020,189,0
39,Mar 25$ 2020,217,0
40,Mar 26$ 2020,238,0
41,Mar 27$ 2020,238,0
42,Mar 28$ 2020,304,1
43,Mar 29$ 2020,304,1
44,Mar 30$ 2020,320,1
45,Mar 31$ 2020,338,1
46,Apr 01$ 2020,350,2
47,Apr 02$ 2020,350,4
48,Apr 03$ 2020,386,4
49,Apr 04$ 2020,400,5
50,Apr 05$ 2020,406,6
51,Apr 06$ 2020,415,6
52,Apr 07$ 2020,424,7
53,Apr 08$ 2020,456,7
54,Apr 09$ 2020,456,7
55,Apr 10$ 2020,473,7
56,Apr 11$ 2020,494,7
57,Apr 12$ 2020,512,7
58,Apr 13$ 2020,483,8
59,Apr 14$ 2020,492,8
60,Apr 15$ 2020,493,9
61,Apr 16$ 2020,502,9
62,Apr 17$ 2020,502,9
63,Apr 18$ 2020,517,9
64,Apr 19$ 2020,517,10
65,Apr 20$ 2020,535,10
66,Apr 21$ 2020,543,12
67,Apr 22$ 2020,549,12
68,Apr 23$ 2020,549,12
69,Apr 24$ 2020,563,12
70,Apr 25$ 2020,563,12
71,Apr 26$ 2020,596,14
72,Apr 27$ 2020,606,15
73,Apr 28$ 2020,620,15
74,Apr 29$ 2020,625,15
75,Apr 30$ 2020,643,17
76,May 01$ 2020,648,17
77,May 02$ 2020,652,17
78,May 03$ 2020,655,17
79,May 04$ 2020,657,17
80,May 05$ 2020,670,17
81,May 06$ 2020,673,17
82,May 07$ 2020,684,17
83,May 08$ 2020,694,18
84,May 09$ 2020,702,18
85,May 10$ 2020,707,19
86,May 11$ 2020,711,19
87,May 12$ 2020,717,19
88,May 13$ 2020,719,19
89,May 14$ 2020,724,19
90,May 15$ 2020,732,19
91,May 16$ 2020,733,19
92,May 17$ 2020,734,20
93,May 18$ 2020,737,20
94,May 19$ 2020,738,20
95,May 20$ 2020,746,20
96,May 21$ 2020,749,20
97,May 22$ 2020,753,20
98,May 23$ 2020,764,22
99,May 24$ 2020,769,22
100,May 25$ 2020,787,22
101,May 26$ 2020,789,22
102,May 27$ 2020,803,22
103,May 28$ 2020,811,22
104,May 29$ 2020,816,22
105,May 30$ 2020,821,22
106,May 31$ 2020,823,22
107,Jun 01$ 2020,825,23
108,Jun 02$ 2020,826,23
109,Jun 03$ 2020,828,23
110,Jun 04$ 2020,832,23
111,Jun 05$ 2020,834,23
112,Jun 06$ 2020,845,23
113,Jun 07$ 2020,845,23
114,Jun 08$ 2020,845,23
115,Jun 09$ 2020,846,23
116,Jun 10$ 2020,847,23
117,Jun 11$ 2020,847,23
118,Jun 12$ 2020,847,23
119,Jun 13$ 2020,847,23
120,Jun 14$ 2020,848,23
121,Jun 15$ 2020,848,23
122,Jun 16$ 2020,849,24
123,Jun 17$ 2020,849,24
124,Jun 18$ 2020,850,24
125,Jun 19$ 2020,853,24
126,Jun 20$ 2020,859,25
127,Jun 21$ 2020,876,25
128,Jun 22$ 2020,882,25
129,Jun 23$ 2020,885,25
130,Jun 24$ 2020,902,26
131,Jun 25$ 2020,907,26
132,Jun 26$ 2020,919,26
133,Jun 27$ 2020,924,26
134,Jun 28$ 2020,929,27
135,Jun 29$ 2020,932,27
136,Jun 30$ 2020,936,27
137,Jul 01$ 2020,943,28
138,Jul 02$ 2020,947,28
139,Jul 03$ 2020,952,28
140,Jul 04$ 2020,955,28
141,Jul 05$ 2020,956,28
142,Jul 06$ 2020,960,29
143,Jul 07$ 2020,965,29
144,Jul 08$ 2020,974,29
145,Jul 09$ 2020,977,29
146,Jul 10$ 2020,985,29
147,Jul 11$ 2020,986,30
148,Jul 12$ 2020,987,31
149,Jul 13$ 2020,989,31
150,Jul 14$ 2020,997,31
151,Jul 15$ 2020,1009,31
152,Jul 16$ 2020,1026,32
153,Jul 17$ 2020,1037,32
154,Jul 18$ 2020,1044,33
155,Jul 19$ 2020,1054,33
156,Jul 20$ 2020,1064,33
157,Jul 21$ 2020,1096,33
158,Jul 22$ 2020,1117,34
159,Jul 23$ 2020,1141,34
160,Jul 24$ 2020,1166,34
161,Jul 25$ 2020,1174,34
162,Jul 26$ 2020,1192,34
163,Jul 27$ 2020,1202,35
164,Jul 28$ 2020,1218,35
165,Jul 29$ 2020,1237,35
166,Jul 30$ 2020,1243,35
167,Jul 31$ 2020,1264,35
168,Aug 01$ 2020,1278,35
169,Aug 02$ 2020,1286,36
170,Aug 03$ 2020,1291,36
171,Aug 04$ 2020,1300,37
172,Aug 05$ 2020,1309,37
173,Aug 06$ 2020,1318,37
174,Aug 07$ 2020,1325,37
175,Aug 08$ 2020,1335,37
176,Aug 09$ 2020,1353,37
177,Aug 10$ 2020,1364,37
178,Aug 11$ 2020,1385,37
179,Aug 12$ 2020,1393,37
180,Aug 13$ 2020,1409,37
181,Aug 14$ 2020,1421,38
182,Aug 15$ 2020,1434,38
183,Aug 16$ 2020,1440,38
184,Aug 17$ 2020,1457,40
185,Aug 18$ 2020,1485,40
186,Aug 19$ 2020,1493,40
187,Aug 20$ 2020,1506,41
188,Aug 21$ 2020,1516,42
189,Aug 22$ 2020,1521,42
190,Aug 23$ 2020,1527,42
191,Aug 24$ 2020,1533,42
192,Aug 25$ 2020,1536,43
193,Aug 26$ 2020,1543,43
194,Aug 27$ 2020,1551,43
195,Aug 28$ 2020,1556,43
196,Aug 29$ 2020,1570,44
197,Aug 30$ 2020,1585,44
198,Aug 31$ 2020,1595,44
199,Sep 01$ 2020,1611,44
200,Sep 02$ 2020,1626,44
201,Sep 03$ 2020,1636,44
202,Sep 04$ 2020,1653,45
203,Sep 05$ 2020,1669,45
204,Sep 06$ 2020,1679,45
205,Sep 07$ 2020,1693,45
206,Sep 08$ 2020,1712,45
207,Sep 09$ 2020,1741,45
208,Sep 10$ 2020,1759,45
209,Sep 11$ 2020,1773,45
210,Sep 12$ 2020,1780,45
211,Sep 13$ 2020,1808,45
212,Sep 14$ 2020,1812,45
213,Sep 15$ 2020,1827,45
214,Sep 16$ 2020,1856,45
215,Sep 17$ 2020,1876,46
216,Sep 18$ 2020,1890,46
217,Sep 19$ 2020,1904,46
218,Sep 20$ 2020,1917,46
219,Sep 21$ 2020,1927,46
220,Sep 22$ 2020,1934,46
221,Sep 23$ 2020,1946,47
222,Sep 24$ 2020,1959,47
223,Sep 25$ 2020,1967,47
224,Sep 26$ 2020,1998,47
225,Sep 27$ 2020,2008,47
226,Sep 28$ 2020,2010,47
227,Sep 29$ 2020,2033,48
228,Sep 30$ 2020,2046,48
229,Oct 01$ 2020,2061,48
230,Oct 02$ 2020,2097,48
231,Oct 03$ 2020,2122,48
232,Oct 04$ 2020,2145,48
233,Oct 05$ 2020,2155,48
234,Oct 06$ 2020,2177,49
235,Oct 07$ 2020,2206,49
236,Oct 08$ 2020,2226,49
237,Oct 09$ 2020,2251,49
238,Oct 10$ 2020,2268,50
239,Oct 11$ 2020,2294,50
240,Oct 12$ 2020,2313,51
241,Oct 13$ 2020,2337,51
242,Oct 14$ 2020,2388,51
243,Oct 15$ 2020,2417,51
244,Oct 16$ 2020,2450,51
245,Oct 17$ 2020,2501,51
246,Oct 18$ 2020,2531,51
247,Oct 19$ 2020,2560,51
248,Oct 20$ 2020,2623,52
249,Oct 21$ 2020,2663,53
250,Oct 22$ 2020,2701,53
251,Oct 23$ 2020,2759,53
252,Oct 24$ 2020,2807,53
253,Oct 25$ 2020,2851,53
254,Oct 26$ 2020,2872,54
255,Oct 27$ 2020,2916,54
256,Oct 28$ 2020,2981,55
257,Oct 29$ 2020,3044,57
258,Oct 30$ 2020,3082,58
259,Oct 31$ 2020,3124,58
260,Nov 01$ 2020,3149,59
261,Nov 02$ 2020,3165,60
262,Nov 03$ 2020,3196,61
263,Nov 04$ 2020,3245,61
264,Nov 05$ 2020,3309,61
265,Nov 06$ 2020,3370,61
266,Nov 07$ 2020,3441,61
267,Nov 08$ 2020,3514,62
268,Nov 09$ 2020,3560,62
269,Nov 10$ 2020,3620,62
270,Nov 11$ 2020,3700,63
271,Nov 12$ 2020,3795,63
272,Nov 13$ 2020,3883,64
273,Nov 14$ 2020,3957,64
274,Nov 15$ 2020,4030,65
275,Nov 16$ 2020,4104,67
276,Nov 17$ 2020,4208,68
277,Nov 18$ 2020,4296,68
278,Nov 19$ 2020,4377,69
279,Nov 20$ 2020,4477,69
280,Nov 21$ 2020,4564,69
281,Nov 22$ 2020,4699,71
282,Nov 23$ 2020,4763,71
283,Nov 24$ 2020,4870,72
284,Nov 25$ 2020,4988,73
285,Nov 26$ 2020,5117,74
286,Nov 27$ 2020,5303,74
287,Nov 28$ 2020,5511,75
288,Nov 29$ 2020,5716,76
289,Nov 30$ 2020,5857,77
290,Dec 01$ 2020,6024,78
291,Dec 02$ 2020,6225,80
292,Dec 03$ 2020,6455,80
293,Dec 04$ 2020,6731,80
294,Dec 05$ 2020,6965,81
295,Dec 06$ 2020,7303,82
296,Dec 07$ 2020,7505,83
297,Dec 08$ 2020,7806,86
298,Dec 09$ 2020,8104,87
299,Dec 10$ 2020,8487,90
300,Dec 11$ 2020,8849,90
301,Dec 12$ 2020,9180,91
302,Dec 13$ 2020,9708,92
303,Dec 14$ 2020,10029,95
304,Dec 15$ 2020,10418,98
305,Dec 16$ 2020,10893,102
306,Dec 17$ 2020,11436,105
307,Dec 18$ 2020,11950,109
308,Dec 19$ 2020,12557,114
309,Dec 20$ 2020,13048,119
310,Dec 21$ 2020,13477,119
311,Dec 22$ 2020,14001,120
312,Dec 23$ 2020,14710,128
313,Dec 24$ 2020,15457,135
314,Dec 25$ 2020,15848,143
315,Dec 26$ 2020,16218,147
316,Dec 27$ 2020,16728,158
317,Dec 28$ 2020,17306,160
318,Dec 29$ 2020,17962,168
319,Dec 30$ 2020,18480,174
320,Dec 31$ 2020,19119,181
321,Jan 01$ 2021,19753,193
322,Jan 02$ 2021,20275,201
323,Jan 03$ 2021,20823,204
324,Jan 04$ 2021,21426,211
325,Jan 05$ 2021,22104,217
326,Jan 06$ 2021,23048,221
327,Jan 07$ 2021,23807,231
328,Jan 08$ 2021,24339,240
329,Jan 09$ 2021,24974,248
330,Jan 10$ 2021,26186,256
331,Jan 11$ 2021,26901,262
332,Jan 12$ 2021,27846,269
333,Jan 13$ 2021,28475,275
334,Jan 14$ 2021,29989,280
335,Jan 15$ 2021,30946,291
336,Jan 16$ 2021,31669,298
