,Date,Total Cases,Total Deaths
0,Feb 15$ 2020,0,0
1,Feb 16$ 2020,0,0
2,Feb 17$ 2020,0,0
3,Feb 18$ 2020,0,0
4,Feb 19$ 2020,0,0
5,Feb 20$ 2020,0,0
6,Feb 21$ 2020,0,0
7,Feb 22$ 2020,0,0
8,Feb 23$ 2020,0,0
9,Feb 24$ 2020,0,0
10,Feb 25$ 2020,0,0
11,Feb 26$ 2020,0,0
12,Feb 27$ 2020,0,0
13,Feb 28$ 2020,0,0
14,Feb 29$ 2020,0,0
15,Mar 01$ 2020,0,0
16,Mar 02$ 2020,0,0
17,Mar 03$ 2020,0,0
18,Mar 04$ 2020,0,0
19,Mar 05$ 2020,0,0
20,Mar 06$ 2020,0,0
21,Mar 07$ 2020,0,0
22,Mar 08$ 2020,0,0
23,Mar 09$ 2020,0,0
24,Mar 10$ 2020,0,0
25,Mar 11$ 2020,0,0
26,Mar 12$ 2020,0,0
27,Mar 13$ 2020,2,0
28,Mar 14$ 2020,2,0
29,Mar 15$ 2020,17,0
30,Mar 16$ 2020,17,0
31,Mar 17$ 2020,33,0
32,Mar 18$ 2020,36,0
33,Mar 19$ 2020,42,0
34,Mar 20$ 2020,65,0
35,Mar 21$ 2020,70,0
36,Mar 22$ 2020,70,0
37,Mar 23$ 2020,84,0
38,Mar 24$ 2020,84,0
39,Mar 25$ 2020,106,0
40,Mar 26$ 2020,107,1
41,Mar 27$ 2020,113,2
42,Mar 28$ 2020,119,2
43,Mar 29$ 2020,119,3
44,Mar 30$ 2020,135,3
45,Mar 31$ 2020,135,3
46,Apr 01$ 2020,144,3
47,Apr 02$ 2020,146,5
48,Apr 03$ 2020,153,7
49,Apr 04$ 2020,155,7
50,Apr 05$ 2020,159,7
51,Apr 06$ 2020,165,7
52,Apr 07$ 2020,166,7
53,Apr 08$ 2020,167,9
54,Apr 09$ 2020,171,9
55,Apr 10$ 2020,175,9
56,Apr 11$ 2020,175,9
57,Apr 12$ 2020,181,9
58,Apr 13$ 2020,189,9
59,Apr 14$ 2020,189,9
60,Apr 15$ 2020,197,9
61,Apr 16$ 2020,204,9
62,Apr 17$ 2020,204,9
63,Apr 18$ 2020,227,9
64,Apr 19$ 2020,256,9
65,Apr 20$ 2020,285,10
66,Apr 21$ 2020,288,10
67,Apr 22$ 2020,298,10
68,Apr 23$ 2020,298,10
69,Apr 24$ 2020,318,10
70,Apr 25$ 2020,323,10
71,Apr 26$ 2020,325,10
72,Apr 27$ 2020,329,10
73,Apr 28$ 2020,329,10
74,Apr 29$ 2020,331,10
75,Apr 30$ 2020,333,10
76,May 01$ 2020,335,10
77,May 02$ 2020,345,10
78,May 03$ 2020,357,10
79,May 04$ 2020,357,10
80,May 05$ 2020,361,10
81,May 06$ 2020,379,10
82,May 07$ 2020,381,10
83,May 08$ 2020,388,10
84,May 09$ 2020,402,10
85,May 10$ 2020,414,10
86,May 11$ 2020,422,10
87,May 12$ 2020,423,10
88,May 13$ 2020,440,10
89,May 14$ 2020,455,10
90,May 15$ 2020,459,10
91,May 16$ 2020,504,10
92,May 17$ 2020,541,10
93,May 18$ 2020,618,10
94,May 19$ 2020,618,10
95,May 20$ 2020,824,10
96,May 21$ 2020,882,10
97,May 22$ 2020,944,10
98,May 23$ 2020,1010,10
99,May 24$ 2020,1121,10
100,May 25$ 2020,1177,10
101,May 26$ 2020,1211,11
102,May 27$ 2020,1245,11
103,May 28$ 2020,1325,11
104,May 29$ 2020,1370,14
105,May 30$ 2020,1459,14
106,May 31$ 2020,1510,14
107,Jun 01$ 2020,1662,17
108,Jun 02$ 2020,1819,18
109,Jun 03$ 2020,1952,20
110,Jun 04$ 2020,2087,20
111,Jun 05$ 2020,2145,20
112,Jun 06$ 2020,2316,22
113,Jun 07$ 2020,2377,22
114,Jun 08$ 2020,2473,22
115,Jun 09$ 2020,2632,23
116,Jun 10$ 2020,2738,23
117,Jun 11$ 2020,2814,23
118,Jun 12$ 2020,2879,23
119,Jun 13$ 2020,2904,24
120,Jun 14$ 2020,2904,24
121,Jun 15$ 2020,3062,26
122,Jun 16$ 2020,3150,27
123,Jun 17$ 2020,3386,28
124,Jun 18$ 2020,3483,28
125,Jun 19$ 2020,3591,30
126,Jun 20$ 2020,3789,33
127,Jun 21$ 2020,3917,33
128,Jun 22$ 2020,4048,35
129,Jun 23$ 2020,4187,35
130,Jun 24$ 2020,4366,38
131,Jun 25$ 2020,4563,39
132,Jun 26$ 2020,4779,41
133,Jun 27$ 2020,5130,42
134,Jun 28$ 2020,5297,44
135,Jun 29$ 2020,5530,48
136,Jun 30$ 2020,5832,51
137,Jul 01$ 2020,6062,54
138,Jul 02$ 2020,6273,57
139,Jul 03$ 2020,6537,59
140,Jul 04$ 2020,6750,62
141,Jul 05$ 2020,7169,65
142,Jul 06$ 2020,7411,68
143,Jul 07$ 2020,7693,71
144,Jul 08$ 2020,8008,75
145,Jul 09$ 2020,8372,80
146,Jul 10$ 2020,8803,83
147,Jul 11$ 2020,9178,85
148,Jul 12$ 2020,9465,89
149,Jul 13$ 2020,9707,93
150,Jul 14$ 2020,10010,96
151,Jul 15$ 2020,10428,100
152,Jul 16$ 2020,10854,104
153,Jul 17$ 2020,11191,107
154,Jul 18$ 2020,11483,110
155,Jul 19$ 2020,11891,112
156,Jul 20$ 2020,12334,116
157,Jul 21$ 2020,12774,120
158,Jul 22$ 2020,13164,124
159,Jul 23$ 2020,13613,129
160,Jul 24$ 2020,14263,134
161,Jul 25$ 2020,14929,138
162,Jul 26$ 2020,15463,142
163,Jul 27$ 2020,15988,146
164,Jul 28$ 2020,16571,151
165,Jul 29$ 2020,17158,154
166,Jul 30$ 2020,17859,158
167,Jul 31$ 2020,18574,164
168,Aug 01$ 2020,19443,169
169,Aug 02$ 2020,20206,174
170,Aug 03$ 2020,20754,180
171,Aug 04$ 2020,21438,187
172,Aug 05$ 2020,22299,195
173,Aug 06$ 2020,23280,202
174,Aug 07$ 2020,24166,208
175,Aug 08$ 2020,24961,215
176,Aug 09$ 2020,25805,223
177,Aug 10$ 2020,26800,229
178,Aug 11$ 2020,27938,238
179,Aug 12$ 2020,29088,247
180,Aug 13$ 2020,30369,259
181,Aug 14$ 2020,31381,266
182,Aug 15$ 2020,32607,276
183,Aug 16$ 2020,33755,281
184,Aug 17$ 2020,34802,288
185,Aug 18$ 2020,35697,297
186,Aug 19$ 2020,36868,303
187,Aug 20$ 2020,37567,311
188,Aug 21$ 2020,38219,317
189,Aug 22$ 2020,38957,323
190,Aug 23$ 2020,39564,329
191,Aug 24$ 2020,40338,337
192,Aug 25$ 2020,41158,343
193,Aug 26$ 2020,41965,351
194,Aug 27$ 2020,42898,358
195,Aug 28$ 2020,43879,366
196,Aug 29$ 2020,44946,375
197,Aug 30$ 2020,45868,381
198,Aug 31$ 2020,46728,386
199,Sep 01$ 2020,47756,391
200,Sep 02$ 2020,48883,398
201,Sep 03$ 2020,49877,402
202,Sep 04$ 2020,50973,412
203,Sep 05$ 2020,52165,420
204,Sep 06$ 2020,53289,428
205,Sep 07$ 2020,54350,436
206,Sep 08$ 2020,55563,444
207,Sep 09$ 2020,56751,452
208,Sep 10$ 2020,57823,460
209,Sep 11$ 2020,58663,468
210,Sep 12$ 2020,59630,477
211,Sep 13$ 2020,60540,485
212,Sep 14$ 2020,61569,494
213,Sep 15$ 2020,62655,502
214,Sep 16$ 2020,63416,511
215,Sep 17$ 2020,64284,520
216,Sep 18$ 2020,65174,530
217,Sep 19$ 2020,65949,539
218,Sep 20$ 2020,66656,547
219,Sep 21$ 2020,67443,555
220,Sep 22$ 2020,68453,564
221,Sep 23$ 2020,69439,574
222,Sep 24$ 2020,70406,581
223,Sep 25$ 2020,71273,591
224,Sep 26$ 2020,71940,600
225,Sep 27$ 2020,72691,606
226,Sep 28$ 2020,73528,614
227,Sep 29$ 2020,74363,621
228,Sep 30$ 2020,75122,628
229,Oct 01$ 2020,76029,635
230,Oct 02$ 2020,76820,643
231,Oct 03$ 2020,77646,649
232,Oct 04$ 2020,78434,653
233,Oct 05$ 2020,79117,658
234,Oct 06$ 2020,79796,665
235,Oct 07$ 2020,80404,671
236,Oct 08$ 2020,81019,678
237,Oct 09$ 2020,81696,684
238,Oct 10$ 2020,82453,691
239,Oct 11$ 2020,83137,697
240,Oct 12$ 2020,83756,704
241,Oct 13$ 2020,84391,710
242,Oct 14$ 2020,85005,714
243,Oct 15$ 2020,85469,720
244,Oct 16$ 2020,85758,725
245,Oct 17$ 2020,86289,731
246,Oct 18$ 2020,86636,736
247,Oct 19$ 2020,87161,741
248,Oct 20$ 2020,87644,747
249,Oct 21$ 2020,88035,753
250,Oct 22$ 2020,88416,759
251,Oct 23$ 2020,88718,764
252,Oct 24$ 2020,89142,770
253,Oct 25$ 2020,89565,773
254,Oct 26$ 2020,90047,777
255,Oct 27$ 2020,90400,780
256,Oct 28$ 2020,90876,784
257,Oct 29$ 2020,91280,789
258,Oct 30$ 2020,91589,793
259,Oct 31$ 2020,92013,798
260,Nov 01$ 2020,92325,801
261,Nov 02$ 2020,92705,806
262,Nov 03$ 2020,93100,810
263,Nov 04$ 2020,93480,814
264,Nov 05$ 2020,93921,819
265,Nov 06$ 2020,94305,821
266,Nov 07$ 2020,94698,824
267,Nov 08$ 2020,94883,826
268,Nov 09$ 2020,95149,830
269,Nov 10$ 2020,95445,834
270,Nov 11$ 2020,95750,838
271,Nov 12$ 2020,96140,841
272,Nov 13$ 2020,96441,844
273,Nov 14$ 2020,96933,848
274,Nov 15$ 2020,97352,851
275,Nov 16$ 2020,97739,855
276,Nov 17$ 2020,98050,858
277,Nov 18$ 2020,98350,860
278,Nov 19$ 2020,98665,863
279,Nov 20$ 2020,99017,866
280,Nov 21$ 2020,99435,869
281,Nov 22$ 2020,99835,871
282,Nov 23$ 2020,100143,873
283,Nov 24$ 2020,100498,876
284,Nov 25$ 2020,100817,880
285,Nov 26$ 2020,101215,884
286,Nov 27$ 2020,101524,888
287,Nov 28$ 2020,101760,892
288,Nov 29$ 2020,102040,894
289,Nov 30$ 2020,102394,897
290,Dec 01$ 2020,102621,901
291,Dec 02$ 2020,103067,905
292,Dec 03$ 2020,103548,909
293,Dec 04$ 2020,103877,913
294,Dec 05$ 2020,104177,916
295,Dec 06$ 2020,104442,919
296,Dec 07$ 2020,104904,924
297,Dec 08$ 2020,105384,928
298,Dec 09$ 2020,105852,933
299,Dec 10$ 2020,106280,938
300,Dec 11$ 2020,106715,944
301,Dec 12$ 2020,107177,949
302,Dec 13$ 2020,107786,954
303,Dec 14$ 2020,108125,960
304,Dec 15$ 2020,108480,965
305,Dec 16$ 2020,108717,970
306,Dec 17$ 2020,109081,975
307,Dec 18$ 2020,109395,979
308,Dec 19$ 2020,109781,984
309,Dec 20$ 2020,110075,988
310,Dec 21$ 2020,110513,993
311,Dec 22$ 2020,110828,997
312,Dec 23$ 2020,111024,1002
313,Dec 24$ 2020,111245,1006
314,Dec 25$ 2020,111603,1010
315,Dec 26$ 2020,111951,1013
316,Dec 27$ 2020,112316,1014
317,Dec 28$ 2020,112636,1018
318,Dec 29$ 2020,112861,1021
319,Dec 30$ 2020,113121,1025
320,Dec 31$ 2020,113558,1028
321,Jan 01$ 2021,113884,1030
322,Jan 02$ 2021,114083,1032
323,Jan 03$ 2021,114230,1034
324,Jan 04$ 2021,114407,1038
325,Jan 05$ 2021,114662,1042
326,Jan 06$ 2021,114908,1047
327,Jan 07$ 2021,115322,1052
328,Jan 08$ 2021,115667,1056
329,Jan 09$ 2021,116172,1061
330,Jan 10$ 2021,116610,1066
331,Jan 11$ 2021,116983,1073
332,Jan 12$ 2021,117299,1078
