,Date,Total Cases,Total Deaths
0,Feb 15$ 2020,16,0
1,Feb 16$ 2020,16,0
2,Feb 17$ 2020,16,0
3,Feb 18$ 2020,16,0
4,Feb 19$ 2020,16,0
5,Feb 20$ 2020,16,0
6,Feb 21$ 2020,16,0
7,Feb 22$ 2020,16,0
8,Feb 23$ 2020,16,0
9,Feb 24$ 2020,16,0
10,Feb 25$ 2020,16,0
11,Feb 26$ 2020,16,0
12,Feb 27$ 2020,16,0
13,Feb 28$ 2020,16,0
14,Feb 29$ 2020,16,0
15,Mar 01$ 2020,16,0
16,Mar 02$ 2020,16,0
17,Mar 03$ 2020,16,0
18,Mar 04$ 2020,16,0
19,Mar 05$ 2020,16,0
20,Mar 06$ 2020,17,0
21,Mar 07$ 2020,20,0
22,Mar 08$ 2020,30,0
23,Mar 09$ 2020,31,0
24,Mar 10$ 2020,34,0
25,Mar 11$ 2020,39,0
26,Mar 12$ 2020,44,0
27,Mar 13$ 2020,44,0
28,Mar 14$ 2020,53,0
29,Mar 15$ 2020,57,0
30,Mar 16$ 2020,61,0
31,Mar 17$ 2020,66,0
32,Mar 18$ 2020,76,0
33,Mar 19$ 2020,85,0
34,Mar 20$ 2020,91,0
35,Mar 21$ 2020,94,0
36,Mar 22$ 2020,113,0
37,Mar 23$ 2020,123,0
38,Mar 24$ 2020,134,0
39,Mar 25$ 2020,148,0
40,Mar 26$ 2020,153,0
41,Mar 27$ 2020,163,0
42,Mar 28$ 2020,174,0
43,Mar 29$ 2020,194,0
44,Mar 30$ 2020,204,0
45,Mar 31$ 2020,212,0
46,Apr 01$ 2020,218,0
47,Apr 02$ 2020,233,0
48,Apr 03$ 2020,239,0
49,Apr 04$ 2020,240,0
50,Apr 05$ 2020,241,0
51,Apr 06$ 2020,245,0
52,Apr 07$ 2020,251,0
53,Apr 08$ 2020,251,0
54,Apr 09$ 2020,255,0
55,Apr 10$ 2020,257,0
56,Apr 11$ 2020,258,0
57,Apr 12$ 2020,262,0
58,Apr 13$ 2020,265,0
59,Apr 14$ 2020,266,0
60,Apr 15$ 2020,268,0
61,Apr 16$ 2020,268,0
62,Apr 17$ 2020,268,0
63,Apr 18$ 2020,268,0
64,Apr 19$ 2020,268,0
65,Apr 20$ 2020,268,0
66,Apr 21$ 2020,268,0
67,Apr 22$ 2020,268,0
68,Apr 23$ 2020,268,0
69,Apr 24$ 2020,270,0
70,Apr 25$ 2020,270,0
71,Apr 26$ 2020,270,0
72,Apr 27$ 2020,270,0
73,Apr 28$ 2020,270,0
74,Apr 29$ 2020,270,0
75,Apr 30$ 2020,270,0
76,May 01$ 2020,270,0
77,May 02$ 2020,270,0
78,May 03$ 2020,271,0
79,May 04$ 2020,271,0
80,May 05$ 2020,271,0
81,May 06$ 2020,271,0
82,May 07$ 2020,288,0
83,May 08$ 2020,288,0
84,May 09$ 2020,288,0
85,May 10$ 2020,288,0
86,May 11$ 2020,288,0
87,May 12$ 2020,288,0
88,May 13$ 2020,288,0
89,May 14$ 2020,312,0
90,May 15$ 2020,314,0
91,May 16$ 2020,318,0
92,May 17$ 2020,320,0
93,May 18$ 2020,324,0
94,May 19$ 2020,324,0
95,May 20$ 2020,324,0
96,May 21$ 2020,324,0
97,May 22$ 2020,324,0
98,May 23$ 2020,324,0
99,May 24$ 2020,325,0
100,May 25$ 2020,326,0
101,May 26$ 2020,327,0
102,May 27$ 2020,327,0
103,May 28$ 2020,327,0
104,May 29$ 2020,327,0
105,May 30$ 2020,328,0
106,May 31$ 2020,328,0
107,Jun 01$ 2020,328,0
108,Jun 02$ 2020,328,0
109,Jun 03$ 2020,328,0
110,Jun 04$ 2020,328,0
111,Jun 05$ 2020,328,0
112,Jun 06$ 2020,329,0
113,Jun 07$ 2020,329,0
114,Jun 08$ 2020,332,0
115,Jun 09$ 2020,332,0
116,Jun 10$ 2020,332,0
117,Jun 11$ 2020,332,0
118,Jun 12$ 2020,333,0
119,Jun 13$ 2020,334,0
